timestamp,total_connections,active,idle,idle_in_transaction,longest_query_seconds,waiting_on_lock
2026-08-13 19:22:45.57278+00,10,1,9,0,24.6,0
2026-08-13 19:22:52.608412+00,11,1,10,0,1.1,0
2026-08-13 19:22:59.802449+00,11,1,10,0,4.0,0
2026-08-13 19:23:06.83232+00,11,1,10,0,6.2,0
2026-08-13 19:23:13.847325+00,11,1,10,0,13.2,0
2026-08-13 19:23:20.773219+00,11,1,10,0,1.0,0
2026-08-13 19:23:27.799866+00,11,1,10,0,3.3,0
2026-08-13 19:23:35.143325+00,11,1,10,0,0.1,0
2026-08-13 19:23:42.100079+00,11,2,9,0,2.1,0
2026-08-13 19:23:49.029829+00,11,1,10,0,4.0,0
2026-08-13 19:23:56.005802+00,11,1,9,1,1.2,0
2026-08-13 19:24:03.378303+00,11,1,10,0,1.7,0
2026-08-13 19:24:10.601403+00,11,1,10,0,1.3,0
2026-08-13 19:24:17.609733+00,11,1,10,0,0.8,0
2026-08-13 19:24:24.587392+00,11,1,10,0,1.6,0
2026-08-13 19:24:32.570609+00,11,1,10,0,1.7,0
2026-08-13 19:24:39.553496+00,11,2,9,0,2.8,0
2026-08-13 19:24:47.576581+00,11,4,7,0,1.8,0
2026-08-13 19:24:54.575341+00,11,1,10,0,0.0,0
2026-08-13 19:25:02.099912+00,11,1,10,0,1.0,0
2026-08-13 19:25:09.106156+00,11,1,10,0,0.2,0
2026-08-13 19:25:16.094956+00,11,1,10,0,0.2,0
2026-08-13 19:25:23.115396+00,11,1,10,0,1.2,0
2026-08-13 19:25:30.135586+00,11,1,10,0,0.6,0
2026-08-13 19:25:37.201916+00,11,1,10,0,0.7,0
2026-08-13 19:25:44.28115+00,11,1,10,0,0.6,0
2026-08-13 19:25:51.339172+00,11,1,10,0,0.9,0
2026-08-13 19:25:58.322387+00,11,1,10,0,1.4,0
2026-08-13 19:26:05.5735+00,11,2,9,0,0.0,0
2026-08-13 19:26:12.632735+00,11,1,10,0,0.8,0
2026-08-13 19:26:19.753181+00,11,1,10,0,1.4,0
2026-08-13 19:26:27.092452+00,11,1,10,0,0.5,0
2026-08-13 19:26:34.306825+00,11,1,10,0,0.0,0
2026-08-13 19:26:41.232668+00,11,1,10,0,0.4,0
2026-08-13 19:26:48.235446+00,11,1,10,0,0.9,0
2026-08-13 19:26:55.341876+00,11,1,10,0,0.1,0
2026-08-13 19:27:02.68982+00,11,1,10,0,2.0,0
2026-08-13 19:27:09.613103+00,11,1,10,0,0.3,0
2026-08-13 19:27:16.637319+00,11,1,10,0,0.1,0
2026-08-13 19:27:23.836069+00,11,1,10,0,0.2,0
2026-08-13 19:27:30.759421+00,11,1,10,0,1.6,0
2026-08-13 19:27:37.77365+00,11,1,10,0,0.2,0
2026-08-13 19:27:44.869509+00,11,1,10,0,0.6,0
2026-08-13 19:27:52.096439+00,11,1,10,0,0.0,0
2026-08-13 19:27:59.582057+00,11,1,10,0,0.2,0
2026-08-13 19:28:06.66668+00,11,1,10,0,1.1,0
2026-08-13 19:28:13.733864+00,11,1,10,0,0.4,0
2026-08-13 19:28:20.766001+00,11,1,10,0,0.1,0
2026-08-13 19:28:27.995494+00,11,1,10,0,0.8,0
2026-08-13 19:28:35.073982+00,11,1,10,0,0.1,0
2026-08-13 19:28:42.053706+00,11,1,10,0,0.9,0
2026-08-13 19:28:49.00459+00,11,1,10,0,1.4,0
2026-08-13 19:28:56.072062+00,11,1,10,0,0.7,0
2026-08-13 19:29:03.347937+00,11,1,10,0,3.0,0
2026-08-13 19:29:10.625604+00,11,1,10,0,0.1,0
2026-08-13 19:29:17.881748+00,11,1,10,0,0.7,0
2026-08-13 19:29:25.135815+00,11,1,10,0,0.3,0
2026-08-13 19:29:32.099331+00,11,2,9,0,1.5,0
2026-08-13 19:29:39.100003+00,11,2,9,0,0.6,0
2026-08-13 19:29:46.223405+00,11,1,10,0,0.7,0
2026-08-13 19:29:53.252481+00,11,1,10,0,2.0,0
2026-08-13 19:30:00.351179+00,11,1,10,0,0.5,0
2026-08-13 19:30:07.365355+00,11,1,10,0,0.6,0
2026-08-13 19:30:14.438462+00,11,1,10,0,0.5,0
2026-08-13 19:30:21.482109+00,11,1,10,0,0.6,0
2026-08-13 19:30:28.481127+00,11,1,10,0,4.1,0
2026-08-13 19:30:35.993423+00,11,1,10,0,1.1,0
2026-08-13 19:30:43.215407+00,11,1,10,0,3.5,0
2026-08-13 19:30:50.239071+00,11,1,10,0,0.1,0
2026-08-13 19:30:57.59789+00,11,1,10,0,0.9,0
2026-08-13 19:31:04.781337+00,11,1,10,0,0.6,0
2026-08-13 19:31:11.991399+00,11,1,10,0,0.1,0
2026-08-13 19:31:19.022741+00,11,1,10,0,0.2,0
2026-08-13 19:31:26.130419+00,11,1,10,0,2.1,0
2026-08-13 19:31:33.208533+00,11,1,10,0,1.3,0
2026-08-13 19:31:40.183758+00,11,1,10,0,0.4,0
2026-08-13 19:31:47.358343+00,11,1,10,0,1.8,0
2026-08-13 19:31:54.394847+00,11,1,10,0,0.3,0
2026-08-13 19:32:01.442011+00,11,1,10,0,4.5,0
2026-08-13 19:32:08.608872+00,11,1,10,0,4.1,0
2026-08-13 19:32:15.634524+00,11,1,10,0,0.3,0
2026-08-13 19:32:22.653571+00,11,1,10,0,0.1,0
2026-08-13 19:32:29.644404+00,11,1,10,0,1.9,0
2026-08-13 19:32:36.793184+00,11,1,10,0,1.5,0
2026-08-13 19:32:43.781719+00,11,1,10,0,0.2,0
2026-08-13 19:32:51.196611+00,11,1,9,1,0.6,0
2026-08-13 19:32:58.23366+00,11,1,10,0,0.1,0
2026-08-13 19:33:05.415614+00,11,1,10,0,1.6,0
2026-08-13 19:33:12.524312+00,11,1,10,0,0.2,0
2026-08-13 19:33:19.583429+00,11,1,10,0,2.5,0
2026-08-13 19:33:26.487708+00,11,1,10,0,0.1,0
2026-08-13 19:33:33.566089+00,11,1,10,0,0.2,0
2026-08-13 19:33:40.776514+00,11,1,10,0,0.2,0
2026-08-13 19:33:47.975282+00,11,1,10,0,0.4,0
2026-08-13 19:33:55.02519+00,11,1,10,0,1.2,0
2026-08-13 19:34:02.016562+00,11,1,10,0,5.5,0
2026-08-13 19:34:08.971421+00,11,1,10,0,1.5,0
2026-08-13 19:34:16.135941+00,11,1,10,0,0.3,0
2026-08-13 19:34:23.17077+00,11,1,10,0,0.7,0
2026-08-13 19:34:30.336106+00,11,1,10,0,0.9,0
2026-08-13 19:34:38.071393+00,11,1,10,0,0.5,0
2026-08-13 19:34:45.177057+00,11,1,10,0,2.6,0
2026-08-13 19:34:52.863647+00,11,1,10,0,0.1,0
2026-08-13 19:35:00.105359+00,11,1,9,1,0.4,0
