timestamp,total_connections,active,idle,idle_in_transaction,longest_query_seconds,waiting_on_lock
2026-08-13 19:38:24.006391+00,4,1,3,0,2.7,0
2026-08-13 19:38:30.958589+00,11,1,10,0,0.5,0
2026-08-13 19:38:37.932339+00,11,1,10,0,4.7,0
2026-08-13 19:38:45.09588+00,11,1,10,0,0.5,0
2026-08-13 19:38:53.168182+00,11,1,10,0,0.5,0
2026-08-13 19:39:00.187443+00,11,1,10,0,0.7,0
2026-08-13 19:39:07.282224+00,11,1,10,0,0.9,0
2026-08-13 19:39:14.661378+00,11,1,10,0,0.6,0
2026-08-13 19:39:21.779856+00,11,1,10,0,0.0,0
2026-08-13 19:39:29.145793+00,11,1,10,0,0.2,0
2026-08-13 19:39:36.45934+00,11,1,10,0,0.8,0
2026-08-13 19:39:43.863036+00,11,1,10,0,0.4,0
2026-08-13 19:39:51.189639+00,11,1,10,0,0.9,0
2026-08-13 19:39:58.241218+00,11,1,10,0,0.8,0
2026-08-13 19:40:05.221873+00,11,1,10,0,0.4,0
2026-08-13 19:40:12.685319+00,11,1,10,0,0.1,0
2026-08-13 19:40:20.53286+00,11,1,10,0,1.6,0
2026-08-13 19:40:27.858273+00,11,1,10,0,0.0,0
2026-08-13 19:40:35.971605+00,11,1,10,0,0.7,0
2026-08-13 19:40:44.73205+00,11,1,10,0,0.4,0
2026-08-13 19:40:51.853144+00,11,1,10,0,0.0,0
2026-08-13 19:41:00.365347+00,11,1,10,0,0.5,0
2026-08-13 19:41:07.591231+00,11,1,10,0,1.6,0
2026-08-13 19:41:14.623206+00,11,1,10,0,0.3,0
2026-08-13 19:41:21.76957+00,11,1,10,0,0.1,0
2026-08-13 19:41:28.913172+00,11,1,10,0,0.8,0
2026-08-13 19:41:36.286811+00,11,2,9,0,0.0,0
2026-08-13 19:41:43.936596+00,11,1,10,0,0.1,0
2026-08-13 19:41:51.086641+00,11,1,10,0,0.9,0
2026-08-13 19:41:58.377565+00,11,1,10,0,0.7,0
2026-08-13 19:42:05.755081+00,11,1,10,0,0.6,0
2026-08-13 19:42:13.130653+00,11,1,10,0,0.5,0
2026-08-13 19:42:20.532424+00,11,1,10,0,0.7,0
2026-08-13 19:42:28.115879+00,11,1,10,0,0.5,0
2026-08-13 19:42:35.536601+00,11,1,10,0,0.6,0
2026-08-13 19:42:42.82097+00,11,1,10,0,0.4,0
2026-08-13 19:42:50.019828+00,11,1,10,0,0.7,0
2026-08-13 19:42:57.011941+00,11,1,10,0,0.2,0
2026-08-13 19:43:04.288925+00,11,1,10,0,0.0,0
2026-08-13 19:43:11.907165+00,11,1,10,0,0.2,0
2026-08-13 19:43:19.534179+00,11,1,10,0,0.2,0
2026-08-13 19:43:26.581035+00,11,1,10,0,0.1,0
2026-08-13 19:43:33.931703+00,11,1,10,0,1.1,0
2026-08-13 19:43:41.263935+00,11,1,10,0,0.2,0
2026-08-13 19:43:48.415564+00,11,1,10,0,1.7,0
2026-08-13 19:43:55.40268+00,11,1,10,0,1.4,0
2026-08-13 19:44:02.687299+00,11,1,10,0,1.2,0
