"query","url","clicks","impressions","classification"
"clinic global health","https://www.myglobalhealth.online/brazil/en/about","0","1","brand ambiguity/collision; excluded from qualified demand"
"clinic global health","https://www.myglobalhealth.online/brazil/en/contact","0","3","brand ambiguity/collision; excluded from qualified demand"
"clinic global health","https://www.myglobalhealth.online/brazil/pt","0","1","brand ambiguity/collision; excluded from qualified demand"
"clinic global health","https://www.myglobalhealth.online/brazil/pt/about","0","2","brand ambiguity/collision; excluded from qualified demand"
"clinic global health","https://www.myglobalhealth.online/brazil/pt/faq","0","26","brand ambiguity/collision; excluded from qualified demand"
"clinic.globalhealth","https://www.myglobalhealth.online/brazil/pt/about","0","3","brand ambiguity/collision; excluded from qualified demand"
"consultoria para registro sanitário global","https://www.myglobalhealth.online/brazil/en/contact","0","1","brand ambiguity/collision; excluded from qualified demand"
"doctor global","https://www.myglobalhealth.online/brazil/en","0","8","brand ambiguity/collision; excluded from qualified demand"
"global health","https://www.myglobalhealth.online/brazil/es/about","0","2","brand ambiguity/collision; excluded from qualified demand"
"global health agendamento","https://www.myglobalhealth.online/brazil/pt/faq","0","7","brand ambiguity/collision; excluded from qualified demand"
"global health clinic","https://www.myglobalhealth.online/brazil/en/contact","0","1","brand ambiguity/collision; excluded from qualified demand"
"global help","https://www.myglobalhealth.online/brazil/en/press","0","1","brand ambiguity/collision; excluded from qualified demand"
"global medic paulinia","https://www.myglobalhealth.online/brazil/en","0","1","brand ambiguity/collision; excluded from qualified demand"
"global telemedicina","https://www.myglobalhealth.online/brazil/pt","0","2","brand ambiguity/collision; excluded from qualified demand"
"help global brasil","https://www.myglobalhealth.online/brazil/es/about","0","1","brand ambiguity/collision; excluded from qualified demand"
"help global brazil","https://www.myglobalhealth.online/brazil/en","0","6","brand ambiguity/collision; excluded from qualified demand"
"help global brazil","https://www.myglobalhealth.online/brazil/en/about","0","5","brand ambiguity/collision; excluded from qualified demand"
"help global brazil","https://www.myglobalhealth.online/brazil/en/contact","0","2","brand ambiguity/collision; excluded from qualified demand"
"help global brazil","https://www.myglobalhealth.online/brazil/en/faq","0","1","brand ambiguity/collision; excluded from qualified demand"
"help global brazil","https://www.myglobalhealth.online/brazil/es/about","0","2","brand ambiguity/collision; excluded from qualified demand"
"help global brazil atestado","https://www.myglobalhealth.online/brazil/en/about","0","2","brand ambiguity/collision; excluded from qualified demand"
"help global brazil consulta","https://www.myglobalhealth.online/brazil/pt/faq","0","1","brand ambiguity/collision; excluded from qualified demand"
"help global brazil login","https://www.myglobalhealth.online/brazil/en","0","1","brand ambiguity/collision; excluded from qualified demand"
"help global brazil login","https://www.myglobalhealth.online/brazil/en/contact","0","9","brand ambiguity/collision; excluded from qualified demand"
"help global brazil trabalhe conosco","https://www.myglobalhealth.online/brazil/pt/careers","0","1","brand ambiguity/collision; excluded from qualified demand"
"help global brazil,","https://www.myglobalhealth.online/brazil/en","0","1","brand ambiguity/collision; excluded from qualified demand"
"helpglobalbrazil","https://www.myglobalhealth.online/brazil/en/contact","0","1","brand ambiguity/collision; excluded from qualified demand"
"minha clinica help global","https://www.myglobalhealth.online/brazil/pt","0","22","brand ambiguity/collision; excluded from qualified demand"
"minha clinica help global","https://www.myglobalhealth.online/brazil/pt/faq","0","1","brand ambiguity/collision; excluded from qualified demand"
"minha clinica.help global brazil","https://www.myglobalhealth.online/brazil/pt","0","20","brand ambiguity/collision; excluded from qualified demand"
"pediatra online gratis","https://www.myglobalhealth.online/brazil/es/services/pediatria-online","0","2","unsupported free/public-system/emergency intent; excluded"
"plano global","https://www.myglobalhealth.online/brazil/en","0","1","brand ambiguity/collision; excluded from qualified demand"
"site:www.myglobalhealth.online","https://www.myglobalhealth.online/brazil/en","0","2","potential relevant brand; confirm identity"
"site:www.myglobalhealth.online","https://www.myglobalhealth.online/brazil/es","0","2","potential relevant brand; confirm identity"
"site:www.myglobalhealth.online","https://www.myglobalhealth.online/brazil/pt","0","1","potential relevant brand; confirm identity"
"test de tdah para adultos gratis","https://www.myglobalhealth.online/brazil/es/tools/adhd-test","0","1","unsupported free/public-system/emergency intent; excluded"
"test tdah gratis adultos","https://www.myglobalhealth.online/brazil/es/tools/adhd-test","0","1","unsupported free/public-system/emergency intent; excluded"
"teste tdah online gratis","https://www.myglobalhealth.online/brazil/es/tools/adhd-test","0","1","unsupported free/public-system/emergency intent; excluded"
