prospect_domain,prospect_url,links_to_competitors,competitor_target,anchor,domain_rank,page_rank,spam_score,dofollow,first_seen,prospect_type,suggested_asset,priority,rationale,manual_verification,outreach_status
www.bc.cas.cz,https://www.bc.cas.cz/en/employees/guide-for-expats/database-of-english-speaking-contacts/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice/tym/mudr-lucie-pechocova/,euc.cz,85,0,10,true,2022-01-29 17:59:32 +00:00,expat/English resource,https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha,P0,Potential English-speaking-care resource; verify editorial fit and inclusion criteria.,required,not contacted
www.tedxcharlesuniversity.com,https://www.tedxcharlesuniversity.com/revolution2025,ulekare.cz,http://ulekare.cz/,uLekare.cz,6,0,0,true,2025-09-15 14:48:46 +00:00,expat/English resource,https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha,P0,Potential English-speaking-care resource; verify editorial fit and inclusion criteria.,required,not contacted
medium.seznam.cz,https://medium.seznam.cz/clanek/cinefil-obesita-se-stava-novym-zivotnim-stylem-zdravotnim-rizikum-navzdory-68857,euc.cz,https://euc.cz/clanky-a-novinky/clanky/obezita-priciny-stupne-rizika-a-lecba/,euc.cz,85,0,0,true,2024-06-15 16:30:33 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
zeny.e15.cz,https://zeny.e15.cz/diskuze/dotaz/29/2,znamylekar.cz,https://znamylekar.cz/,znamylekar.cz,84,0,15,false,2021-12-26 04:00:56 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
forum.finexpert.e15.cz,https://forum.finexpert.e15.cz/viewtopic.php?f=316&t=301647&st=0&sk=t&sd=a&start=15120,ulekare.cz,https://ulekare.cz/,https://ulekare.cz/,84,0,15,true,2025-12-04 03:35:01 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
www.denik.cz,https://www.denik.cz/zdravi/emocni-jedeni-leky-na-hubnuti.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-usti-nad-labem/tym/mudr-libor-volejnik/,Libor Volejník,83,0,0,true,2024-09-02 16:53:51 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
hodoninsky.denik.cz,https://hodoninsky.denik.cz/zpravy_region/jak-najit-nejlepsiho-lekare-pacienti-tapou20081127.html,znamylekar.cz,http://znamylekar.cz/,znamylekar.cz,83,0,0,true,2019-12-11 02:02:22 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.euro.cz,https://www.euro.cz/pr-clanky/lekar-online-realna-alternativa-k-fyzicke-navsteve-lekare/,euc.cz,https://euc.cz/euc-plus,"EUC
Plus",82,0,0,true,2025-11-18 03:37:17 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
zena-in.cz,https://zena-in.cz/clanek/bolest-zad-druhy-priciny-lecba-a-prevence,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice/,EUC Kliniky České Budějovice,80,0,0,true,2025-04-02 22:31:05 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
tn.nova.cz,https://tn.nova.cz/zpravodajstvi/clanek/274725-leto-v-evrope-tipy-kde-si-odpocinete-i-od-alergie,ulekare.cz,http://ulekare.cz/,Ulékaře.cz,79,0,0,true,2023-12-30 19:10:36 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
