query,clicks,impressions,ctr,position
global health,18,48,0.375,9.1875
krevní tlak kalkulačka,10,380,0.02631578947368421,4.926315789473684
globalhealth,4,8,0.5,1.625
ahmed maklad,3,6,0.5,1.1666666666666667
ano,3,5,0.6,2.4
global health doctor,3,4,0.75,2
my global health,2,3,0.6666666666666666,1
adhd test pro dospělé zdarma,1,1,1,14
finasterid recept online,1,1,1,1
global healtg,1,1,1,2
global health ireland,1,3,0.3333333333333333,2.666666666666667
global health online,1,1,1,1
global health telemedicine,1,1,1,2
jsem z chomutova,1,1,1,1
kardiolog online,1,1,1,13
mudr libor hlavatý,1,61,0.01639344262295082,18.016393442622952
online doctor czech republic,1,9,0.1111111111111111,10
online konzultace,1,11,0.09090909090909091,14.181818181818182
ovulační kalendář,1,9,0.1111111111111111,42
prosím o odkaz,1,1,1,2
test adhd u dospělých,1,2,0.5,18
vypocet denniho prijmu kcal,1,1,1,22
104/70,0,1,0,1
24 hour online doctor,0,1,0,7
24/7 medical near me,0,1,0,1
420 kcal,0,1,0,33
460 kcal,0,2,0,25.5
?,0,1,0,1
absi kalkulačka,0,2,0,27
add porucha test,0,1,0,24
adhd dospělí test zdarma,0,3,0,19.333333333333332
adhd tedt,0,1,0,18
adhd test,0,26,0,19.26923076923077
adhd test online cz,0,1,0,15
adhd test online zdarma,0,2,0,16
adhd test pro dospělé,0,4,0,12
adhd testy,0,5,0,12.4
adhd vysetreni,0,1,0,34
ahmed dr,0,1,0,9
ake su to,0,1,0,1
amh test,0,5,0,34.4
ano chci,0,1,0,1
ano chci najít,0,1,0,2
antimalarika,0,3,0,3
antimalarika cena,0,3,0,2
arteriální tlak,0,1,0,48
b12 test,0,2,0,22
bmi,0,12,0,38.416666666666664
bmi calculator,0,6,0,62.5
bmi counter,0,1,0,41
bmi deti kalkulacka,0,1,0,30
bmi děti,0,4,0,45.5
bmi free,0,1,0,7
bmi hodnoty,0,5,0,35.2
bmi hodnoty ženy,0,1,0,41
bmi index,0,10,0,45.6
bmi index kalkulačka,0,3,0,39.666666666666664
bmi index kalkulátor,0,1,0,37
bmi index vzorec,0,5,0,38.4
bmi index výpočet,0,1,0,42
bmi index žena,0,1,0,49
bmi index ženy,0,1,0,52
bmi jednotky,0,4,0,17.75
bmi kalkulacka,0,9,0,35.888888888888886
bmi kalkulator,0,2,0,33
bmi kalkulačka,0,30,0,34.4
bmi kalkulačka bezhladoveni,0,1,0,32
bmi kalkulačka děti,0,5,0,31.4
bmi kalkulačka dětí,0,3,0,33.333333333333336
bmi kalkulačka kalorie,0,1,0,37
bmi kalkulačka obvod pasu,0,1,0,27
bmi kalkulačka online,0,2,0,28
bmi kalkulačka podle obvodu pasu,0,5,0,30
bmi kalkulačka podle věku,0,5,0,30.2
bmi kalkulačka podle věku a pohlaví,0,8,0,24.5
bmi kalkulačka podrobná,0,2,0,31.5
bmi kalkulačka pro děti,0,5,0,32.8
bmi kalkulačka pro teenagery,0,3,0,27.666666666666668
bmi kalkulačka přesná,0,12,0,29.416666666666668
bmi kalkulačka věk,0,3,0,33.666666666666664
bmi kalkulačka žena,0,3,0,40.333333333333336
bmi kalkulátor,0,8,0,47.375
bmi muži,0,2,0,38
bmi nadvaha,0,2,0,43
bmi nadváha,0,1,0,37
bmi on line,0,1,0,23
bmi online,0,7,0,20.285714285714285
bmi podle věku,0,5,0,28.2
bmi scale,0,1,0,43
bmi tabulka,0,10,0,41.3
bmi tabulka muži,0,1,0,41
bmi tabulka ženy,0,3,0,46
bmi test,0,3,0,26.666666666666668
bmi vypocet,0,8,0,34.75
bmi vzorec,0,11,0,37
bmi výpočet,0,11,0,35.09090909090909
bmi výpočet vzorec,0,4,0,40.25
bmi zdraví,0,13,0,45.92307692307692
bmi zeny,0,2,0,46
body index,0,1,0,64
