query,clicks,impressions,ctr,position
global health,5,45,0.1111111111111111,5.711111111111111
my global health,4,5,0.8,1
ahmed maklad,2,4,0.5,1.5
global health ireland,1,3,0.3333333333333333,5
global health online,1,2,0.5,1
ano,0,1,0,1
biomedical centro medico,0,1,0,12
centro de saúde,0,1,0,13
centro medico,0,3,0,2
centrum medico,0,2,0,1.5
clinica,0,6,0,7.166666666666667
clinica +,0,1,0,5
clinica global,0,1,0,1
clonica,0,1,0,5
clínica,0,1,0,1
dr ahmed,0,1,0,12
dr nitra,0,1,0,5
drmalar,0,1,0,7
emergency clinic,0,3,0,18
emergency doctor prague,0,1,0,22
fatima ali,0,1,0,8
global,0,1,0,11
global center,0,2,0,12
global clinic,0,2,0,6
global health care,0,1,0,1
global health centre,0,1,0,11
global health doctor,0,1,0,10
global health.,0,1,0,1
global helath,0,1,0,7
global hospital,0,2,0,8
global medical,0,5,0,3.4
globalhealth,0,3,0,5
healthonline,0,1,0,10
hladina psa,0,1,0,56
hlavatý mudr,0,1,0,46
how to get medical certificate for driving license,0,1,0,10
hraniční hodnoty psa,0,2,0,73
libor hlavaty ceske budejovice,0,1,0,9
libor hlavatý,0,45,0,10.088888888888889
medica centrum,0,2,0,12
medical center in der nähe,0,1,0,1
medical center near me,0,1,0,9
medical centre,0,1,0,5
medical centres open today near me,0,1,0,4
medical certificate for drivers license,0,1,0,8
medical consultations,0,1,0,18
mudr gabriele felici,0,1,0,3
mudr hlavatý,0,3,0,44.666666666666664
mudr hlavatý libor,0,3,0,12
mudr hlavatý české budějovice,0,118,0,9.652542372881356
mudr libor hlavatý,0,57,0,12.964912280701755
mudr.hlavatý,0,1,0,27
neurolog online,0,1,0,50
online doctor czech republic,0,4,0,20.5
online gynecology consultation,0,1,0,4
psa test,0,2,0,53.5
psa vyšetření,0,1,0,85
telemedicine gynecologist,0,1,0,2
tiago figueira,0,1,0,2
urea cycle,0,1,0,48
vagynal,0,1,0,6
vojtěch černý,0,3,0,63.333333333333336

