query,page,clicks,impressions,ctr,position
krevní tlak kalkulačka,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,10,381,0.026246719160104987,4.916010498687664
global health,https://www.myglobalhealth.online/czechia/cs,5,16,0.3125,2.625
globalhealth,https://www.myglobalhealth.online/czechia/cs,3,4,0.75,1
adhd test pro dospělé zdarma,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,1,1,1,14
ahmed maklad,https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad,1,1,1,1
ano,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,1,1,1,3
ano,https://www.myglobalhealth.online/czechia/cs/services/cestovni-medicina-praha,1,1,1,1
ano,https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,1,1,1,1
jsem z chomutova,https://www.myglobalhealth.online/czechia/cs/services/kontrola-vahy-online,1,1,1,1
online doctor czech republic,https://www.myglobalhealth.online/czechia/cs,1,5,0.2,21.2
online konzultace,https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,1,1,1,1
ovulační kalendář,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,1,9,0.1111111111111111,42
prosím o odkaz,https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,1,1,1,2
test adhd u dospělých,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,1,2,0.5,18
vypocet denniho prijmu kcal,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,1,1,1,22
104/70,https://www.myglobalhealth.online/czechia/en/tools/blood-pressure-chart,0,1,0,1
128/95 blood pressure,https://www.myglobalhealth.online/czechia/en/tools/blood-pressure-chart,0,2,0,11
128/95 blutdruck,https://www.myglobalhealth.online/czechia/de/tools/blood-pressure-chart,0,4,0,9.5
24 hour online doctor,https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves,0,1,0,7
24/7 doctor,https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves,0,2,0,8
?,https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained,0,1,0,1
absi kalkulačka,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,0,2,0,27
add porucha test,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,1,0,24
adhd dospělí test zdarma,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,3,0,19.333333333333332
adhd in adults free test,https://www.myglobalhealth.online/czechia/en/tools/adhd-test,0,1,0,61
adhd tedt,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,1,0,18
adhd test,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,29,0,19.310344827586206
adhd test,https://www.myglobalhealth.online/czechia/ro/tools/adhd-test,0,1,0,97
adhd test cz,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,1,0,11
adhd test for adults free,https://www.myglobalhealth.online/czechia/en/tools/adhd-test,0,2,0,88
adhd test free,https://www.myglobalhealth.online/czechia/en/tools/adhd-test,0,2,0,68
adhd test online cz,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,1,0,15
adhd test online zdarma,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,2,0,16
adhd test pro dospělé,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,4,0,12
adhd testy,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,5,0,12.4
adhd vysetreni,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,0,1,0,34
