seed,source,used_fallback,keyword,search_volume,keyword_difficulty,cpc,competition,intent,trend_json
cestovní medicína Praha,related,false,očkovací centrum,2900,37,0.36,0.3,navigational,"[{""year"":2026,""month"":7,""searchVolume"":1300},{""year"":2026,""month"":6,""searchVolume"":1600},{""year"":2026,""month"":5,""searchVolume"":1900},{""year"":2026,""month"":4,""searchVolume"":1900},{""year"":2026,""month"":3,""searchVolume"":2400},{""year"":2026,""month"":2,""searchVolume"":1900},{""year"":2026,""month"":1,""searchVolume"":2900},{""year"":2025,""month"":12,""searchVolume"":3600},{""year"":2025,""month"":11,""searchVolume"":4400},{""year"":2025,""month"":10,""searchVolume"":5400},{""year"":2025,""month"":9,""searchVolume"":3600},{""year"":2025,""month"":8,""searchVolume"":1600}]"
cestovní medicína Praha,related,false,očkovací centrum praha,1900,18,0.37,0.41,navigational,"[{""year"":2026,""month"":7,""searchVolume"":720},{""year"":2026,""month"":6,""searchVolume"":880},{""year"":2026,""month"":5,""searchVolume"":1000},{""year"":2026,""month"":4,""searchVolume"":1000},{""year"":2026,""month"":3,""searchVolume"":1300},{""year"":2026,""month"":2,""searchVolume"":880},{""year"":2026,""month"":1,""searchVolume"":1600},{""year"":2025,""month"":12,""searchVolume"":2900},{""year"":2025,""month"":11,""searchVolume"":5400},{""year"":2025,""month"":10,""searchVolume"":5400},{""year"":2025,""month"":9,""searchVolume"":2400},{""year"":2025,""month"":8,""searchVolume"":880}]"
cestovní medicína Praha,related,false,očkovací centra brno,1000,14,0.47,0.31,navigational,"[{""year"":2026,""month"":7,""searchVolume"":480},{""year"":2026,""month"":6,""searchVolume"":590},{""year"":2026,""month"":5,""searchVolume"":590},{""year"":2026,""month"":4,""searchVolume"":720},{""year"":2026,""month"":3,""searchVolume"":1300},{""year"":2026,""month"":2,""searchVolume"":880},{""year"":2026,""month"":1,""searchVolume"":1300},{""year"":2025,""month"":12,""searchVolume"":1600},{""year"":2025,""month"":11,""searchVolume"":1600},{""year"":2025,""month"":10,""searchVolume"":1600},{""year"":2025,""month"":9,""searchVolume"":1000},{""year"":2025,""month"":8,""searchVolume"":480}]"
cestovní medicína Praha,related,false,centrum cestovní medicíny,1000,16,0.27,0.24,navigational,"[{""year"":2026,""month"":7,""searchVolume"":590},{""year"":2026,""month"":6,""searchVolume"":880},{""year"":2026,""month"":5,""searchVolume"":880},{""year"":2026,""month"":4,""searchVolume"":720},{""year"":2026,""month"":3,""searchVolume"":880},{""year"":2026,""month"":2,""searchVolume"":880},{""year"":2026,""month"":1,""searchVolume"":1300},{""year"":2025,""month"":12,""searchVolume"":1000},{""year"":2025,""month"":11,""searchVolume"":1300},{""year"":2025,""month"":10,""searchVolume"":1600},{""year"":2025,""month"":9,""searchVolume"":1000},{""year"":2025,""month"":8,""searchVolume"":880}]"
cestovní medicína Praha,related,false,očkovací centrum brno,1000,14,0.47,0.31,navigational,"[{""year"":2026,""month"":7,""searchVolume"":480},{""year"":2026,""month"":6,""searchVolume"":590},{""year"":2026,""month"":5,""searchVolume"":590},{""year"":2026,""month"":4,""searchVolume"":720},{""year"":2026,""month"":3,""searchVolume"":1300},{""year"":2026,""month"":2,""searchVolume"":880},{""year"":2026,""month"":1,""searchVolume"":1300},{""year"":2025,""month"":12,""searchVolume"":1600},{""year"":2025,""month"":11,""searchVolume"":1600},{""year"":2025,""month"":10,""searchVolume"":1600},{""year"":2025,""month"":9,""searchVolume"":1000},{""year"":2025,""month"":8,""searchVolume"":480}]"
cestovní medicína Praha,related,false,očkovací centrum motol,880,0,0.44,0.05,navigational,"[{""year"":2026,""month"":7,""searchVolume"":320},{""year"":2026,""month"":6,""searchVolume"":480},{""year"":2026,""month"":5,""searchVolume"":390},{""year"":2026,""month"":4,""searchVolume"":480},{""year"":2026,""month"":3,""searchVolume"":480},{""year"":2026,""month"":2,""searchVolume"":480},{""year"":2026,""month"":1,""searchVolume"":720},{""year"":2025,""month"":12,""searchVolume"":1300},{""year"":2025,""month"":11,""searchVolume"":1900},{""year"":2025,""month"":10,""searchVolume"":1900},{""year"":2025,""month"":9,""searchVolume"":1300},{""year"":2025,""month"":8,""searchVolume"":320}]"
cestovní medicína Praha,related,false,avenier brno,720,8,0.08,0.21,navigational,"[{""year"":2026,""month"":7,""searchVolume"":480},{""year"":2026,""month"":6,""searchVolume"":590},{""year"":2026,""month"":5,""searchVolume"":590},{""year"":2026,""month"":4,""searchVolume"":720},{""year"":2026,""month"":3,""searchVolume"":880},{""year"":2026,""month"":2,""searchVolume"":720},{""year"":2026,""month"":1,""searchVolume"":1000},{""year"":2025,""month"":12,""searchVolume"":880},{""year"":2025,""month"":11,""searchVolume"":880},{""year"":2025,""month"":10,""searchVolume"":720},{""year"":2025,""month"":9,""searchVolume"":590},{""year"":2025,""month"":8,""searchVolume"":260}]"
cestovní medicína Praha,related,false,avenier očkovací centrum,720,6,0.08,0.27,navigational,"[{""year"":2026,""month"":7,""searchVolume"":590},{""year"":2026,""month"":6,""searchVolume"":390},{""year"":2026,""month"":5,""searchVolume"":480},{""year"":2026,""month"":4,""searchVolume"":480},{""year"":2026,""month"":3,""searchVolume"":590},{""year"":2026,""month"":2,""searchVolume"":720},{""year"":2026,""month"":1,""searchVolume"":880},{""year"":2025,""month"":12,""searchVolume"":1000},{""year"":2025,""month"":11,""searchVolume"":1600},{""year"":2025,""month"":10,""searchVolume"":1300},{""year"":2025,""month"":9,""searchVolume"":590},{""year"":2025,""month"":8,""searchVolume"":170}]"
cestovní medicína Praha,related,false,centrum očkování a cestovní medicíny,390,49,0.53,0.12,navigational,"[{""year"":2026,""month"":7,""searchVolume"":170},{""year"":2026,""month"":6,""searchVolume"":210},{""year"":2026,""month"":5,""searchVolume"":260},{""year"":2026,""month"":4,""searchVolume"":260},{""year"":2026,""month"":3,""searchVolume"":320},{""year"":2026,""month"":2,""searchVolume"":390},{""year"":2026,""month"":1,""searchVolume"":480},{""year"":2025,""month"":12,""searchVolume"":480},{""year"":2025,""month"":11,""searchVolume"":590},{""year"":2025,""month"":10,""searchVolume"":590},{""year"":2025,""month"":9,""searchVolume"":390},{""year"":2025,""month"":8,""searchVolume"":170}]"
cestovní medicína Praha,related,false,očkovací centrum bulovka,390,0,0.39,0.08,navigational,"[{""year"":2026,""month"":7,""searchVolume"":140},{""year"":2026,""month"":6,""searchVolume"":170},{""year"":2026,""month"":5,""searchVolume"":210},{""year"":2026,""month"":4,""searchVolume"":210},{""year"":2026,""month"":3,""searchVolume"":210},{""year"":2026,""month"":2,""searchVolume"":210},{""year"":2026,""month"":1,""searchVolume"":390},{""year"":2025,""month"":12,""searchVolume"":480},{""year"":2025,""month"":11,""searchVolume"":720},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":480},{""year"":2025,""month"":8,""searchVolume"":170}]"
