"retrieved_at","url","status","canonical","robots","self_hreflang","hreflang_count","schema_types","title","meta_description","h1"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs","200","https://www.myglobalhealth.online/czechia/cs","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|PostalAddress|PropertyValue|Question|WebSite","Online lékař Česko | Registrovaní lékaři a specialisté","Promluvte si ještě dnes s registrovaným lékařem přes videohovor — praktický lékař, potvrzení, odeslání ke specialistovi. Tentýž den, Česko.","Online lékařská péče v Česku"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/about","200","https://www.myglobalhealth.online/czechia/cs/about","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|PostalAddress|PropertyValue|Question|WebSite","O Global Health Česko | Lékaři online · Global Health","Global Health Česko: online konzultace videohovorem s lékaři registrovanými u Česká lékařská komora, v jazycích čeština / angličtina. Co nabízíme a kdo jsme.","O Global Health Česko"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/blog","200","https://www.myglobalhealth.online/czechia/cs/blog","index, follow","yes","7","BreadcrumbList|ContactPoint|Country|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|WebSite","Zdravotní příručky od registrovaných lékařů – Česko","Zdravotní příručky založené na důkazech pro Česko, které napsal a zkontroloval náš lékařský tým.","Zdravotní příručky od registrovaných lékařů."
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/blog/diabetes-ticha-nemoc","200","https://www.myglobalhealth.online/czechia/cs/blog/diabetes-ticha-nemoc","index, follow","yes","7","Article|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|Organization|Person|PostalAddress|PropertyValue|Thing|WebSite","Diabetes (cukrovka) v ČR: Příčiny, příznaky, léčba a budoucnost péče","Průvodce diabetem v České republice — příčiny, příznaky, současná léčba včetně GLP-1 a SGLT2, důležitost pravidelných kontrol a perspektivy budoucí léčby. Napsáno MUDr. Ahmedem Makladem, ČLK č. 117 668 619 8.","Diabetes: Tichá nemoc"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi","200","https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi","index, follow","yes","7","Answer|Article|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|Organization|Person|PostalAddress|PropertyValue|Question|Thing|WebSite","Lékař online 24/7: co vyřeší a co ne (2026) · Global Health","Co lze bezpečně vyřešit online konzultací s lékařem, co vyžaduje vyšetření v ordinaci, kdy volat 155 a proč online lékař nenahrazuje registraci u praktika.","Lékař online 24/7: co konzultace na dálku vyřeší a co ne"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka","200","https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka","index, follow","yes","7","Answer|Article|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|Organization|Person|PostalAddress|PropertyValue|Question|Thing|WebSite","Neschopenka: jak funguje eNeschopenka (2026) · Global Health","Jak funguje elektronická neschopenka: kdo ji smí vystavit, jak se o ní dozví zaměstnavatel, pravidla vycházek a kdy lze neschopenku vystavit zpětně.","Neschopenka: jak funguje eNeschopenka, vycházky a výplata nemocenské"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/blog/vypocet-nemocenske-2026-co-plati-zamestnavatel-a-co-cssz","200","https://www.myglobalhealth.online/czechia/cs/blog/vypocet-nemocenske-2026-co-plati-zamestnavatel-a-co-cssz","index, follow","yes","7","Answer|Article|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|Organization|Person|PostalAddress|PropertyValue|Question|Thing|WebSite","Výpočet nemocenské 2026: zaměstnavatel a ČSSZ","Výpočet nemocenské 2026: náhrada mzdy v prvních 14 dnech, dávka ČSSZ od 15. dne, redukční hranice a orientační postup.","Výpočet nemocenské 2026: zaměstnavatel a ČSSZ"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/book","200","https://www.myglobalhealth.online/czechia/cs/book","index, follow","yes","7","BreadcrumbList|ContactPoint|Country|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|WebSite","Objednejte si konzultaci — Czechia · Global Health","Czechia lékařská klinika. Vyberte si službu, lékaře, čas a údaje pacienta.","Objednejte si konzultaci"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/careers","200","https://www.myglobalhealth.online/czechia/cs/careers","index, follow","yes","7","BreadcrumbList|ContactPoint|Country|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|WebSite","Kariéra v Global Health Česko","Připojte se ke Global Health v Česko. Spolupracujeme s registrovanými lékaři, klinickou podporou a technologickými týmy po celé Evropě a v Brazílii. Zjistěte, jak se ucházet o práci.","Kariéra v Global Health"
"2026-08-31T21:05:37.2770552Z","https://www.myglobalhealth.online/czechia/cs/contact","200","https://www.myglobalhealth.online/czechia/cs/contact","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|PostalAddress|PropertyValue|Question|WebSite","Kontakt | Online lékař Praha | Global Health","Kontaktujte Global Health: +420 608 353 716, info@myglobalhealth.online. Online konzultace s registrovanými lékaři, sídlo v Praze 1.","Kontakt — Global Health Česko"
