domain,avg_position,median_position,keywords_count,visibility,relevant_serp_items,keyword_positions_json
www.zpmvcr.cz,2.5,2,2,1.7000000000000002,2,"{""lékař online 24/7"":[3],""konzultace s lékařem online"":[2]}"
www.meddi.com,3.5,2,2,1.5,2,"{""lékař online 24/7"":[2],""konzultace s lékařem online"":[5]}"
www.konzultacelekare.cz,3.5,1,2,1.5,2,"{""lékař online 24/7"":[6],""konzultace s lékařem online"":[1]}"
moje.euc.cz,1,1,1,1,1,"{""lékař online 24/7"":[1]}"
www.cssz.gov.cz,1,1,1,1,1,"{""jak funguje eneschopenka"":[1]}"
www.drmaxlekynapredpis.cz,1,1,1,1,1,"{""erecept online"":[1]}"
www.eshop-synlab.cz,1,1,1,1,1,"{""krevní testy"":[1]}"
www.cmkos.cz,2,2,1,0.9,1,"{""jak funguje eneschopenka"":[2]}"
pacient.erecept.sukl.cz,2,2,1,0.9,1,"{""erecept online"":[2]}"
cz.unilabs.online,2,2,1,0.9,1,"{""krevní testy"":[2]}"
www.canadian.cz,6.5,5,2,0.8999999999999999,2,"{""lékař online 24/7"":[5],""konzultace s lékařem online"":[8]}"
app.ulekare.cz,7,7,2,0.8,2,"{""lékař online 24/7"":[7],""konzultace s lékařem online"":[7]}"
www.mojeambulance.cz,12.5,3,2,0.8,2,"{""lékař online 24/7"":[22],""jak funguje eneschopenka"":[3]}"
www.znamylekar.cz,3,3,1,0.8,1,"{""konzultace s lékařem online"":[3]}"
epreskripce.gov.cz,3,3,1,0.8,1,"{""erecept online"":[3]}"
www.euclaboratore.cz,3,3,1,0.8,1,"{""krevní testy"":[3]}"
pr.denik.cz,12.5,4,2,0.7,2,"{""lékař online 24/7"":[4],""konzultace s lékařem online"":[21]}"
www.drmax.cz,16,4,2,0.7,2,"{""lékař online 24/7"":[28],""konzultace s lékařem online"":[4]}"
portal.gov.cz,4,4,1,0.7,1,"{""erecept online"":[4]}"
www.labtestsonline.cz,4,4,1,0.7,1,"{""krevní testy"":[4]}"
www.vema.cz,5,5,1,0.6,1,"{""jak funguje eneschopenka"":[5]}"
www.benunapredpis.cz,5,5,1,0.6,1,"{""erecept online"":[5]}"
vysetreni.agel.cz,5,5,1,0.6,1,"{""krevní testy"":[5]}"
www.genx.cz,13.5,6,2,0.5,2,"{""konzultace s lékařem online"":[6],""krevní testy"":[21]}"
www.e15.cz,6,6,1,0.5,1,"{""jak funguje eneschopenka"":[6]}"
www.mojelekarna.cz,6,6,1,0.5,1,"{""erecept online"":[6]}"
www.banky.cz,7,7,1,0.4,1,"{""jak funguje eneschopenka"":[7]}"
www.unilabs.cz,7,7,1,0.4,1,"{""krevní testy"":[7]}"
www.zdravotnickydenik.cz,17,8,2,0.3,2,"{""lékař online 24/7"":[8],""konzultace s lékařem online"":[26]}"
dostupnyadvokat.cz,8,8,1,0.3,1,"{""jak funguje eneschopenka"":[8]}"
www.euclekarna.cz,8,8,1,0.3,1,"{""krevní testy"":[8]}"
euc.cz,12,11,3,0.2,3,"{""konzultace s lékařem online"":[11],""erecept online"":[10],""krevní testy"":[15]}"
play.google.com,22.5,9,2,0.2,2,"{""konzultace s lékařem online"":[36],""erecept online"":[9]}"
www.nemcb.cz,9,9,1,0.2,1,"{""lékař online 24/7"":[9]}"
search.seznam.cz,9,9,1,0.2,1,"{""jak funguje eneschopenka"":[9]}"
www.ghcgenetics.cz,9,9,1,0.2,1,"{""krevní testy"":[9]}"
www.epediatr.cz,14,12,2,0.1,2,"{""lékař online 24/7"":[16],""konzultace s lékařem online"":[12]}"
www.rbp213.cz,16,12,2,0.1,2,"{""lékař online 24/7"":[12],""konzultace s lékařem online"":[20]}"
www.novinky.cz,52.5,10,2,0.1,2,"{""lékař online 24/7"":[95],""konzultace s lékařem online"":[10]}"
poliklinika.skoda-auto.cz,10,10,1,0.1,1,"{""lékař online 24/7"":[10]}"
www.nzip.cz,10,10,1,0.1,1,"{""jak funguje eneschopenka"":[10]}"
www.synlab.cz,10,10,1,0.1,1,"{""krevní testy"":[10]}"
www.facebook.com,22.666666666666668,21,3,0.05,3,"{""lékař online 24/7"":[17],""konzultace s lékařem online"":[30],""jak funguje eneschopenka"":[21]}"
www.navstevalekare.cz,17.5,14,2,0.05,2,"{""lékař online 24/7"":[21],""konzultace s lékařem online"":[14]}"
www.medevio.cz,24,19,2,0.05,2,"{""lékař online 24/7"":[29],""konzultace s lékařem online"":[19]}"
www.vzp.cz,53,18,2,0.05,2,"{""lékař online 24/7"":[88],""krevní testy"":[18]}"
www.fakturaonline.cz,11,11,1,0.05,1,"{""jak funguje eneschopenka"":[11]}"
www.pluserecept.sk,11,11,1,0.05,1,"{""erecept online"":[11]}"
www.simplea.cz,12,12,1,0.05,1,"{""jak funguje eneschopenka"":[12]}"
www.labshop.cz,12,12,1,0.05,1,"{""krevní testy"":[12]}"
www.visa.cz,13,13,1,0.05,1,"{""lékař online 24/7"":[13]}"
skoleniproucetni.cz,13,13,1,0.05,1,"{""jak funguje eneschopenka"":[13]}"
pacjent.gov.pl,13,13,1,0.05,1,"{""erecept online"":[13]}"
esthesia.cz,13,13,1,0.05,1,"{""krevní testy"":[13]}"
www.drdigital.care,14,14,1,0.05,1,"{""lékař online 24/7"":[14]}"
www.topdoktor.cz,57,17,2,0.05,2,"{""lékař online 24/7"":[97],""konzultace s lékařem online"":[17]}"
www.wikiskripta.eu,14,14,1,0.05,1,"{""krevní testy"":[14]}"
cnn.iprima.cz,15,15,1,0.05,1,"{""konzultace s lékařem online"":[15]}"
www.azmed.cz,15,15,1,0.05,1,"{""jak funguje eneschopenka"":[15]}"
almiaderm.cz,16,16,1,0.05,1,"{""konzultace s lékařem online"":[16]}"
www.kurzy.cz,16,16,1,0.05,1,"{""jak funguje eneschopenka"":[16]}"
www.atodamedical.cz,16,16,1,0.05,1,"{""krevní testy"":[16]}"
www.zakonyprolidi.cz,17,17,1,0.05,1,"{""jak funguje eneschopenka"":[17]}"
zdravinaroda.cz,17,17,1,0.05,1,"{""krevní testy"":[17]}"
archiv.hn.cz,18,18,1,0.05,1,"{""lékař online 24/7"":[18]}"
www.proprarodice.cz,18,18,1,0.05,1,"{""jak funguje eneschopenka"":[18]}"
searchtest.seznam.cz,19,19,1,0.05,1,"{""lékař online 24/7"":[19]}"
www.pracomat.cz,19,19,1,0.05,1,"{""jak funguje eneschopenka"":[19]}"
www.znojmocity.cz,20,20,1,0.05,1,"{""lékař online 24/7"":[20]}"
www.mujvit.cz,20,20,1,0.05,1,"{""krevní testy"":[20]}"
www.idnes.cz,33.5,27,2,0,2,"{""jak funguje eneschopenka"":[40],""krevní testy"":[27]}"
www.pilulka.cz,41.5,25,2,0,2,"{""konzultace s lékařem online"":[58],""krevní testy"":[25]}"
www.benu.cz,42.5,35,2,0,2,"{""lékař online 24/7"":[50],""krevní testy"":[35]}"
www.prolekare.cz,44.5,26,2,0,2,"{""konzultace s lékařem online"":[63],""jak funguje eneschopenka"":[26]}"
www.youtube.com,52,43,2,0,2,"{""konzultace s lékařem online"":[43],""jak funguje eneschopenka"":[61]}"
www.on-line24.cz,55,33,2,0,2,"{""lékař online 24/7"":[77],""konzultace s lékařem online"":[33]}"
www.konzultacelekare.online,22,22,1,0,1,"{""konzultace s lékařem online"":[22]}"
www.mediclinic.cz,22,22,1,0,1,"{""jak funguje eneschopenka"":[22]}"
www.lekarnaave.cz,22,22,1,0,1,"{""krevní testy"":[22]}"
www.blesk.cz,61.5,51,2,0,2,"{""lékař online 24/7"":[72],""jak funguje eneschopenka"":[51]}"
www.dataozdravi.cz,23,23,1,0,1,"{""konzultace s lékařem online"":[23]}"
eportal.cssz.cz,23,23,1,0,1,"{""jak funguje eneschopenka"":[23]}"
www.lekarna.cz,23,23,1,0,1,"{""krevní testy"":[23]}"
onlineambulance.cz,24,24,1,0,1,"{""lékař online 24/7"":[24]}"
cs.wikipedia.org,24,24,1,0,1,"{""jak funguje eneschopenka"":[24]}"
www.prokopov.cz,25,25,1,0,1,"{""lékař online 24/7"":[25]}"
www.fajndoktorka.com,25,25,1,0,1,"{""jak funguje eneschopenka"":[25]}"
www.jaropojisteni.cz,26,26,1,0,1,"{""lékař online 24/7"":[26]}"
www.firmy.cz,26,26,1,0,1,"{""krevní testy"":[26]}"
www.instagram.com,27,27,1,0,1,"{""lékař online 24/7"":[27]}"
www.europainclinics.cz,27,27,1,0,1,"{""konzultace s lékařem online"":[27]}"
www.pruvodcepodnikanim.cz,27,27,1,0,1,"{""jak funguje eneschopenka"":[27]}"
www.mcsalve.cz,28,28,1,0,1,"{""jak funguje eneschopenka"":[28]}"
labin.cz,28,28,1,0,1,"{""krevní testy"":[28]}"
www.reservio.cz,29,29,1,0,1,"{""konzultace s lékařem online"":[29]}"
aiscz.cz,29,29,1,0,1,"{""jak funguje eneschopenka"":[29]}"
www.mudrkocar.cz,30,30,1,0,1,"{""jak funguje eneschopenka"":[30]}"
www.obecsumna.cz,31,31,1,0,1,"{""lékař online 24/7"":[31]}"
www.virtualnaklinika.sk,31,31,1,0,1,"{""konzultace s lékařem online"":[31]}"

