"retrieved_at","url","status","title","meta_description","h1","canonical","robots","self_hreflang","hreflang_count","schema_types","internal_link_count"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/about","200","O Global Health Česko | Online lékařská péče","Global Health Česko nabízí videokonzultace s lékaři registrovanými u České lékařské komory. Zjistěte, kdo jsme a jak služba funguje.","O Global Health Česko","https://www.myglobalhealth.online/czechia/cs/about","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|PostalAddress|PropertyValue|Question|WebSite","31"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/blog","200","Zdravotní články od registrovaných lékařů | Česko","Zdravotní články pro Česko od registrovaných lékařů. Praktické informace, zdroje a jasné upozornění, kdy je potřeba osobní péče.","Zdravotní články od registrovaných lékařů","https://www.myglobalhealth.online/czechia/cs/blog","index, follow","yes","7","BreadcrumbList|ContactPoint|Country|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|WebSite","32"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/book","200","Objednat online konzultaci | Global Health Česko","Objednejte online konzultaci v Česku. Vyberte službu, lékaře a dostupný termín a poté bezpečně doplňte údaje pacienta.","Objednejte si online konzultaci","https://www.myglobalhealth.online/czechia/cs/book","index, follow","yes","7","BreadcrumbList|ContactPoint|Country|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|WebSite","42"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/careers","200","Kariéra v Global Health Česko","Připojte se ke Global Health v Česku. Spolupracujeme s registrovanými lékaři, klinickou podporou a technologickými týmy v Evropě a Brazílii.","Kariéra v Global Health","https://www.myglobalhealth.online/czechia/cs/careers","index, follow","yes","7","BreadcrumbList|ContactPoint|Country|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|WebSite","30"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/contact","200","Kontakt | Global Health Česko","Kontaktujte Global Health Česko telefonicky na +420 608 353 716 nebo e-mailem na info@myglobalhealth.online. Provozní údaje a sídlo najdete na stránce.","Kontakt | Global Health Česko","https://www.myglobalhealth.online/czechia/cs/contact","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|PostalAddress|PropertyValue|Question|WebSite","31"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/faq","200","Časté otázky | Global Health Česko","Odpovědi na časté otázky o rezervaci, platbě, videokonzultaci, soukromí a situacích, kdy online péče není vhodná.","Časté otázky k online péči","https://www.myglobalhealth.online/czechia/cs/faq","index, follow","yes","3","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|Question|WebSite","30"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/legal","200","Právní informace | Global Health Česko","Právní dokumenty, údaje o provozovateli a regulační informace pro služby Global Health v Česku. Vyberte příslušný dokument.","Právní informace","https://www.myglobalhealth.online/czechia/cs/legal","index, follow","yes","7","BreadcrumbList|ContactPoint|Country|ImageObject|ListItem|MedicalOrganization|PostalAddress|PropertyValue|WebSite","33"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/legal/complaints-procedure","200","Postup při stížnostech | Global Health Česko","Postup pro podání a vyřízení stížnosti týkající se služeb Global Health v Česku, včetně kontaktních a regulačních údajů.","Postup při stížnostech","https://www.myglobalhealth.online/czechia/cs/legal/complaints-procedure","index, follow","yes","7","ContactPoint|Country|ImageObject|MedicalOrganization|PostalAddress|PropertyValue|WebSite","28"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/legal/medical-disclaimer","200","Zdravotní prohlášení | Global Health Česko","Zdravotní prohlášení k online péči Global Health v Česku, včetně omezení služby a pokynů pro naléhavé zdravotní situace.","Zdravotní prohlášení","https://www.myglobalhealth.online/czechia/cs/legal/medical-disclaimer","index, follow","yes","3","ContactPoint|Country|ImageObject|MedicalOrganization|PostalAddress|PropertyValue|WebSite","28"
"2026-09-01T15:15:57Z","https://www.myglobalhealth.online/czechia/cs/legal/privacy-policy","200","Ochrana osobních údajů | Global Health Česko","Zásady zpracování osobních a zdravotních údajů ve službách Global Health v Česku, včetně kontaktů a práv uživatelů.","Zásady ochrany osobních údajů","https://www.myglobalhealth.online/czechia/cs/legal/privacy-policy","index, follow","yes","7","ContactPoint|Country|ImageObject|MedicalOrganization|PostalAddress|PropertyValue|WebSite","28"
