keyword,search_volume,keyword_difficulty,cpc,competition,intent,rank,url,title,serp_features,monthly_searches_json
jak funguje eneschopenka,210,1,,0.019999999552965164,informational,17,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Neschopenka: jak funguje eNeschopenka (2026),"[""ai_overview"",""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":320},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":320},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":140},{""year"":2025,""month"":7,""search_volume"":140}]"
jak funguje neschopenka,210,18,,0.019999999552965164,informational,21,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Neschopenka: jak funguje eNeschopenka (2026),"[""ai_overview"",""people_also_ask"",""organic"",""video"",""related_searches"",""images""]","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":320},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":320},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":140},{""year"":2025,""month"":7,""search_volume"":140}]"
denní příjem bílkovin kalkulačka,260,10,0.30000001192092896,0.33000001311302185,informational,51,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,Kalorická Kalkulačka Česko | Výpočet Denního Příjmu,"[""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":260},{""year"":2026,""month"":4,""search_volume"":260},{""year"":2026,""month"":3,""search_volume"":320},{""year"":2026,""month"":2,""search_volume"":320},{""year"":2026,""month"":1,""search_volume"":390},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":320}]"
příjem kalorií při hubnutí kalkulačka,260,11,0.41999998688697815,0.44999998807907104,informational,63,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,Kalorická Kalkulačka Česko | Výpočet Denního Příjmu,"[""organic"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":260},{""year"":2026,""month"":3,""search_volume"":390},{""year"":2026,""month"":2,""search_volume"":320},{""year"":2026,""month"":1,""search_volume"":390},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":320},{""year"":2025,""month"":7,""search_volume"":320}]"
datum porodu,210,0,0.10999999940395355,0.3400000035762787,informational,44,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":390}]"
jak získat neomezené vycházky,210,0,,0,informational,29,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Neschopenka: jak funguje eNeschopenka (2026),"[""ai_overview"",""organic"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":210},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210}]"
kalkulačka váhy,210,21,0.12999999523162842,0.28999999165534973,informational,32,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,BMI Kalkulačka Česko | Výpočet BMI Online - Global Health,"[""organic"",""people_also_ask"",""related_searches"",""images""]","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":320},{""year"":2025,""month"":12,""search_volume"":260},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210},{""year"":2025,""month"":7,""search_volume"":260}]"
kdy jsem otěhotněla kalkulačka,210,0,0.3700000047683716,0.15000000596046448,informational,52,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Těhotenská Kalkulačka Česko | Termín Porodu a Týdny,"[""organic"",""people_also_ask"",""ai_overview"",""related_searches"",""images""]","[{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":320},{""year"":2025,""month"":7,""search_volume"":320}]"
kdy jsou plodné dny,210,0,0.20000000298023224,0.36000001430511475,informational,51,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Ovulační Kalkulačka Česko | Plodné Dny a Den Ovulace,"[""ai_overview"",""people_also_ask"",""organic"",""related_searches"",""images""]","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":260},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":320},{""year"":2025,""month"":8,""search_volume"":260},{""year"":2025,""month"":7,""search_volume"":260}]"
menstruační kalendář výpočet,210,0,0.17000000178813934,0.10999999940395355,informational,63,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Ovulační Kalkulačka Česko | Plodné Dny a Den Ovulace,"[""ai_overview"",""organic"",""images"",""people_also_ask"",""related_searches""]","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":320},{""year"":2025,""month"":8,""search_volume"":320},{""year"":2025,""month"":7,""search_volume"":390}]"
