slug,primary_keyword,secondary_keywords,evidence_summary,public_copy_updated_2026_08_26
acute-medical-consultation,same day doctor consultation ireland,"online medical consultation ireland; doctor advice online ireland; online doctor appointment","GSC primary-term impressions; OpenSEO online doctor appointment 110/mo KD19",no
aesthetic-medicine-consultation,aesthetic medicine consultation ireland,"online aesthetic consultation; pre-procedure medical advice; post-procedure assessment","OpenSEO expansion plus current service scope",no
chronic-disease-consultation,chronic disease consultation ireland,"chronic disease management ireland; online chronic care consultation; long-term condition review","GSC primary term average position 9",no
hair-loss-consultation,online hair loss consultation,"hair loss consultation ireland; hair thinning consultation; alopecia assessment ireland","GSC average position 17; OpenSEO 10/mo",yes
mens-health-consultation,online men's health consultation ireland,"men's health doctor ireland; erectile dysfunction consultation ireland; testosterone assessment ireland","GSC attribution; OpenSEO men's health Ireland 50/mo KD28",no
mental-health-consultation,online mental health consultation ireland,"GP mental health assessment ireland; anxiety consultation online ireland; depression consultation online ireland","WebDoctor sampled #1; GSC GP-assessment impressions",yes
musculoskeletal-pain-assessment,online musculoskeletal assessment ireland,"back pain consultation online; joint pain assessment online; sciatica consultation online","OpenSEO expansion plus current service scope",no
paediatric-consultation,online paediatric GP consultation ireland,"online doctor for children ireland; children's doctor online ireland; paediatric GP ireland","GSC 17 impressions for online paediatric consultation",no
referral-and-investigations,online GP referral ireland,"referral letter online; GP blood test referral; MRI referral GP ireland; specialist referral ireland","GSC referral-letter click at position 14 plus blood-test referral impressions",yes
second-opinion-consultation,online medical second opinion ireland,"doctor second opinion online; second opinion consultation; independent GP review ireland","GSC 19 impressions for second opinion consultation",no
sick-certificate-ireland,sick cert online,"online sick cert ireland; medical certificate online ireland; sick note online ireland; same day sick cert","OpenSEO 880/mo KD0; existing page already optimized",no
skin-dermatology-consultation,online skin consultation ireland,"skin consultation; doctor for skin; rash consultation online; eczema consultation online","OpenSEO 10/mo KD30; WebDoctor skin consultation 90/mo rank 23",yes
travel-health-consultation,travel health consultation ireland,"travel health assessment; pre-travel health check ireland; travel doctor; malaria risk advice ireland","GSC travel-health assessment position 16; WebDoctor travel doctor 90/mo rank 17",no
treatment-review,repeat prescription review ireland,"repeat prescription ireland; medication review online ireland; ongoing treatment review ireland","OpenSEO repeat prescription Ireland 70/mo KD14",yes
weight-management-consultation,online weight management ireland,"medical weight management ireland; weight loss consultation ireland; doctor-led weight loss ireland","WebDoctor weight management 90/mo rank 5 and weight loss Ireland 260/mo rank 2",yes
womens-health-consultation,online women's health consultation ireland,"women's health doctor ireland; menopause consultation ireland; PCOS consultation ireland","GSC hormone-care queries; broad OpenSEO context",no
