"url","http_status","indexable","canonical","page_type","title","meta_description","h1","word_count","schema_types","internal_links_in","internal_links_out","sitemap_inclusion","last_modified","primary_conversion_action","suspected_primary_topic","potential_seo_issue","observed_at"
"https://www.myglobalhealth.online/ireland/en/services/acute-medical-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/acute-medical-consultation","commercial service","See a Doctor Online in Ireland | Same-Day Appointments","Connect with an Irish-registered doctor today via secure video call. Same-day appointments available for acute symptoms, chronic queries, certificates, and more.","See a Doctor Online in Ireland","1129","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","2","54","true","Unavailable","Book consultation","online doctor ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/aesthetic-medicine-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/aesthetic-medicine-consultation","commercial service","Aesthetic Medicine Consultation Ireland | Pre & Post Procedure Care","Pre-procedure advice and post-procedure assessment for aesthetic medicine. Our Irish-registered doctors provide confidential pre-procedure advice and post-procedure assessment via secure video call.","Aesthetic Medicine Advisory & Post-Procedure Consultation","1499","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","2","47","true","Unavailable","Book consultation","aesthetic medicine consultation ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/cardiology-specialist-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/cardiology-specialist-consultation","commercial service","Cardiology Specialist Consultation Ireland | Online Cardiologist","Speak with an IMC-registered cardiologist online. Cardiovascular risk assessment, heart condition management, ECG review, and second opinions via secure video call. Book today.","Cardiology Specialist Consultation in Ireland","1907","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","7","47","true","Unavailable","Book consultation","online cardiologist ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/chronic-disease-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/chronic-disease-consultation","commercial service","Chronic Disease Consultation Ireland | Ongoing Care Online","Ongoing management for long-term conditions. Our IMC-registered Family Medicine specialists provide ongoing chronic disease care via secure video call. Same-day and scheduled appointments available.","Chronic Disease & Ongoing Care Consultation","1501","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","10","52","true","Unavailable","Book consultation","chronic disease consultation ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/hair-loss-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/hair-loss-consultation","commercial service","Hair Loss Consultation Ireland | Online Doctor Assessment","Assessment for hair loss and thinning hair. Our Irish-registered doctors assess the underlying cause and advise on evidence-based treatment options. Same-day appointments available.","Hair Loss Consultation in Ireland","2017","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","2","50","true","Unavailable","Book consultation","hair loss consultation ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/mens-health-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/mens-health-consultation","commercial service","Men's Health Consultation Ireland | Confidential Online Doctor","Confidential men's health assessment with an Irish-registered doctor. Erectile dysfunction, testosterone, libido, and sexual health — assessed and managed via secure video call.","Men's Health Consultation in Ireland","1366","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","2","51","true","Unavailable","Book consultation","online men's health consultation ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation","commercial service","Mental Health Consultation Ireland | GP Assessment Online","Confidential support for anxiety, low mood, or feeling overwhelmed. Our Irish-registered GPs provide confidential mental health assessments via secure video call. Same-day appointments available in Ireland.","Mental Health Consultation in Ireland","2024","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","5","48","true","Unavailable","Book consultation","online mental health consultation","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment","200","true","https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment","commercial service","Musculoskeletal & Pain Assessment Ireland | Online Doctor","Assessment for back pain, joint pain, sciatica, and soft tissue injury. Our Irish-registered doctors assess musculoskeletal and pain conditions via secure video call. Same-day appointments available.","Musculoskeletal & Pain Assessment in Ireland","1768","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","4","51","true","Unavailable","Book consultation","online pain assessment ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/paediatric-consultation","200","true","https://www.myglobalhealth.online/ireland/en/services/paediatric-consultation","commercial service","Paediatric GP Consultation Ireland | Online Doctor for Children","Speak with an Irish-registered GP about your child's health today. Same-day paediatric GP consultations for infants, children, and teenagers via secure video call.","Paediatric GP Consultation in Ireland","1963","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","2","51","true","Unavailable","Book consultation","online paediatric consultation ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
"https://www.myglobalhealth.online/ireland/en/services/referral-and-investigations","200","true","https://www.myglobalhealth.online/ireland/en/services/referral-and-investigations","commercial service","GP Referral & Medical Tests Ireland | Online Doctor Same Day","Specialist referrals, blood tests, MRI, and scan requests in Ireland. Our Irish-registered doctors assess your concern and coordinate investigations and referrals same day.","Specialist Referral & Diagnostic Investigation Consultation","1890","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|Offer|Organization|Physician|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","10","48","true","Unavailable","Book consultation","online doctor referral ireland","Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.","2026-08-25"
