"url","page_type","topic","title","meta_description","h1","subheadings","content_length","primary_cta","secondary_cta","trust_signals","safety_content","faq_count","schema_types","indexable","canonical","internal_links","ranking_keyword_count","estimated_traffic","referring_domains","observed_at","notes"
"https://www.webdoctor.ie/","homepage","online healthcare","Webdoctor.ie: Ireland's Leading Online Doctor Service ...","","Ireland's leading online doctor service","services|how it works|popular treatments|patient trust","","Book Now","Browse treatments","Trustpilot|press logos|Irish-registered doctors|visible prices","Service limitations presented in downstream templates","","Organization|WebSite|WebPage|AggregateRating|SearchAction|EntryPoint|ImageObject|PostalAddress","true","self","Megamenu|service cards|footer popular searches","","","","2026-08-25","Observed live"
"https://www.webdoctor.ie/about/","trust","company and clinicians","","","About Webdoctor.ie","history|clinicians|governance|media","","Learn more","Contact","Named clinicians|registration numbers|media|accreditation|corporate details","","","Organization|WebPage|BreadcrumbList|AggregateRating","true","self","Policy and clinician links","","","","2026-08-25","Some public claims must not be copied"
"https://www.webdoctor.ie/acne-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:15:50+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/adhd-assessment-adults-ireland/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-07-23T16:51:47+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/adhd-quiz/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:16:30+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/adhd-quiz/start/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2025-10-23T07:46:58+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/anaphylaxis-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:17:19+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/anaphylaxis-treatment/injectable-anaphlyaxis-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:11:12+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/asthma-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:18:50+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/asthma-treatment/asthma-attacks/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:07:59+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/asthma-treatment/asthma-symptoms/","supporting_article","asthma symptoms","","","Asthma symptoms","symptoms|when to seek help","","Read guidance","Treatment link","Commercial hub association","Urgent-care guidance","","WebPage|BreadcrumbList","true","self","Asthma hub","","","","2026-08-25","Observed cluster example"
"https://www.webdoctor.ie/asthma-treatment/what-is-asthma/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2024-05-03T08:08:02+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/avoid-yo-yo-dieting-ireland/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:48+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/bacterial-vaginosis-treatment/","commercial or topic page","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/page-sitemap.xml; lastmod 2026-05-03T11:19:31+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/bariatric-surgery-nutrition-long-term-success-tips-in-ireland/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:49+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
"https://www.webdoctor.ie/beat-the-clock-tips-to-avoid-jet-lag-this-summer/","editorial/supporting","","","","","","","","","","","","","Not page-checked","Unavailable","","","","","2026-08-25","Sitemap-discovered inventory row from https://www.webdoctor.ie/post-sitemap.xml; lastmod 2026-08-03T19:18:49+00:00. Not part of the 20-page deep template sample; page-level fields and OpenSEO URL metrics unavailable."
