"domain","url","title","ranking_keyword_count","best_position","estimated_traffic","keyword_search_volume_sum","top_keywords","source","collected_at"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/en/health-dictionary/fine-needle-aspiration-cytology","Fine needle aspiration cytology (FNAC)","1","2","204592","673000","fine-needle aspiration cytology","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/","Hospital da Luz: Consultas, Exames, Urgência, Cirurgia ...","4","2","60222.4","198100","hospital da luz | hospital | luz | hospital luz","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/hospitais-clinicas/hospital-lusiadas-lisboa","Hospital Lusíadas Lisboa","6","1","49886.4","164100","hospital dos lusíadas lisboa | hospital dos lusiadas | hospital lusíadas | lusiadas hospital | lusíadas hospital | lusiadas lisboa","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/","Lusíadas Saúde","5","1","48913.6","160900","lusiadas | lusíadas | lusiadas saude | my lusiadas | lusíadas saúde","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-descobertas-lisboa","Hospital CUF Descobertas - Lisboa","4","1","33110.15","156300","cuf descobertas | descobertas cuf | hospital cuf descobertas | hospital","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/hospitais-clinicas/hospital-lusiadas-porto","Hospital Lusíadas Porto","2","1","30096","99000","lusiadas porto | lusíadas porto","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"medis.pt","https://www.medis.pt/","Médis | Sistema de Saúde para Todos","14","1","26995.54","116700","medis | seguros de saude | seguros saúde | médis | seguro de saude | saude medis | seguro saude | medis portugal | médis portugal | plano de saude portugal | plano de saúde portugal | planos de saude portugal | seguros de saúde | seguros de sáude","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-tejo","Hospital CUF Tejo - Lisboa","2","1","25110.4","82600","cuf tejo | hospital cuf tejo","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/","CUF | Unidades de saúde: Hospitais, Clínicas e Centros de ...","2","1","24502.4","80600","cuf | hospital cuf","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-porto","Hospital CUF Porto","1","1","18392","60500","hospital cuf porto","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
