"source_domain","source_batch","keyword","detected_language","search_volume","keyword_difficulty","cpc_eur","competition","intent","trend","serp_features","position","ranking_url","estimated_traffic","collected_at"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","consultório","pt","480","0","0.36000001430511475","0.029999999329447746","informational","[{""year"":2026,""month"":7,""search_volume"":390},{""year"":2026,""month"":6,""search_volume"":390},{""year"":2026,""month"":5,""search_volume"":590},{""year"":2026,""month"":4,""search_volume"":480},{""year"":2026,""month"":3,""search_volume"":480},{""year"":2026,""month"":2,""search_volume"":390},{""year"":2026,""month"":1,""search_volume"":480},{""year"":2025,""month"":12,""search_volume"":390},{""year"":2025,""month"":11,""search_volume"":390},{""year"":2025,""month"":10,""search_volume"":480},{""year"":2025,""month"":9,""search_volume"":480},{""year"":2025,""month"":8,""search_volume"":480}]","images|local_pack|people_also_ask|organic|related_searches","4","https://www.myglobalhealth.online/pt","46.70399856567383","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","clínica","ca","5400","0","1.0299999713897705","0.1899999976158142","informational","[{""year"":2026,""month"":6,""search_volume"":5400},{""year"":2026,""month"":5,""search_volume"":5400},{""year"":2026,""month"":4,""search_volume"":5400},{""year"":2026,""month"":3,""search_volume"":6600},{""year"":2026,""month"":2,""search_volume"":5400},{""year"":2026,""month"":1,""search_volume"":6600},{""year"":2025,""month"":12,""search_volume"":4400},{""year"":2025,""month"":11,""search_volume"":5400},{""year"":2025,""month"":10,""search_volume"":5400},{""year"":2025,""month"":9,""search_volume"":5400},{""year"":2025,""month"":8,""search_volume"":5400},{""year"":2025,""month"":7,""search_volume"":6600}]","local_pack|organic|related_searches|images","41","https://www.myglobalhealth.online/pt","40.5","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","calcular imc","en","9900","16","0.05999999865889549","0.3700000047683716","informational","[{""year"":2026,""month"":6,""search_volume"":8100},{""year"":2026,""month"":5,""search_volume"":9900},{""year"":2026,""month"":4,""search_volume"":9900},{""year"":2026,""month"":3,""search_volume"":9900},{""year"":2026,""month"":2,""search_volume"":8100},{""year"":2026,""month"":1,""search_volume"":8100},{""year"":2025,""month"":12,""search_volume"":8100},{""year"":2025,""month"":11,""search_volume"":9900},{""year"":2025,""month"":10,""search_volume"":9900},{""year"":2025,""month"":9,""search_volume"":9900},{""year"":2025,""month"":8,""search_volume"":8100},{""year"":2025,""month"":7,""search_volume"":9900}]","organic|ai_overview|people_also_ask|short_videos|related_searches|images","59","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","20.790000915527344","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","ecg","de","4400","0","1.0399999618530273","0.03999999910593033","informational","[{""year"":2026,""month"":6,""search_volume"":3600},{""year"":2026,""month"":5,""search_volume"":4400},{""year"":2026,""month"":4,""search_volume"":4400},{""year"":2026,""month"":3,""search_volume"":4400},{""year"":2026,""month"":2,""search_volume"":3600},{""year"":2026,""month"":1,""search_volume"":4400},{""year"":2025,""month"":12,""search_volume"":3600},{""year"":2025,""month"":11,""search_volume"":4400},{""year"":2025,""month"":10,""search_volume"":5400},{""year"":2025,""month"":9,""search_volume"":4400},{""year"":2025,""month"":8,""search_volume"":2900},{""year"":2025,""month"":7,""search_volume"":3600}]","ai_overview|organic|people_also_ask|video|related_searches|knowledge_graph|images","90","https://www.myglobalhealth.online/pt/post/como-ler-um-eletrocardiograma-ecg-um-guia-pr%C3%A1tico-para-pacientes-da-global-health","9.239999771118164","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","eletrocardiograma","pt","3600","0","0.7099999785423279","0.05000000074505806","informational","[{""year"":2026,""month"":7,""search_volume"":2900},{""year"":2026,""month"":6,""search_volume"":2400},{""year"":2026,""month"":5,""search_volume"":2400},{""year"":2026,""month"":4,""search_volume"":4400},{""year"":2026,""month"":3,""search_volume"":5400},{""year"":2026,""month"":2,""search_volume"":4400},{""year"":2026,""month"":1,""search_volume"":4400},{""year"":2025,""month"":12,""search_volume"":2400},{""year"":2025,""month"":11,""search_volume"":4400},{""year"":2025,""month"":10,""search_volume"":4400},{""year"":2025,""month"":9,""search_volume"":2400},{""year"":2025,""month"":8,""search_volume"":1900}]","organic|people_also_ask|video|related_searches|knowledge_graph|images","81","https://www.myglobalhealth.online/pt/post/como-ler-um-eletrocardiograma-ecg-um-guia-pr%C3%A1tico-para-pacientes-da-global-health","7.559999942779541","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","general practitioner near me","en","170","0","1.649999976158142","0.2199999988079071","navigational","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":110},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":260},{""year"":2025,""month"":7,""search_volume"":210}]","compare_sites|local_pack|organic|people_also_ask|related_searches","21","https://www.myglobalhealth.online/pt","4.3520002365112305","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","atestado medico para carta de condução","pt","1900","0","2.380000114440918","0.6800000071525574","informational","[{""year"":2026,""month"":7,""search_volume"":1600},{""year"":2026,""month"":6,""search_volume"":1600},{""year"":2026,""month"":5,""search_volume"":2400},{""year"":2026,""month"":4,""search_volume"":2400},{""year"":2026,""month"":3,""search_volume"":2400},{""year"":2026,""month"":2,""search_volume"":1900},{""year"":2026,""month"":1,""search_volume"":2900},{""year"":2025,""month"":12,""search_volume"":2400},{""year"":2025,""month"":11,""search_volume"":1900},{""year"":2025,""month"":10,""search_volume"":2400},{""year"":2025,""month"":9,""search_volume"":1300},{""year"":2025,""month"":8,""search_volume"":1000}]","ai_overview|organic|people_also_ask|related_searches","43","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","3.990000009536743","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","consulta do viajante online","pt","1000","5","2.680000066757202","0.7300000190734863","navigational","[{""year"":2026,""month"":6,""search_volume"":1000},{""year"":2026,""month"":5,""search_volume"":1300},{""year"":2026,""month"":4,""search_volume"":1000},{""year"":2026,""month"":3,""search_volume"":1300},{""year"":2026,""month"":2,""search_volume"":1000},{""year"":2026,""month"":1,""search_volume"":1300},{""year"":2025,""month"":12,""search_volume"":590},{""year"":2025,""month"":11,""search_volume"":720},{""year"":2025,""month"":10,""search_volume"":880},{""year"":2025,""month"":9,""search_volume"":1000},{""year"":2025,""month"":8,""search_volume"":1000},{""year"":2025,""month"":7,""search_volume"":1300}]","organic|people_also_ask|related_searches|knowledge_graph|google_reviews","97","https://www.myglobalhealth.online/portugal/traveler's-consultation","2.0999999046325684","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","healthcare","en","880","32","2.2200000286102295","0.1599999964237213","informational","[{""year"":2026,""month"":7,""search_volume"":720},{""year"":2026,""month"":6,""search_volume"":720},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":880},{""year"":2026,""month"":3,""search_volume"":1000},{""year"":2026,""month"":2,""search_volume"":880},{""year"":2026,""month"":1,""search_volume"":1000},{""year"":2025,""month"":12,""search_volume"":880},{""year"":2025,""month"":11,""search_volume"":1000},{""year"":2025,""month"":10,""search_volume"":1000},{""year"":2025,""month"":9,""search_volume"":1000},{""year"":2025,""month"":8,""search_volume"":880}]","organic|people_also_ask|local_pack|video|related_searches|images","87","https://www.myglobalhealth.online/portugal/pt","1.8480000495910645","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","medico online","it","880","7","5.260000228881836","0.7799999713897705","informational","[{""year"":2026,""month"":6,""search_volume"":880},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":880},{""year"":2026,""month"":3,""search_volume"":880},{""year"":2026,""month"":2,""search_volume"":720},{""year"":2026,""month"":1,""search_volume"":1000},{""year"":2025,""month"":12,""search_volume"":1000},{""year"":2025,""month"":11,""search_volume"":720},{""year"":2025,""month"":10,""search_volume"":880},{""year"":2025,""month"":9,""search_volume"":880},{""year"":2025,""month"":8,""search_volume"":1000},{""year"":2025,""month"":7,""search_volume"":1000}]","ai_overview|organic|people_also_ask|related_searches","59","https://www.myglobalhealth.online/portugal/pt","1.8480000495910645","2026-08-31"
