"query","clicks","impressions","ctr","position","start_date","end_date"
"global health","17","116","0.14655172413793102","3.1379310344827585","2026-05-31","2026-08-28"
"telmo coelho psiquiatra","6","16","0.375","2.625","2026-05-31","2026-08-28"
"dr telmo coelho psiquiatra","5","34","0.14705882352941177","2.5","2026-05-31","2026-08-28"
"globalhealth","3","11","0.2727272727272727","1.6363636363636362","2026-05-31","2026-08-28"
"dr telmo coelho","2","9","0.2222222222222222","2","2026-05-31","2026-08-28"
"dr telmo psiquiatra","2","7","0.2857142857142857","2","2026-05-31","2026-08-28"
"global health online","2","3","0.6666666666666666","5","2026-05-31","2026-08-28"
"atestado medico para carta de condução","1","30","0.03333333333333333","40.03333333333333","2026-05-31","2026-08-28"
"atestado médico online","1","36","0.027777777777777776","18.52777777777778","2026-05-31","2026-08-28"
"atestados médicos online","1","5","0.2","13","2026-05-31","2026-08-28"
"global hc","1","1","1","2","2026-05-31","2026-08-28"
"global health medical center","1","1","1","3","2026-05-31","2026-08-28"
"help global consulta online","1","1","1","8","2026-05-31","2026-08-28"
"my global health","1","2","0.5","1","2026-05-31","2026-08-28"
"tabela registo tensão arterial","1","10","0.1","7.3","2026-05-31","2026-08-28"
"10 mmhg","0","1","0","10","2026-05-31","2026-08-28"
"105 56","0","1","0","5","2026-05-31","2026-08-28"
"13 de agosto de 2026","0","1","0","5","2026-05-31","2026-08-28"
"adhd test free","0","1","0","47","2026-05-31","2026-08-28"
"adhd teste","0","1","0","61","2026-05-31","2026-08-28"
"adhd tests free","0","1","0","52","2026-05-31","2026-08-28"
"agendações online portugal","0","5","0","52.4","2026-05-31","2026-08-28"
"alfredo del valle moreno montañez","0","2","0","10","2026-05-31","2026-08-28"
"amanhã é o último dia","0","1","0","2","2026-05-31","2026-08-28"
"analises hormonais","0","1","0","30","2026-05-31","2026-08-28"
"arzt für allgemeinmedizin in der nähe","0","1","0","11","2026-05-31","2026-08-28"
"arzt in nähe","0","1","0","12","2026-05-31","2026-08-28"
"ate quantos dias o medico pode dar atestado","0","1","0","3","2026-05-31","2026-08-28"
"atestado carta condução","0","1","0","51","2026-05-31","2026-08-28"
"atestado carta de condução","0","3","0","49","2026-05-31","2026-08-28"
"atestado imt","0","1","0","28","2026-05-31","2026-08-28"
"atestado medico","0","22","0","51.04545454545455","2026-05-31","2026-08-28"
"atestado medico barato","0","1","0","8","2026-05-31","2026-08-28"
"atestado medico carta condução","0","6","0","51.833333333333336","2026-05-31","2026-08-28"
"atestado medico consulta online","0","1","0","11","2026-05-31","2026-08-28"
"atestado medico imt","0","3","0","27.666666666666668","2026-05-31","2026-08-28"
"atestado medico on line","0","3","0","10.666666666666666","2026-05-31","2026-08-28"
"atestado medico online","0","13","0","17","2026-05-31","2026-08-28"
"atestado medico para carta de condução online","0","1","0","35","2026-05-31","2026-08-28"
"atestado médico","0","22","0","53.13636363636363","2026-05-31","2026-08-28"
"atestado médico carta de condução","0","5","0","43.2","2026-05-31","2026-08-28"
"atestado médico eletrónico","0","2","0","37","2026-05-31","2026-08-28"
"atestado médico eletrónico imt","0","3","0","34","2026-05-31","2026-08-28"
"atestado médico imt","0","2","0","29","2026-05-31","2026-08-28"
"atestado médico on line","0","1","0","8","2026-05-31","2026-08-28"
"atestado médico para carta de condução","0","34","0","38.411764705882355","2026-05-31","2026-08-28"
"atestado on line","0","1","0","9","2026-05-31","2026-08-28"
"atestado online","0","9","0","10","2026-05-31","2026-08-28"
"atestado para carta de condução","0","2","0","52","2026-05-31","2026-08-28"
"atestado para carta de condução online","0","1","0","4","2026-05-31","2026-08-28"
"atestado.medico online","0","1","0","11","2026-05-31","2026-08-28"
"atestados carta de condução","0","2","0","50","2026-05-31","2026-08-28"
"atestados medico","0","1","0","58","2026-05-31","2026-08-28"
"atestados medicos","0","4","0","44.5","2026-05-31","2026-08-28"
"atestados medicos carta condução","0","1","0","53","2026-05-31","2026-08-28"
"atestados medicos online","0","5","0","10.4","2026-05-31","2026-08-28"
"atestados médico","0","1","0","51","2026-05-31","2026-08-28"
"atestados online","0","1","0","11","2026-05-31","2026-08-28"
"auto declaração de doença","0","1","0","3","2026-05-31","2026-08-28"
"autodeclaração de doença","0","1","0","10","2026-05-31","2026-08-28"
