"query","page","clicks","impressions","ctr","position","start_date","end_date"
"global health","https://www.myglobalhealth.online/portugal/pt","12","53","0.22641509433962265","2.6226415094339623","2026-05-31","2026-08-28"
"telmo coelho psiquiatra","https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho","6","15","0.4","2.6","2026-05-31","2026-08-28"
"dr telmo coelho psiquiatra","https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho","5","34","0.14705882352941177","2.5","2026-05-31","2026-08-28"
"global health","https://www.myglobalhealth.online/home-pt","5","45","0.1111111111111111","4.666666666666666","2026-05-31","2026-08-28"
"dr telmo coelho","https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho","2","9","0.2222222222222222","2","2026-05-31","2026-08-28"
"dr telmo psiquiatra","https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho","2","7","0.2857142857142857","2","2026-05-31","2026-08-28"
"atestado medico para carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","1","30","0.03333333333333333","40.03333333333333","2026-05-31","2026-08-28"
"atestado médico online","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","1","25","0.04","18.52","2026-05-31","2026-08-28"
"atestados médicos online","https://www.myglobalhealth.online/portugal/ro/health/atestado-medico-online","1","3","0.3333333333333333","14","2026-05-31","2026-08-28"
"global hc","https://www.myglobalhealth.online/pt","1","1","1","2","2026-05-31","2026-08-28"
"global health medical center","https://www.myglobalhealth.online/","1","1","1","4","2026-05-31","2026-08-28"
"global health online","https://www.myglobalhealth.online/","1","3","0.3333333333333333","5.666666666666667","2026-05-31","2026-08-28"
"global health online","https://www.myglobalhealth.online/portugal/pt","1","1","1","2","2026-05-31","2026-08-28"
"globalhealth","https://www.myglobalhealth.online/home-pt","1","6","0.16666666666666666","2","2026-05-31","2026-08-28"
"globalhealth","https://www.myglobalhealth.online/portugal/pt","1","1","1","1","2026-05-31","2026-08-28"
"globalhealth","https://www.myglobalhealth.online/pt/about","1","7","0.14285714285714285","4","2026-05-31","2026-08-28"
"help global consulta online","https://www.myglobalhealth.online/pt/about","1","1","1","8","2026-05-31","2026-08-28"
"my global health","https://www.myglobalhealth.online/home-pt","1","1","1","4","2026-05-31","2026-08-28"
"tabela registo tensão arterial","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","1","10","0.1","7.3","2026-05-31","2026-08-28"
"10 mmhg","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","0","1","0","10","2026-05-31","2026-08-28"
"105 56","https://www.myglobalhealth.online/portugal/en/tools/blood-pressure-chart","0","1","0","5","2026-05-31","2026-08-28"
"13 de agosto de 2026","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","0","1","0","5","2026-05-31","2026-08-28"
"adhd test free","https://www.myglobalhealth.online/brazil/en/tools/adhd-test","0","1","0","47","2026-05-31","2026-08-28"
"adhd teste","https://www.myglobalhealth.online/portugal/es/tools/adhd-test","0","1","0","61","2026-05-31","2026-08-28"
"adhd tests free","https://www.myglobalhealth.online/brazil/en/tools/adhd-test","0","1","0","52","2026-05-31","2026-08-28"
"agendações online portugal","https://www.myglobalhealth.online/portugal/pt","0","5","0","52.4","2026-05-31","2026-08-28"
"alfredo del valle moreno montañez","https://www.myglobalhealth.online/spain/cs/doctors/dr-alfredo-del-valle","0","1","0","10","2026-05-31","2026-08-28"
"alfredo del valle moreno montañez","https://www.myglobalhealth.online/spain/es/see-a-specialist","0","1","0","10","2026-05-31","2026-08-28"
"amanhã é o último dia","https://www.myglobalhealth.online/portugal/en/services/baixa-medica","0","1","0","2","2026-05-31","2026-08-28"
"analises hormonais","https://www.myglobalhealth.online/ireland/pt/lab-tests/female-hormone-test","0","1","0","30","2026-05-31","2026-08-28"
"arzt für allgemeinmedizin in der nähe","https://www.myglobalhealth.online/portugal/de","0","1","0","11","2026-05-31","2026-08-28"
"arzt in nähe","https://www.myglobalhealth.online/portugal/de","0","1","0","12","2026-05-31","2026-08-28"
"ate quantos dias o medico pode dar atestado","https://www.myglobalhealth.online/spain/pt/services/justificante-medico-online","0","1","0","3","2026-05-31","2026-08-28"
"atestado carta condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","51","2026-05-31","2026-08-28"
"atestado carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","3","0","49","2026-05-31","2026-08-28"
"atestado imt","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","28","2026-05-31","2026-08-28"
"atestado medico","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","13","0","51.15384615384615","2026-05-31","2026-08-28"
"atestado medico","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","2","0","49","2026-05-31","2026-08-28"
"atestado medico","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","2","0","38.5","2026-05-31","2026-08-28"
"atestado medico","https://www.myglobalhealth.online/portugal/ro/health/atestado-medico-online","0","5","0","56.6","2026-05-31","2026-08-28"
"atestado medico barato","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","1","0","8","2026-05-31","2026-08-28"
"atestado medico carta condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","6","0","51.833333333333336","2026-05-31","2026-08-28"
"atestado medico consulta online","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","1","0","11","2026-05-31","2026-08-28"
"atestado medico imt","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","3","0","27.666666666666668","2026-05-31","2026-08-28"
"atestado medico on line","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","2","0","11","2026-05-31","2026-08-28"
"atestado medico on line","https://www.myglobalhealth.online/portugal/ro/health/atestado-medico-online","0","1","0","10","2026-05-31","2026-08-28"
"atestado medico online","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","10","0","18","2026-05-31","2026-08-28"
"atestado medico online","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","3","0","13.666666666666666","2026-05-31","2026-08-28"
"atestado medico para carta de condução online","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","35","2026-05-31","2026-08-28"
"atestado médico","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","14","0","56.285714285714285","2026-05-31","2026-08-28"
"atestado médico","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","4","0","58","2026-05-31","2026-08-28"
"atestado médico","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","0","2","0","53.5","2026-05-31","2026-08-28"
"atestado médico","https://www.myglobalhealth.online/spain/pt/services/justificante-medico-online","0","3","0","31.333333333333332","2026-05-31","2026-08-28"
