selector,url,source_sha256,approval_sha256,confirmation,result
"blog:doenca-mao-pe-boca-sinais-e-tratamento","https://www.myglobalhealth.online/portugal/pt/blog/doenca-mao-pe-boca-sinais-e-tratamento","462ce0ae4b64c26b75e3f5bf8087789970847c8927ffd5975dc3bac9697b64e0","b298d85547c0c17c15e82974925f113726477472c2e976fe9d33a41d98f9ead9","PT-SEO-B298D85547C0","matched one production record; no write"
"page:DOCTORS_INDEX","https://www.myglobalhealth.online/portugal/pt/doctors","9d8c625b0e2313f241e09886961ea8efa3358eb572f94cd35fc7d0acb4eaa875","f93a75c5b1aaa2b4b8b996b4d8e9ded6b40a48c32e0024654a950eebdc969ced","PT-SEO-F93A75C5B1AA","matched one production record; no write"
"doctor:beatriz-carvalho","https://www.myglobalhealth.online/portugal/pt/doctors/beatriz-carvalho","e3ef664bd8cec8f0f350ddbdb833cc1d86a98238a976a02921d0acf1601d74d0","bdcd563dd09ae08394faf4a74412dde67ec2ff404c08168953155bc6232bb4bc","PT-SEO-BDCD563DD09A","matched one production record; no write"
"doctor:dr-ana-leal-neto","https://www.myglobalhealth.online/portugal/pt/doctors/dr-ana-leal-neto","d3c744afc40713d66513f5dfb1f515ab94fb624a5473d3e7b6afea3ba9420bc0","c8258729d68fa087f011ef03642df7937678a24dfea43df8b762950988315df1","PT-SEO-C8258729D68F","matched one production record; no write"
"doctor:dr-egas-moura","https://www.myglobalhealth.online/portugal/pt/doctors/dr-egas-moura","95ab326cf25b7ebf99adc7bb62387f88aeba2ae3be03bd4d11bcd32dcbf83f19","f9ba938429718e737624022e1888f606420466bb45968f10f08a5a61ce74c23b","PT-SEO-F9BA93842971","matched one production record; no write"
"doctor:dr-joana-branco-maia","https://www.myglobalhealth.online/portugal/pt/doctors/dr-joana-branco-maia","238f5e1c422fd0949e039c15c0eb9eff6e6d0220b54262279f9c15054398a20d","2da8265888042b2f50c0de78d3dbee0c75c4331415e5957a06075d5cc5627e33","PT-SEO-2DA826588804","matched one production record; no write"
"doctor:dr-joao-de-oliveira-e-silva","https://www.myglobalhealth.online/portugal/pt/doctors/dr-joao-de-oliveira-e-silva","3506aba141c6ab06f1bc0b8dcc0ab156fa1c8e57c8cc19d757778c5a2ded38cc","e8ca811003ffc644177d21f95b30a84795c510b9a585db8813cf660567d58fc0","PT-SEO-E8CA811003FF","matched one production record; no write"
"doctor:dr-lucas-alvarenga-berto","https://www.myglobalhealth.online/portugal/pt/doctors/dr-lucas-alvarenga-berto","237df4712b7e8b172d626fb58548046a070e6214396acf22c2fe87507b019a4f","a108de2fd84234d0062f89757e692c81b7c1d62d06dae528240446c2776c12ce","PT-SEO-A108DE2FD842","matched one production record; no write"
"doctor:dr-margarida-andrade","https://www.myglobalhealth.online/portugal/pt/doctors/dr-margarida-andrade","6ee2424635b03ef8e5adc5356d850fa6bd716b7bc383c6e7069b3a9cf66f8015","70987eb28a59da3f498737df8c0b316f3d144072f2fd670751c6cadcc9d5e816","PT-SEO-70987EB28A59","matched one production record; no write"
"doctor:dr-pedro-santos","https://www.myglobalhealth.online/portugal/pt/doctors/dr-pedro-santos","c2b0178649cac4c21e1f65c79cf098e5f4908b887ed0869c90c0dcb60b2283fa","f90230d345e25ea806663d454c637989c0f16b929cb91fa17a1c0f4b42d255e9","PT-SEO-F90230D345E2","matched one production record; no write"
"doctor:dr-ruben-pereira","https://www.myglobalhealth.online/portugal/pt/doctors/dr-ruben-pereira","1b50d6514e1cedb09e91950af1a37e0b6af9fb52e1254421e38ed2009921f359","d11ba1bfb31c843dc797695702eeac787a4f67d964ca230aa767e825611b46aa","PT-SEO-D11BA1BFB31C","matched one production record; no write"
"doctor:dr-rui-diogo-rodrigues","https://www.myglobalhealth.online/portugal/pt/doctors/dr-rui-diogo-rodrigues","78796e9499b6bee911ab948fa113d4fc541e15d03341c6076c1007ea82ac4aeb","61cbdd93c9d9d8bb03cd9ba91501f712ff60cd4573bbe990a6c2ab699082465e","PT-SEO-61CBDD93C9D9","matched one production record; no write"
"doctor:dra-ana-varges-gomes","https://www.myglobalhealth.online/portugal/pt/doctors/dra-ana-varges-gomes","a48e991f1aedbfcfe5155d35530e20053f51d1fd171afcc50564da3f6a57a2e7","ff538471b2c0b2cc8a7867eedeab93ad69b9ed763bb08371f60aabc8b78a5f39","PT-SEO-FF538471B2C0","matched one production record; no write"
"doctor:dra-nadia-cavaco","https://www.myglobalhealth.online/portugal/pt/doctors/dra-nadia-cavaco","d9715bab451638c8e608024d0fdd5f992c6b731fd6affdc6fcdcc972df97effb","b76bc51e6985a5c0696d56880961f48093c7ec48fd8ba18dcd17c4ea6f420b5b","PT-SEO-B76BC51E6985","matched one production record; no write"
"page:GENERAL_CONSULTATION","https://www.myglobalhealth.online/portugal/pt/gp-consultation-online","3bac6b0f31b5191647085a0662c5a30517018fd86b0bab815fbb1af3b4073285","244ef8975a2553320757d2660b46f89e71d993e6e0829bead478f1282d113a6c","PT-SEO-244EF8975A25","matched one production record; no write"
"landing:infecoes-respiratorias","https://www.myglobalhealth.online/portugal/pt/health/infecoes-respiratorias","0ecfb47edeffad98a42a8114b1387e30f8f16e7599a0fd0decb5d93a799dc51f","35da04bd1e641e165d38c023406e32ba36f7fdb96eb56b9276471b5cd857be9a","PT-SEO-35DA04BD1E64","matched one production record; no write"
"page:SPECIALIST_CONSULTATION","https://www.myglobalhealth.online/portugal/pt/see-a-specialist","7c0a33bef56c6a37676ef31bc9c91379befaa5a87c8089d3b768c619da75dd87","099683bc4b57587647f160a05962d21c1df26e0b44f266540cd1f43bbf15ecd6","PT-SEO-099683BC4B57","matched one production record; no write"
