"url","page_role","locale","primary_keyword","keyword_source","priority","status","cannibalisation_control"
"https://www.myglobalhealth.online/romania/cs","home","cs","promluvte si s lékařem","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/about","about","cs","O Global Health Rumunsko","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog","blog","cs","Zdravotní příručky od registrovaných lékařů.","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","article","cs","Chronické nemoci a národní zdravotní programy v Rumunsku: jak to funguje","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","article","cs","Diabetes: tichá nemoc","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","article","cs","jak okamžitě snížit krevní tlak","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","article","cs","jak dlouho platí žádanka od lékaře","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","article","cs","Jak píšeme a revidujeme lékařský obsah","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","article","cs","nízký tlak příznaky","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","article","cs","ideální krevní tlak","master","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/book","book","cs","not applicable","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
"https://www.myglobalhealth.online/romania/cs/careers","careers","cs","Kariéra v Global Health","editorial label","P2","retain pending targeted editorial review","Retain current information intent; no commercial keyword stuffing"
