"url","locale","service","kind","bookability","reason","assigned_doctors","consultation_languages","next_available_at","price_cents","currency","duration_minutes","source_checked_at"
"https://www.myglobalhealth.online/romania/cs/services/a-doua-opinie-medicala","cs","a-doua-opinie-medicala","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:05.477Z"
"https://www.myglobalhealth.online/romania/cs/services/boli-cronice-online","cs","boli-cronice-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","16000","RON","15","2026-09-12T20:20:05.481Z"
"https://www.myglobalhealth.online/romania/cs/services/caderea-parului-online","cs","caderea-parului-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:05.504Z"
"https://www.myglobalhealth.online/romania/cs/services/consultatie-dermatologica","cs","consultatie-dermatologica","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:05.747Z"
"https://www.myglobalhealth.online/romania/cs/services/consultatie-neurologie","cs","consultatie-neurologie","SPECIALIST","BOOKABLE","","Dr Andreea Lorena Bica","Romanian | English","2026-09-14T12:50:00.000Z","22000","RON","20","2026-09-12T20:20:05.761Z"
"https://www.myglobalhealth.online/romania/cs/services/consultatie-pediatrie","cs","consultatie-pediatrie","SPECIALIST","BOOKABLE","","Dr Alexandra Palaga","Romanian | English","2026-09-14T12:47:00.000Z","18500","RON","15","2026-09-12T20:20:05.780Z"
"https://www.myglobalhealth.online/romania/cs/services/controlul-greutatii","cs","controlul-greutatii","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","15000","RON","15","2026-09-12T20:20:06.010Z"
"https://www.myglobalhealth.online/romania/cs/services/dureri-musculo-scheletice","cs","dureri-musculo-scheletice","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:06.025Z"
"https://www.myglobalhealth.online/romania/cs/services/evaluare-durere","cs","evaluare-durere","SPECIALIST","UNAVAILABLE","NO_APPROVED_DOCTOR","","","","23000","RON","20","2026-09-12T20:20:06.044Z"
"https://www.myglobalhealth.online/romania/cs/services/medic-online-romania","cs","medic-online-romania","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:06.291Z"
"https://www.myglobalhealth.online/romania/cs/services/medic-pediatru-online","cs","medic-pediatru-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","18500","RON","15","2026-09-12T20:20:06.294Z"
"https://www.myglobalhealth.online/romania/cs/services/medicina-calatoriei","cs","medicina-calatoriei","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","16000","RON","15","2026-09-12T20:20:06.306Z"
"https://www.myglobalhealth.online/romania/cs/services/reinnoire-tratament","cs","reinnoire-tratament","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","6500","RON","15","2026-09-12T20:20:06.583Z"
"https://www.myglobalhealth.online/romania/cs/services/sanatate-mintala-online","cs","sanatate-mintala-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","15000","RON","20","2026-09-12T20:20:06.577Z"
"https://www.myglobalhealth.online/romania/cs/services/sanatatea-barbatului-online","cs","sanatatea-barbatului-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","15000","RON","20","2026-09-12T20:20:06.577Z"
"https://www.myglobalhealth.online/romania/cs/services/sanatatea-femeii-online","cs","sanatatea-femeii-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","16000","RON","20","2026-09-12T20:20:06.862Z"
"https://www.myglobalhealth.online/romania/cs/services/trimiteri-si-investigatii","cs","trimiteri-si-investigatii","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","16000","RON","20","2026-09-12T20:20:06.855Z"
"https://www.myglobalhealth.online/romania/de/services/a-doua-opinie-medicala","de","a-doua-opinie-medicala","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:07.212Z"
"https://www.myglobalhealth.online/romania/de/services/boli-cronice-online","de","boli-cronice-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","16000","RON","15","2026-09-12T20:20:07.406Z"
"https://www.myglobalhealth.online/romania/de/services/caderea-parului-online","de","caderea-parului-online","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:07.429Z"
"https://www.myglobalhealth.online/romania/de/services/consultatie-dermatologica","de","consultatie-dermatologica","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:07.487Z"
"https://www.myglobalhealth.online/romania/de/services/consultatie-neurologie","de","consultatie-neurologie","SPECIALIST","BOOKABLE","","Dr Andreea Lorena Bica","Romanian | English","2026-09-14T12:50:00.000Z","22000","RON","20","2026-09-12T20:20:07.680Z"
"https://www.myglobalhealth.online/romania/de/services/consultatie-pediatrie","de","consultatie-pediatrie","SPECIALIST","BOOKABLE","","Dr Alexandra Palaga","Romanian | English","2026-09-14T12:47:00.000Z","18500","RON","15","2026-09-12T20:20:07.697Z"
"https://www.myglobalhealth.online/romania/de/services/controlul-greutatii","de","controlul-greutatii","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","15000","RON","15","2026-09-12T20:20:07.782Z"
"https://www.myglobalhealth.online/romania/de/services/dureri-musculo-scheletice","de","dureri-musculo-scheletice","GENERAL","BOOKABLE","","Dr Robert Gabriel Brindus","Romanian | English","2026-09-14T12:54:00.000Z","11500","RON","15","2026-09-12T20:20:08.087Z"
