"keyword","seed","reason","search_volume"
"112/60","GSC","No clear page-topic relevance; retain raw evidence only",""
"26 ani","GSC","No clear page-topic relevance; retain raw evidence only",""
"46/1.75","GSC","No clear page-topic relevance; retain raw evidence only",""
"84/46","GSC","No clear page-topic relevance; retain raw evidence only",""
"afla daca esti obez","GSC","No clear page-topic relevance; retain raw evidence only",""
"aus rumänien","GSC","No clear page-topic relevance; retain raw evidence only",""
"blood work","GSC","No clear page-topic relevance; retain raw evidence only",""
"book a consultation","GSC","No clear page-topic relevance; retain raw evidence only",""
"book an appointment online","GSC","No clear page-topic relevance; retain raw evidence only",""
"book an appointment with gp","GSC","No clear page-topic relevance; retain raw evidence only",""
"bookappointment","GSC","No clear page-topic relevance; retain raw evidence only",""
"calcul obezitate","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculare indice de obezitate","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculare obezitate","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculatoare online romania","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator data conceptiei","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator icm","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator indice corporal","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator metabolism bazal","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator obezitate","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator rata metabolica","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator rata metabolica bazala pentru slabit","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator slabire","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculator slabit","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculeaza cand iti vine menstruatia","GSC","No clear page-topic relevance; retain raw evidence only",""
"calculeaza greutatea corporala","GSC","No clear page-topic relevance; retain raw evidence only",""
"calendar concepere copil","GSC","No clear page-topic relevance; retain raw evidence only",""
"calendar conceptie","GSC","No clear page-topic relevance; retain raw evidence only",""
"calendar gravide","GSC","No clear page-topic relevance; retain raw evidence only",""
