"keyword","language","location","owner_url","search_volume","difficulty","intent_provider","source","evidence_type","decision"
"médico online","es","2724","https://www.myglobalhealth.online/spain/es/services/consulta-medica-online","480","10","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
"consulta médica online","es","2724","https://www.myglobalhealth.online/spain/es/services/consulta-medica-online","260","36","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
"dermatología online","es","2724","https://www.myglobalhealth.online/spain/es/services/dermatologia-especialista-online","210","0","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
"justificante médico online","es","2724","https://www.myglobalhealth.online/spain/es/services/justificante-medico-online","140","0","informational","raw/metrics-es-2026-09-13.json","measured keyword","private document only; public-system/template intent excluded"
"medicina estética online","es","2724","https://www.myglobalhealth.online/spain/es/services/consulta-online-medicina-estetica","10","","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
"cardiólogo online","es","2724","https://www.myglobalhealth.online/spain/es/services/cardiologo-online","","","informational","raw/metrics-es-2026-09-13.json","measured keyword","hold supply/specialty"
"dermatólogo online","es","2724","https://www.myglobalhealth.online/spain/es/services/dermatologia-especialista-online","","0","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
"psicólogo online","es","2724","https://www.myglobalhealth.online/spain/es/services/psicologo-online","","27","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
"psiquiatra online","es","2724","https://www.myglobalhealth.online/spain/es/services/psiquiatra-online","","0","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
"segunda opinión médica","es","2724","https://www.myglobalhealth.online/spain/es/services/segunda-opinion-medica","","0","informational","raw/metrics-es-2026-09-13.json","measured keyword","existing service; no new page"
