"url","locale","page_type","keyword_ownership","keyword_evidence","observed_queries","disposition"
"https://www.myglobalhealth.online/spain/cs","cs","home","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/about","cs","about","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog","cs","blog","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog/dermatolog-online-spanelsko","cs","article","","observed GSC query/page; no volume inference","dermatolog online | online dermatolog | dermatologista","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog/diabetes-tiche-onemocneni","cs","article","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog/jak-snizit-krevni-tlak-co-funguje-podle-smernic-a-co-jen-vypada-ze-funguje","cs","article","","observed GSC query/page; no volume inference","jak snížit krevní tlak okamžitě | lipový čaj a vysoký tlak","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog/medical-review-policy","cs","article","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog/normalni-krevni-tlak-prehled-podle-veku-a-pohlavi-bez-mytu","cs","article","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog/pracovni-neschopnost-uzkost-spanelsko","cs","article","","observed GSC query/page; no volume inference","úzkostná porucha pracovní neschopnost","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/blog/vysoky-krevni-tlak-priznaky-pohotovost-spanelsko","cs","article","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/book","cs","book","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/careers","cs","careers","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/contact","cs","contact","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/doctors","cs","doctors","","editorial page role; unmeasured","","retain with evidence"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-alfredo-del-valle","cs","doctor","","observed GSC query/page; no volume inference","alfredo del valle moreno montañez | alfredo del val moreno montañez","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-eduardo-olivas","cs","doctor","","editorial page role; unmeasured","","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-eszter-szilagyi","cs","doctor","","observed GSC query/page; no volume inference","dr szilágyi eszter | eszter szilagyi","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-fabiana-cornejo","cs","doctor","","observed GSC query/page; no volume inference","fabiana cornejo","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-fidel-mesa-prado","cs","doctor","","editorial page role; unmeasured","","hold"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-javier-villarte-betancor","cs","doctor","","editorial page role; unmeasured","","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-leandro-wang","cs","doctor","","editorial page role; unmeasured","","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-luz-marina-zuluaga-rios","cs","doctor","","observed GSC query/page; no volume inference","luz marina zuluaga","hold"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-maria-fernanda-ocampo-mora","cs","doctor","","editorial page role; unmeasured","","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-romulo-brito","cs","doctor","","editorial page role; unmeasured","","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-silvina-irale","cs","doctor","","observed GSC query/page; no volume inference","irale","change"
"https://www.myglobalhealth.online/spain/cs/doctors/dr-syed-tahir","cs","doctor","","editorial page role; unmeasured","","change"
