"doctor_id","name","slug","stored_number","official_number","official_name","official_specialty","official_status","verification_status","consultation_languages","bookability","source","scope_hold"
"cmrdpz5n3001z01rukg2lecs5","Dra. Eszter Szilágyi","dr-eszter-szilagyi","292912849","292912849","ESZTER SZILAGYI","Médico especialista en Cirugía Cardiovascular","Médico de ALTA con ejercicio privado","named registry record observed; biography not certified","Spanish | English | Hungarian | German","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdppjf5000u01ru1ayu78k0","Dr. Alfredo del Valle Moreno Montañez","dr-alfredo-del-valle","282885136","282885136","ALFREDO DEL VALLE MORENO MONTAÑEZ","Médico especialista en Dermatología Médico-Quirúrgica y Venereología","Médico de ALTA con ejercicio (sin datos profesionales registrados)","named registry record observed; biography not certified","Spanish | English","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdpwar1001n01ruwhfioqs6","Dra. Luz Marina Zuluaga Ríos","dr-luz-marina-zuluaga-rios","202009507","202009507","LUZ MARINA ZULUAGA RIOS","Médico General","Médico de ALTA sin ejercicio","discrepancy: registry ALTA sin ejercicio (rechecked 2026-09-14) vs owner attestation","Spanish","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdpted5001901ru0wk0ncnd","Dra. María Fernanda Ocampo Mora","dr-maria-fernanda-ocampo-mora","291409735","291409735","MARIA FERNANDA OCAMPO MORA","Médico General","Médico de ALTA con ejercicio privado","named registry record observed; biography not certified","Spanish","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdpu7ro001e01ruc1ycm5n5","Dra. María Silvina Irale Tunkiewicz","dr-silvina-irale","282889392","282889392","MARIA SILVINA IRALE TUNKIEWICZ","Médico General","Médico de ALTA con ejercicio (sin datos profesionales registrados)","named registry record observed; biography not certified","Spanish","BOOKABLE","https://consultapublica.cgcom.es/","Registry Médico General; do not promote as specialist pediatrician"
"cmrdpvch9001i01ruy7pmzmdk","Dra. Mónica Fabiana Cornejo Román","dr-fabiana-cornejo","64182","280864182","MONICA FABIANA CORNEJO ROMAN","Médico especialista en Psiquiatría","Médico de ALTA con ejercicio público","named registry record observed; biography not certified","Spanish","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdpxpi0001v01ruqavjiq79","Dr. Eduardo Daniel Rodríguez Olivas","dr-eduardo-olivas","070713200","070713200","EDUARDO DANIEL RODRIGUEZ OLIVAS","Médico General","Médico de ALTA con ejercicio privado","named registry record observed; biography not certified","Spanish | English","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdpqvkc000z01rui7z5it57","Dr. Fidel Ernesto Mesa Prado","dr-fidel-mesa-prado","292911355","292911355","FIDEL ERNESTO MESA PRADO","Médico especialista en Cardiología","Médico de ALTA con ejercicio mixto","named registry record observed; biography not certified","Spanish | English","UNAVAILABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdpx4ah001r01rupv1od828","Dr. Leandro Wang","dr-leandro-wang","464628929","464628929","LEANDRO WANG","Médico General","Médico de ALTA con ejercicio público","named registry record observed; biography not certified","Spanish","BOOKABLE","https://consultapublica.cgcom.es/","Owner confirmed 2026-09-14 specialist qualification evidence exists; source not yet on file; registry label Médico General"
"cmrdpsayj001401ruyb4x1ze3","Dr. Rómulo Andrés Brito González","dr-romulo-brito","070711359","070711359","ROMULO ANDRES BRITO GONZALEZ","Médico General","Médico de ALTA con ejercicio público","named registry record observed; biography not certified","Spanish","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdq2bu1002f01ru2g8317b6","Dr. Syed Tahir","dr-syed-tahir","61323","080861323","SYED IRTIZA TAHIR","","Médico de ALTA con ejercicio mixto","named registry record observed; biography not certified","Spanish | English | Hindi | Urdu | Dutch","BOOKABLE","https://consultapublica.cgcom.es/","Retain detailed biography claims; not independently verified"
"cmrdq1nhe002b01ru2xmq0iab","Javier Villarte Betancor","dr-javier-villarte-betancor","AO14346","AO14346","Javier Villarte Betancor","","Named entry; no exercise status independently established","named registry record observed; biography not certified","Spanish","BOOKABLE","https://www.copao.com/index.php/directorio/ao14346","Retain detailed biography claims; not independently verified"
"cmrdq0tv2002701rupeh3nkyd","Tomás Ruiz Palacios","dr-tomas-ruiz-palacios","MUO5691","","","","unverified","named registry record observed: COP Región de Murcia public search 2026-09-14: TOMAS RUIZ PALACIOS, MU05691 (stored MUO5691 is a letter-O typo)","Spanish | Italian","BOOKABLE","https://www.cop.es/","Verified against COP Murcia 2026-09-14 (raw/registry-recheck-tomas-2026-09-14.json); correct stored number typo MUO5691 to MU05691 via the doctor portal"
