"url","locale","resolved_locale","kind","service","bookability","reason","next_available_at","doctors","consultation_languages","price_cents","duration","registry_issue","source"
"https://www.myglobalhealth.online/spain/cs/services/caida-cabello-online","cs","CS","GENERAL","caida-cabello-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-caida-cabello-online-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/cardiologo-online","cs","CS","SPECIALIST","cardiologo-online","UNAVAILABLE","NO_OPEN_SLOT","","Dr. Fidel Ernesto Mesa Prado","Dr. Fidel Ernesto Mesa Prado: Spanish, English","7900","15","","raw/api/services-cardiologo-online-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/consulta-diagnotico-vascular","cs","CS","SPECIALIST","consulta-diagnotico-vascular","BOOKABLE","","2026-09-14T12:44:00.000Z","Dr. Leandro Wang","Dr. Leandro Wang: Spanish","17000","30","","raw/api/services-consulta-diagnotico-vascular-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/consulta-flebologia-y-linfologia","cs","CS","SPECIALIST","consulta-flebologia-y-linfologia","BOOKABLE","","2026-09-14T12:44:00.000Z","Dr. Leandro Wang","Dr. Leandro Wang: Spanish","15000","30","","raw/api/services-consulta-flebologia-y-linfologia-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/consulta-medica-online","cs","CS","GENERAL","consulta-medica-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Eszter Szilágyi | Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German | Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-consulta-medica-online-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/consulta-online-medicina-estetica","cs","CS","GENERAL","consulta-online-medicina-estetica","BOOKABLE","","2026-09-13T06:23:00.000Z","Dra. María Fernanda Ocampo Mora","Dra. María Fernanda Ocampo Mora: Spanish","7500","30","","raw/api/services-consulta-online-medicina-estetica-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/consulta-piel-online","cs","CS","GENERAL","consulta-piel-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-consulta-piel-online-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/consulta-salud-vascular-circulatoria","cs","CS","GENERAL","consulta-salud-vascular-circulatoria","BOOKABLE","","2026-09-13T12:08:00.000Z","Dra. Eszter Szilágyi","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German","7500","20","","raw/api/services-consulta-salud-vascular-circulatoria-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/control-peso-online","cs","CS","GENERAL","control-peso-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Eszter Szilágyi | Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German | Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-control-peso-online-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/dejar-de-fumar-online","cs","CS","GENERAL","dejar-de-fumar-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-dejar-de-fumar-online-CS.json"
"https://www.myglobalhealth.online/spain/cs/services/derivaciones-pruebas-online","cs","CS","GENERAL","derivaciones-pruebas-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-derivaciones-pruebas-online-CS.json"
