observed_at,country,prospect_domain,prospect_url,prospect_type,relevance,authority_metric,proposed_target,rationale,priority,outreach_status,origin,source_file,paid_link
2026-09-15,ireland,irishtimes.com,https://www.irishtimes.com/health/your-wellness/2022/08/09/high-blood-pressure-a-key-risk-factor-for-circulatory-disease/,Editorial dofollow,High,Domain rank 78,/ireland/en/tools/blood-pressure-chart,"Offer a clinician-reviewed Ireland-specific data note or expert comment, not a replacement-demand email",P1,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,mixcloud.com,https://www.mixcloud.com/1032DublinCityFM/interview-with-dr-diane-bennis-gp-with-webdoctorie-24th-january-2023/,"Interview citation, nofollow",Medium,Domain rank 84,Verified clinician profile or public-health resource,"Offer an available, consented clinician for a timely radio topic",P2,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,businessplus.ie,https://businessplus.ie/media-plus/webdoctor-ie-spanish/,Editorial nofollow,Medium,Domain rank 62,Multilingual telemedicine evidence page,Pitch original data about multilingual healthcare access in Ireland,P2,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,rsvplive.ie,https://www.rsvplive.ie/life/health/best-weight-loss-diet-follow-34544778,Editorial nofollow,Medium,Domain rank 55,/ireland/en/services/weight-management-consultation,"Offer a clinician comment on safe, evidence-based weight management",P2,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,thinkbusiness.ie,https://www.thinkbusiness.ie/articles/irish-businesses-festival-ready-2026/,Editorial dofollow,Medium,Domain rank 45,Employer health / sick-leave research asset,Create original employer-health data or an operational guide for Irish SMEs,P2,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,careplus.ie,https://www.careplus.ie/online-gp,Commercial partnership dofollow,High,Domain rank 37,/ireland/en/gp-consultation-online,Explore a genuine pharmacy referral partnership only if commercial terms and patient pathways align,P2,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,staywell.ie,https://www.staywell.ie/online-gp,Commercial partnership dofollow,Medium,Domain rank 25,/ireland/en/gp-consultation-online,Explore a genuine benefits or care-navigation partnership,P3,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,stratuspharmacy.ie,https://www.stratuspharmacy.ie/c/online-doctor/223,Commercial directory/partner,Medium,Domain rank 30; spam score 25,/ireland/en/gp-consultation-online,Only pursue if there is a real pharmacy service relationship,P3,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,careplus.ie,,Partnership prospect,High,Unavailable,/ireland/en/lab-tests,Co-create a patient-safe home-test handling guide if operationally true,P3,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
2026-09-15,ireland,hse.ie,,"Authority source, not outreach target",High,Unavailable,Clinician-reviewed patient guides,Cite relevant official guidance accurately; do not solicit links as the primary tactic,P3,not contacted,repo (2026-08-25),seo/ireland/08-backlink-opportunities.csv,no - earned/editorial or profile-accuracy only
