observed_at,source_domain,source_url,target_url,anchor,rel_attribute,link_status,first_seen,last_seen,provider,provider_metric_name,provider_metric_value,target_country,relevance,opportunity,evidence,resolved_target_url,resolved_http_status,rel_attributes_raw
2026-09-15,articlescad.com,https://articlescad.com/porque-o-atestado-m-dico-importante-para-a-carta-de-condu-o-161903.html,https://www.myglobalhealth.online/pt/portugal/medical-consultation,consulta médica online em Portugal,dofollow,live,2026-05-28,,DataForSEO via OpenSEO,domain_rank|spam_score,75|0,portugal,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/services/consulta-medica,200,
2026-09-15,articlescad.com,https://articlescad.com/porque-o-atestado-m-dico-importante-para-a-carta-de-condu-o-161903.html,https://www.myglobalhealth.online/pt/portugal/medical-certificate-for-driving-license,Avaliação de saúde em Portugal,dofollow,live,2026-05-28,,DataForSEO via OpenSEO,domain_rank|spam_score,75|0,portugal,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,200,
2026-09-15,wix.to,https://wix.to/j1mGV4J,https://www.myglobalhealth.online/booking-calendar/pt-medicare-consulta-do-viajante-1?utm_medium=page_links,,dofollow,live,2025-11-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,portugal,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/Rcby3iS,https://www.myglobalhealth.online/booking-calendar/medicare-cert-medico-carta-condu%25C3%25A7%25C3%25A3o?utm_medium=page_links,,dofollow,live,2025-11-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/vm0ScOm,https://www.myglobalhealth.online/booking-calendar/pt-cons-de-medicina-geral-e-familiar?utm_medium=page_links,,dofollow,live,2026-05-27,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,portugal,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/ov7lOxg,https://www.myglobalhealth.online/booking-calendar/pt-cons-cessa%C3%A7%C3%A3o-tabagica?utm_medium=page_links,,dofollow,live,2026-05-27,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,portugal,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/services/deixar-de-fumar?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/DEjPF8b,https://www.myglobalhealth.online/booking-calendar/consulta-para-disfunci%25C3%25B3n-er%25C3%25A9ctil?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/F684esz,https://www.myglobalhealth.online/booking-calendar/baja-medica?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,spain,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/spain/es/services/justificante-medico-online?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/dRSPNcr,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-pneumologie?utm_medium=page_links,,dofollow,live,2026-05-27,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/ADpA1Rl,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-ginecologie-obstet?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/sanatatea-femeii-online?utm_medium=page_links,200,
