query,competing_urls,impressions_W1,clicks_W1,top_url,top_url_market,top_url_locale,top_url_section,best_position,cannibalisation_type,markets_involved,locales_involved,url_detail
calculator calorii,2,1604,19,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,7.6,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [1578i/19c/p8] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [26i/0c/p22]
global health,19,306,20,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,1.0,cross_market+wrong_locale,Brazil|Czechia|Ireland|Portugal|Romania|Spain,cs|en|es|pt|ro,https://www.myglobalhealth.online/spain/es [96i/1c/p8] ;; https://www.myglobalhealth.online [88i/4c/p18] ;; https://www.myglobalhealth.online/ireland/en [40i/1c/p6] ;; https://www.myglobalhealth.online/portugal/pt [38i/7c/p3] ;; https://www.myglobalhealth.online/czechia/cs [15i/6c/p3] ;; https://www.myglobalhealth.online/ireland/en/about [8i/0c/p42]
calculator de calorii,2,275,2,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,7.8,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [272i/2c/p8] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [3i/0c/p18]
illness benefit ireland,3,183,0,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,13.8,wrong_locale,Ireland,cs|en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [144i/0c/p14] ;; https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing [38i/0c/p14] ;; https://www.myglobalhealth.online/ireland/cs/blog/illness-benefit-irsko-jak-zazadat [1i/0c/p32]
medicos online,5,144,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,10.0,cross_market+wrong_locale,Portugal|Romania|Spain,es|pt,https://www.myglobalhealth.online/spain/es [122i/0c/p23] ;; https://www.myglobalhealth.online/portugal/pt [11i/0c/p46] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [8i/0c/p79] ;; https://www.myglobalhealth.online/romania/es [2i/0c/p10] ;; https://www.myglobalhealth.online/spain/pt [1i/0c/p67]
consulta medica online,3,130,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,42.4,cross_market+wrong_locale,Portugal|Spain,es|pt,https://www.myglobalhealth.online/spain/es [74i/0c/p42] ;; https://www.myglobalhealth.online/portugal/pt [40i/0c/p58] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [16i/0c/p89]
my global health,26,120,8,https://www.myglobalhealth.online,,,legacy_or_global,1.0,cross_market+wrong_locale,Czechia|Ireland|Portugal|Romania|Spain,cs|en|es|pt|ro,https://www.myglobalhealth.online [45i/5c/p2] ;; https://www.myglobalhealth.online/ireland/en/about [15i/1c/p1] ;; https://www.myglobalhealth.online/romania/ro/faq [11i/0c/p6] ;; https://www.myglobalhealth.online/privacy [6i/0c/p1] ;; https://www.myglobalhealth.online/service-page/ie-medical-consultation [5i/0c/p2] ;; https://www.myglobalhealth.online/ireland/en [4i/0c/p2]
neschopenka,3,104,0,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Czechia,cs,blog,1.4,wrong_locale,Czechia,cs|de|en,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka [91i/0c/p25] ;; https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained [11i/0c/p1] ;; https://www.myglobalhealth.online/czechia/de/blog/neschopenka-krankschreibung-in-tschechien [2i/0c/p2]
global health ireland,5,100,5,https://www.myglobalhealth.online,,,legacy_or_global,3.0,wrong_locale,Ireland,en|pt,https://www.myglobalhealth.online [40i/3c/p6] ;; https://www.myglobalhealth.online/ireland/en [24i/0c/p10] ;; https://myglobalhealth.online/ie/en/book [20i/0c/p15] ;; https://www.myglobalhealth.online/ireland/en/about [15i/1c/p6] ;; https://www.myglobalhealth.online/ireland/pt [1i/1c/p3]
médico online,4,97,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,25.9,cross_market+wrong_locale,Brazil|Portugal|Spain,es|pt,https://www.myglobalhealth.online/portugal/pt [44i/0c/p58] ;; https://www.myglobalhealth.online/spain/es [30i/0c/p26] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [22i/0c/p86] ;; https://www.myglobalhealth.online/brazil/pt [1i/0c/p26]
medico online portugal,4,97,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,4.0,wrong_locale,Portugal,es|pt,https://www.myglobalhealth.online/portugal/pt [61i/0c/p38] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [32i/0c/p82] ;; https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online [3i/0c/p32] ;; https://www.myglobalhealth.online/portugal/es [1i/0c/p4]
psiquiatra online,2,93,0,https://www.myglobalhealth.online/spain/pt/services/psiquiatra-online,Spain,pt,services,59.4,wrong_locale,Spain,en|pt,https://www.myglobalhealth.online/spain/pt/services/psiquiatra-online [51i/0c/p59] ;; https://www.myglobalhealth.online/spain/en/services/psiquiatra-online [42i/0c/p75]
how much is illness benefit in ireland,2,90,1,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing,Ireland,en,blog,8.1,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing [75i/1c/p8] ;; https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [15i/0c/p28]
calculator deficit caloric,2,82,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,9.9,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [79i/0c/p10] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [3i/0c/p20]
medico online,5,81,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,6.0,cross_market+wrong_locale,Ireland|Portugal|Spain,es|pt,https://www.myglobalhealth.online/spain/es [61i/0c/p30] ;; https://www.myglobalhealth.online/portugal/pt [11i/0c/p58] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [6i/0c/p88] ;; https://www.myglobalhealth.online/ireland/pt [2i/0c/p6] ;; https://www.myglobalhealth.online/portugal/es [1i/0c/p8]
healthy online,3,79,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,1.0,cross_market,Czechia|Spain,cs|es,https://www.myglobalhealth.online/spain/es [74i/0c/p5] ;; https://www.myglobalhealth.online/czechia/cs [4i/0c/p2] ;; https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi [1i/0c/p1]
global health online,3,75,7,https://www.myglobalhealth.online,,,legacy_or_global,2.5,no,Ireland,en,https://www.myglobalhealth.online [69i/6c/p5] ;; https://www.myglobalhealth.online/ireland/en/about [4i/1c/p2] ;; https://www.myglobalhealth.online/about [2i/0c/p10]
consulta cardio online,5,73,0,https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia,Portugal,pt,services,18.1,cross_market+wrong_locale,Portugal|Spain,pt,https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia [26i/0c/p18] ;; https://www.myglobalhealth.online/spain/pt/services/cardiologo-online [24i/0c/p81] ;; https://www.myglobalhealth.online/portugal/pt [18i/0c/p72] ;; https://www.myglobalhealth.online/pt/portugal-specialist-consultations/consulta-de-cardiologia [3i/0c/p71] ;; https://www.myglobalhealth.online/spain/pt [2i/0c/p76]
adhd test,4,73,0,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,Ireland,en,tools,3.0,cross_market+wrong_locale,Czechia|Ireland|Portugal|Romania,cs|en|ro,https://www.myglobalhealth.online/ireland/en/tools/adhd-test [41i/0c/p68] ;; https://www.myglobalhealth.online/czechia/cs/tools/adhd-test [30i/0c/p19] ;; https://www.myglobalhealth.online/portugal/cs/tools/adhd-test [1i/0c/p3] ;; https://www.myglobalhealth.online/romania/ro/tools/adhd-test [1i/0c/p45]
medicina online,4,72,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,13.5,cross_market+wrong_locale,Portugal|Romania|Spain,es|pt|ro,https://www.myglobalhealth.online/spain/es [63i/0c/p37] ;; https://www.myglobalhealth.online/romania/ro [6i/0c/p14] ;; https://www.myglobalhealth.online/portugal/pt [2i/0c/p46] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [1i/0c/p67]
