target_country,language,page_type,pages,indexable_pages,median_word_count,p10_word_count,em_dash_per_1k_words,exclamation_per_1k_words,superlative_hits_total,superlative_pages_ge3,generic_intro_pages,generic_intro_share,median_faq_count,pages_with_faq,dup_group_pages,thin_pages_lt150,soft404_pages,median_h2,impressions_W1,clicks_W1
(global),(none),checkout,4.0,0.0,40.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
(global),(none),contact,1.0,1.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
(global),(none),unknown,17.0,0.0,38.0,3.6,9.95,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,795.0,18.0
Brazil,en,about,1.0,1.0,569.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,10.0,0.0
Brazil,en,blog_index,1.0,1.0,293.0,293.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
Brazil,en,blog_post,5.0,5.0,2400.0,1256.2,6.92,0.0,10.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,14.0,38.0,0.0
Brazil,en,booking,1.0,1.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Brazil,en,careers,1.0,1.0,130.0,130.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Brazil,en,checkout,4.0,0.0,46.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Brazil,en,consult,1.0,0.0,1450.0,1450.0,0.69,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0
Brazil,en,contact,1.0,1.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,19.0,0.0
Brazil,en,doctor,1.0,1.0,2504.0,2504.0,7.59,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
Brazil,en,doctors_index,1.0,1.0,1647.0,1647.0,4.86,0.0,3.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0
Brazil,en,faq,1.0,1.0,2289.0,2289.0,8.74,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0
Brazil,en,legal,7.0,6.0,835.0,234.6,9.55,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Brazil,en,market_home,1.0,1.0,1747.0,1747.0,2.86,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,14.0,544.0,0.0
Brazil,en,press,1.0,1.0,248.0,248.0,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Brazil,en,pricing,1.0,1.0,408.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Brazil,en,service,18.0,18.0,2381.0,1841.9,30.33,0.0,23.0,3.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,12.0,1.0,0.0
Brazil,en,tool,8.0,8.0,1874.5,1704.2,9.0,0.0,3.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,9.0,8.0,0.0
Brazil,es,about,1.0,1.0,630.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,9.0,0.0
Brazil,es,blog_index,1.0,1.0,312.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Brazil,es,blog_post,5.0,5.0,2387.0,1317.8,3.27,0.0,9.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,14.0,9.0,0.0
Brazil,es,booking,1.0,1.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Brazil,es,careers,1.0,1.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Brazil,es,checkout,4.0,0.0,47.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Brazil,es,consult,1.0,0.0,1601.0,1601.0,0.62,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0
Brazil,es,contact,1.0,1.0,503.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
Brazil,es,doctor,1.0,1.0,2761.0,2761.0,6.88,0.0,8.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
Brazil,es,doctors_index,1.0,1.0,1846.0,1846.0,3.25,0.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0
Brazil,es,faq,1.0,0.0,2302.0,2302.0,8.25,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
Brazil,es,legal,7.0,5.0,966.0,239.8,7.98,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Brazil,es,market_home,1.0,1.0,1912.0,1912.0,2.62,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,14.0,7.0,0.0
Brazil,es,press,1.0,1.0,263.0,263.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Brazil,es,pricing,1.0,1.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Brazil,es,service,18.0,18.0,2522.0,1949.8,27.99,0.0,25.0,4.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,12.0,6.0,0.0
Brazil,es,tool,8.0,8.0,1825.0,1644.6,4.39,0.0,11.0,2.0,0.0,0.0,6.0,8.0,0.0,0.0,1.0,9.0,15.0,0.0
Brazil,pt,about,1.0,1.0,628.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0
Brazil,pt,blog_index,1.0,1.0,319.0,319.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Brazil,pt,blog_post,5.0,5.0,2344.0,1250.8,11.72,0.0,9.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,14.0,29.0,0.0
Brazil,pt,booking,1.0,1.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Brazil,pt,careers,1.0,1.0,144.0,144.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Brazil,pt,checkout,4.0,0.0,47.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
