coupling_id,file,line,expression,kind,markets_served,markets_excluded,public_output_affected,other_markets_render_today,wrong_or_generic,production_evidence,smallest_generic_fix,effort_1_5,blocks_new_country,template_fix_id,status,notes
CC-3279,frontend/app/[country]/[lang]/page.tsx,95,"const preferIrelandExtras = code === ""ie"";",one_market_content,ie,"cz,pt,es,ro,br",/{country}/{lang} home <title> + og:title source order,CMS PageContent.seoTitle wins over the code override; Ireland alone reverses that order,wrong,"https://www.myglobalhealth.online/ireland/en 2026-09-15: <title> 'Online Doctor Ireland | IMC-Registered GPs & Specialists | Same Day' = EXTRAS['IE:en'].seoTitle, not the CMS HOME row","Country.homeCopySource enum ('cms_first'|'code_first') on the Country record, read by one shared resolver; drop the literal",2,yes,TF-01,proposed,"The rule is legitimate (a market may want reviewed code copy to win) but it is an inline literal, so no other market can opt in without a deploy."
CC-3284,frontend/app/[country]/[lang]/page.tsx,100,"const preferSeoExtras = preferIrelandExtras || (code === ""br"" && Boolean(extras?.seoTitle));",one_market_content,"ie,br","cz,pt,es,ro",/{country}/{lang} home <title> + <meta description>,CMS seoTitle/seoDescription win; no market-owned code copy can override stale CMS SEO,wrong,https://www.myglobalhealth.online/brazil/pt 2026-09-15: <title> 'Medico Online no Brasil | Consulta por Video - Global Health' = EXTRAS['br:pt'].seoTitle,"Same Country.homeCopySource field as the row above - one branch, not two chained literals",1,yes,TF-01,proposed,Second literal bolted onto the first on 2026-09-15; a third market repeats the pattern.
CC-3288,frontend/app/[country]/[lang]/page.tsx,219,"const preferIrelandExtras = code === ""ie"";  // render-path copy of line 95",one_market_content,ie,"cz,pt,es,ro,br",/{country}/{lang} home H1 + hero paragraph,"CMS heroTitle/heroSubtitle first, then the code override",wrong,"https://www.myglobalhealth.online/ireland/en 2026-09-15: H1 'Online Doctor Ireland | IMC-registered physicians, same day.' = EXTRAS['IE:en'].heroTitle","Same field; metadata and render must read one helper, not duplicate the literal",1,yes,TF-01,proposed,Duplicated literal - metadata and body can drift.
CC-3299,frontend/app/[country]/[lang]/page.tsx,621-630,(preferIrelandExtras ? extras?.heroTitle : page?.heroTitle) ?? (preferIrelandExtras ? page?.heroTitle : extras?.heroTitle),one_market_content,ie,"cz,pt,es,ro,br",/{country}/{lang} home H1 + hero subtitle,Czechia/Portugal/Spain/Romania/Brazil render CMS-first; their EXTRAS heroTitle is only a fallback,generic,https://www.myglobalhealth.online/czechia/cs 2026-09-15: H1 'Online lekarska pece v Cesku' (EXTRAS['cz:cs'] fallback - no CMS HOME row),"One resolveHomeCopy(country, cms, override) helper driven by the Country field",2,yes,TF-01,proposed,
CC-3562,frontend/lib/content/country-home-copy.ts,53-232,"export const EXTRAS: Record<string, HomePageExtras> = { ""IE:en"": {...}, ""cz:cs"": {...}, ... }",one_market_content,"ie,cz,pt,es,ro,br",(a 7th market),"Home <title>, description, og:title/description, H1, hero paragraph, hero bullets, price badge, services H2","All six markets have entries today, but only via a hand-edited TS literal; a new market renders the generic homeMeta template",correct,https://www.myglobalhealth.online/spain/es 2026-09-15: H1 'Atencion medica online en Espana' from EXTRAS['es:es'],Per-country content record: either PageContent HOME rows (the CMS table already exists) or lib/content/countries/<code>.json loaded by one loader,3,yes,TF-01,proposed,"Content, not logic - but code-owned, so every copy change is a deploy and there is no clinical-approval trail."
CC-3563,frontend/lib/content/country-home-copy.ts,53,"EXTRAS keys mix ""IE:en"" with ""br:pt"" / ""cz:cs"" casing; lookup key is `${code}:${locale}` with lowercase code",one_market_content,"ie,cz,pt,es,ro,br",,Home hero + SEO for whichever market is mis-cased,Only the lowercase keys ever matched until EXTRAS_NORMALIZED was added,wrong,https://www.myglobalhealth.online/ireland/en 2026-09-15: EXTRAS (normalised) applies; BUNDLE (not normalised in HEAD) does not - see next row,"Type the key as a template-literal type and lowercase at construction, or key by {code, locale} fields in a data file",1,no,TF-01,proposed,An uncommitted working-tree fix normalises BUNDLE lookups. Cited as evidence of fragility; file not edited by this audit.
CC-3583,frontend/lib/content/country-home-copy.ts,234-470,"const BUNDLE: Record<string, DeepPartial<HomeBundle>> = { ""br:pt"": {...}, ""IE:en"": {...}, ... }",one_market_content,br,"ie (broken), cz,pt,es,ro","Home availability badge, trust tile, team section H2, stats-band labels, how-it-works steps, final CTA",cz/pt/es/ro render the shared i18n copy; Ireland ALSO renders shared copy because its 'IE:*' keys never match the lowercase lookup,wrong,"https://www.myglobalhealth.online/ireland/en 2026-09-15: 'Named doctors.' 0 hits, 'No anonymous rotas.' 0 hits, 'doctors available' 0 hits - the six IE BUNDLE blocks are dead in production",Same per-country content record as EXTRAS; one normalised lookup for both maps,2,yes,TF-01,proposed,"Live defect: six Ireland locale blocks of reviewed copy (team headline, stats labels, how-it-works bodies) render nothing today."
CC-3297,frontend/app/[country]/[lang]/page.tsx,604,"countryName={code === ""br"" ? (cc.countryNames?.[code] ?? config.name) : config.name}",one_market_content,br,"ie,cz,pt,es,ro",/{country}/{lang} home hero country token,"Every other market prints the English DB seed name (Country.name): 'Czechia', 'Spain', 'Romania'",wrong,https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby 2026-09-15: 'Czechia' appears 2x alongside 'Cesko' - mixed-language country token,Delete the branch: always common.countryNames?.[code] ?? config.name. The localized map already covers all six codes in every locale bundle,1,yes,TF-02,proposed,The generic path is already correct; the branch exists only because the Brazil ticket did not touch siblings.
CC-3306,frontend/app/[country]/[lang]/page.tsx,797,"country={code === ""br"" ? code : undefined}",one_market_content,br,"ie,cz,pt,es,ro",/{country}/{lang} home VerifiedProfessionals trust block copy,Component falls to COPY[locale]; Portugal's own PT_PT_COPY branch is unreachable from the home page,generic,https://www.myglobalhealth.online/portugal/pt 2026-09-15: trust block renders shared pt copy; PT_PT_COPY in VerifiedProfessionals.tsx is dead from this call site,Always pass country={code} and let the component's market table decide (it already has one),1,yes,TF-02,proposed,"The guard's comment says passing country everywhere would switch Portugal to PT_PT_COPY - which is Portugal's own reviewed copy, i.e. the guard blocks the intended behaviour."
CC-3322,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,194,"`${h1Fallback} | ${code === ""br"" ? (loadLocaleBundle(...).common.countryNames?.[code] ?? config.name) : config.name}`",one_market_content,br,"ie,cz,pt,es,ro",/{country}/{lang}/services/{slug} <title> fallback,English seed name appended to a non-English title,wrong,https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby 2026-09-15: body contains 'Czechia' 2x in otherwise Czech copy,Drop the ternary; use countryNames[code] ?? config.name everywhere,1,yes,TF-02,proposed,
