window,channel,breakdown,dimension_value,sessions,transactions,purchase_revenue,items_viewed,items_added_to_cart,items_purchased,item_revenue,activity_status,purchase_dedup_note,refresh_id,source
2026-07-25..2026-08-01,organic_search,landing_page,/,3,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/ireland/en/blog/sick-certificate-ireland-employee-rights,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/spain/en/services/consulta-medica-online,2,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/czechia/cs/doctors/mudr-ahmed-maklad,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/czechia/cs/doctors/mudr-vojtěch-černý,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/czechia/cs/services/cestovni-medicina-praha,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/czechia/cs/services/muzske-zdravi-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/ireland/en/doctors/dr-ahmed-maklad,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/ireland/en/doctors/dr-khoiamul-islam,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/ireland/en/doctors/dr-mirza-aun-mohammad,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/ireland/en/doctors/dr-mohammed-omar,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/ireland/en/doctors/dr-muhammad-usman-yoosuf,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/ireland/es/health/sick-cert-online,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/portugal/pt/doctors,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
2026-07-25..2026-08-01,organic_search,landing_page,/portugal/pt/doctors/dr-lucas-alvarenga-berto,1,0,0,,,,,none,,R2026-09-15-GA4,ga4_ecommerce_landing_page_window1_organic.json
