date,landing_page,sessions,engaged_sessions,key_events,transactions,purchase_revenue,currency,total_users,engagement_rate,refresh_id,data_state,data_quality,source
2026-07-25,/czechia/cs/doctors/mudr-ahmed-maklad,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260725.json
2026-07-25,/ireland/en/doctors/dr-mirza-aun-mohammad,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260725.json
2026-07-25,/portugal/pt/doctors,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260725.json
2026-07-25,/portugal/pt/doctors/dr-lucas-alvarenga-berto,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260725.json
2026-07-25,/portugal/pt/doctors/dra-margarida-andrade,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260725.json
2026-07-25,/spain/cs/services/cardiologo-online,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260725.json
2026-07-26,/,2,1,0,0,0,EUR,2,0.5,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260726.json
2026-07-26,/czechia/cs/doctors/mudr-vojtěch-černý,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260726.json
2026-07-26,/ireland/en/doctors/dr-mohammed-omar,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260726.json
2026-07-26,/spain/en/services/consulta-medica-online,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260726.json
2026-07-27,/ireland/en/blog/sick-certificate-ireland-employee-rights,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-27,/ireland/en/doctors/dr-ahmed-maklad,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-27,/ireland/en/doctors/dr-khoiamul-islam,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-27,/ireland/en/doctors/dr-muhammad-usman-yoosuf,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-27,/ireland/es/health/sick-cert-online,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-27,/romania/ro/doctors,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-27,/spain/es/doctors/dr-fabiana-cornejo,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-27,/spain/pt,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260727.json
2026-07-28,/,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260728.json
2026-07-28,/czechia/cs/services/cestovni-medicina-praha,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260728.json
2026-07-28,/czechia/cs/services/muzske-zdravi-online,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260728.json
2026-07-28,/ireland/en/blog/sick-certificate-ireland-employee-rights,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260728.json
2026-07-28,/spain/en/services/consulta-medica-online,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260728.json
2026-09-09,/,4,4,2,0,0,EUR,4,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en,4,4,0,0,0,EUR,3,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/romania/ro/tools/calorie-calculator,4,2,0,0,0,EUR,4,0.5,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/czechia/cs,2,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/czechia/cs/tools/blood-pressure-chart,2,1,0,0,0,EUR,2,0.5,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/czechia/en,2,2,1,0,0,EUR,2,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing,2,1,0,0,0,EUR,2,0.5,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/doctors/dr-emmanuel-dabup,2,1,0,0,0,EUR,1,0.5,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/doctors/dr-mohammed-omar,2,2,0,0,0,EUR,2,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/portugal/pt/doctors/dra-nadia-cavaco,2,2,0,0,0,EUR,2,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/portugal/pt/tools/blood-pressure-chart,2,0,0,0,0,EUR,2,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/portugal/pt/tools/calorie-calculator,2,2,0,0,0,EUR,2,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/privacy,2,1,0,0,0,EUR,1,0.5,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/spain/es/doctors/dr-tomas-ruiz-palacios,2,2,1,0,0,EUR,2,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/brazil/en/careers,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/brazil/pt/services/saude-sexual-ist-online,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/czechia/cs/services/muzske-zdravi-online,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/czechia/cs/services/vypadavani-vlasu-online,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/czechia/cs/tools/adhd-test,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/about,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/blog,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/doctors,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/doctors/dr-fahad-farooq,1,1,1,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/doctors/dr-tiago-miguel-figueira,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/legal/terms-of-service,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/en/tools/blood-pressure-chart,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/ireland/es/lab-tests/female-hormone-test,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/portugal/en/services/consulta-de-psiquiatria,1,1,1,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/portugal/es/book,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/portugal/pt/doctors/dr-margarida-andrade,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/portugal/pt/doctors/dr-telmo-coelho,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/romania/ro/blog/scrisoare-medicala-cine-o-elibereaza,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/spain/es/doctors/dr-romulo-brito,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/spain/es/tools/adhd-test,1,0,0,0,0,EUR,1,0,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/spain/es/tools/blood-pressure-chart,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-09,/spain/pt/careers,1,1,0,0,0,EUR,1,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260909.json
2026-09-10,/,7,7,2,0,0,EUR,4,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
2026-09-10,(not set),5,1,0,0,0,EUR,4,0.2,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
2026-09-10,/ireland/en,3,2,0,0,0,EUR,2,0.6666666666666666,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
2026-09-10,/portugal/pt/doctors/dr-telmo-coelho,3,3,0,0,0,EUR,3,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
2026-09-10,/spain/es/blog/baja-laboral-por-ansiedad-como-funciona,3,3,0,0,0,EUR,3,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
2026-09-10,/spain/es/doctors/dr-alfredo-del-valle,3,2,0,0,0,EUR,3,0.6666666666666666,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
2026-09-10,/czechia/en,2,2,0,0,0,EUR,2,1,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
2026-09-10,/spain/ro/careers,2,1,0,0,0,EUR,1,0.5,R2026-09-15-GA4,complete,"window valid; users are a per-day aggregate, never sum across days",ga4_landing_pages_20260910.json
