date,page,searcher_country,device,search_type,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-07-21,https://www.myglobalhealth.online/,ALL,ALL,web,10,52,0.19230769230769232,14.903846153846153,2026-07-21|https://www.myglobalhealth.online/|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/about,ALL,ALL,web,0,8,0,23.125,2026-07-21|https://www.myglobalhealth.online/about|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/blog,ALL,ALL,web,0,2,0,1,2026-07-21|https://www.myglobalhealth.online/blog|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/blog/diabetes-a-doenca-silenciosa,ALL,ALL,web,0,1,0,9,2026-07-21|https://www.myglobalhealth.online/blog/diabetes-a-doenca-silenciosa|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/blog/diabetes-a-silent-disease,ALL,ALL,web,0,4,0,6,2026-07-21|https://www.myglobalhealth.online/blog/diabetes-a-silent-disease|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/blog/diabetes-ticha-nemoc,ALL,ALL,web,0,2,0,40.5,2026-07-21|https://www.myglobalhealth.online/blog/diabetes-ticha-nemoc|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/book-online,ALL,ALL,web,0,2,0,1,2026-07-21|https://www.myglobalhealth.online/book-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/cs/services/consulta-clinica-online,ALL,ALL,web,0,2,0,5,2026-07-21|https://www.myglobalhealth.online/brazil/cs/services/consulta-clinica-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/cs/services/doencas-cronicas-online,ALL,ALL,web,0,2,0,4,2026-07-21|https://www.myglobalhealth.online/brazil/cs/services/doencas-cronicas-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/cs/services/pediatria-online,ALL,ALL,web,1,2,0.5,5,2026-07-21|https://www.myglobalhealth.online/brazil/cs/services/pediatria-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/cs/services/renovacao-receita-online,ALL,ALL,web,0,2,0,14.5,2026-07-21|https://www.myglobalhealth.online/brazil/cs/services/renovacao-receita-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/cs/services/solicitacao-exames-online,ALL,ALL,web,0,1,0,4,2026-07-21|https://www.myglobalhealth.online/brazil/cs/services/solicitacao-exames-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/de,ALL,ALL,web,0,1,0,2,2026-07-21|https://www.myglobalhealth.online/brazil/de|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/de/legal,ALL,ALL,web,0,3,0,5.666666666666667,2026-07-21|https://www.myglobalhealth.online/brazil/de/legal|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/de/services/atestado-medico-online,ALL,ALL,web,1,3,0.3333333333333333,4.333333333333334,2026-07-21|https://www.myglobalhealth.online/brazil/de/services/atestado-medico-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/de/services/pediatria-online,ALL,ALL,web,0,1,0,6,2026-07-21|https://www.myglobalhealth.online/brazil/de/services/pediatria-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/de/services/renovacao-receita-online,ALL,ALL,web,0,1,0,10,2026-07-21|https://www.myglobalhealth.online/brazil/de/services/renovacao-receita-online|ALL|ALL|web,R2026-09-15-GSC-B2,final,America/Los_Angeles,page×date grain; country/device detail in gsc_page_daily_country_device.csv is sparse-filtered by Google,openseo:get_search_console_performance
