target_country,language,page_type,inventory_state,count
(none),(none),blog_index,redirect_source,1
(none),(none),blog_index,unknown,1
(none),(none),blog_post,redirect_source,2
(none),(none),checkout,noindexed_expected,4
(none),(none),consult,redirect_source,57
(none),(none),contact,canonical_candidate,1
(none),(none),doctor,redirect_source,3
(none),(none),doctors_index,unknown,1
(none),(none),health_legacy,redirect_source,3
(none),(none),legal,canonical_candidate,2
(none),(none),market_home,redirect_source,27
(none),(none),market_home,unknown,6
(none),(none),root_home,canonical_candidate,1
(none),(none),service,redirect_source,57
(none),(none),service,unknown,56
(none),(none),unknown,orphan_candidate,12
(none),(none),unknown,redirect_source,418
(none),(none),unknown,retired,36
(none),(none),unknown,unknown,1115
Brazil,cs,unknown,redirect_source,1
Brazil,de,unknown,redirect_source,1
Brazil,en,about,canonical_candidate,1
Brazil,en,blog_index,canonical_candidate,1
Brazil,en,blog_post,canonical_candidate,5
Brazil,en,booking,canonical_candidate,1
Brazil,en,booking,orphan_candidate,1
Brazil,en,careers,canonical_candidate,1
Brazil,en,checkout,noindexed_expected,4
Brazil,en,consult,orphan_candidate,2
Brazil,en,contact,canonical_candidate,1
Brazil,en,doctor,canonical_candidate,1
Brazil,en,doctors_index,canonical_candidate,1
Brazil,en,faq,canonical_candidate,1
Brazil,en,legal,canonical_candidate,6
Brazil,en,legal,orphan_candidate,4
Brazil,en,market_home,canonical_candidate,1
Brazil,en,press,canonical_candidate,1
Brazil,en,pricing,canonical_candidate,1
Brazil,en,service,canonical_candidate,18
Brazil,en,static_other,noindexed_expected,1
Brazil,en,tests_index,orphan_candidate,1
Brazil,en,tool,canonical_candidate,8
Brazil,en,unknown,unknown,1
Brazil,es,about,canonical_candidate,1
Brazil,es,blog_index,canonical_candidate,1
Brazil,es,blog_post,canonical_candidate,5
Brazil,es,booking,canonical_candidate,1
Brazil,es,booking,orphan_candidate,1
Brazil,es,careers,canonical_candidate,1
Brazil,es,checkout,noindexed_expected,4
Brazil,es,consult,orphan_candidate,2
Brazil,es,contact,canonical_candidate,1
Brazil,es,doctor,canonical_candidate,1
Brazil,es,doctors_index,canonical_candidate,1
Brazil,es,faq,orphan_candidate,1
Brazil,es,legal,canonical_candidate,5
Brazil,es,legal,orphan_candidate,5
Brazil,es,market_home,canonical_candidate,1
Brazil,es,press,canonical_candidate,1
Brazil,es,pricing,canonical_candidate,1
Brazil,es,service,canonical_candidate,18
Brazil,es,static_other,noindexed_expected,1
Brazil,es,tests_index,orphan_candidate,1
Brazil,es,tool,canonical_candidate,8
Brazil,es,unknown,unknown,1
Brazil,pt,about,canonical_candidate,1
Brazil,pt,blog_index,canonical_candidate,1
Brazil,pt,blog_post,canonical_candidate,5
Brazil,pt,booking,canonical_candidate,1
Brazil,pt,booking,orphan_candidate,1
Brazil,pt,careers,canonical_candidate,1
Brazil,pt,checkout,noindexed_expected,4
Brazil,pt,consult,orphan_candidate,2
Brazil,pt,contact,canonical_candidate,1
Brazil,pt,doctor,canonical_candidate,1
Brazil,pt,doctors_index,canonical_candidate,1
Brazil,pt,faq,canonical_candidate,1
Brazil,pt,legal,canonical_candidate,6
Brazil,pt,legal,orphan_candidate,4
Brazil,pt,market_home,canonical_candidate,1
Brazil,pt,press,canonical_candidate,1
Brazil,pt,pricing,canonical_candidate,1
Brazil,pt,service,canonical_candidate,18
Brazil,pt,static_other,noindexed_expected,1
Brazil,pt,tests_index,orphan_candidate,1
Brazil,pt,tool,canonical_candidate,8
Brazil,pt,unknown,unknown,2
Brazil,ro,unknown,redirect_source,1
Czechia,cs,about,canonical_candidate,1
Czechia,cs,blog_index,canonical_candidate,1
Czechia,cs,blog_post,canonical_candidate,6
Czechia,cs,booking,canonical_candidate,1
Czechia,cs,booking,orphan_candidate,1
Czechia,cs,careers,canonical_candidate,3
Czechia,cs,checkout,noindexed_expected,4
Czechia,cs,consult,orphan_candidate,2
Czechia,cs,contact,canonical_candidate,1
Czechia,cs,doctor,canonical_candidate,5
Czechia,cs,doctor,orphan_candidate,3
Czechia,cs,doctor,unknown,1
Czechia,cs,doctors_index,canonical_candidate,1
Czechia,cs,faq,canonical_candidate,1
Czechia,cs,legal,canonical_candidate,6
Czechia,cs,legal,orphan_candidate,4
Czechia,cs,market_home,canonical_candidate,1
Czechia,cs,press,canonical_candidate,2
Czechia,cs,pricing,canonical_candidate,1
Czechia,cs,service,canonical_candidate,15
Czechia,cs,static_other,noindexed_expected,1
Czechia,cs,tests_index,orphan_candidate,1
Czechia,cs,tool,canonical_candidate,8
Czechia,cs,unknown,unknown,1
Czechia,de,about,canonical_candidate,1
Czechia,de,blog_index,canonical_candidate,1
Czechia,de,blog_post,canonical_candidate,6
Czechia,de,booking,canonical_candidate,1
Czechia,de,booking,orphan_candidate,1
Czechia,de,careers,canonical_candidate,3
Czechia,de,checkout,noindexed_expected,4
Czechia,de,consult,orphan_candidate,2
Czechia,de,contact,canonical_candidate,1
Czechia,de,doctor,canonical_candidate,5
Czechia,de,doctor,orphan_candidate,3
Czechia,de,doctors_index,canonical_candidate,1
Czechia,de,faq,orphan_candidate,1
Czechia,de,legal,canonical_candidate,5
Czechia,de,legal,orphan_candidate,5
Czechia,de,market_home,canonical_candidate,1
Czechia,de,press,canonical_candidate,2
Czechia,de,pricing,canonical_candidate,1
Czechia,de,service,canonical_candidate,15
Czechia,de,static_other,noindexed_expected,1
Czechia,de,tests_index,orphan_candidate,1
Czechia,de,tool,canonical_candidate,8
Czechia,de,unknown,unknown,1
Czechia,en,about,canonical_candidate,1
Czechia,en,blog_index,canonical_candidate,1
Czechia,en,blog_post,canonical_candidate,6
Czechia,en,booking,canonical_candidate,1
Czechia,en,booking,orphan_candidate,1
Czechia,en,careers,canonical_candidate,3
Czechia,en,checkout,noindexed_expected,4
Czechia,en,consult,orphan_candidate,2
Czechia,en,contact,canonical_candidate,1
Czechia,en,doctor,canonical_candidate,5
Czechia,en,doctor,orphan_candidate,3
Czechia,en,doctors_index,canonical_candidate,1
Czechia,en,faq,canonical_candidate,1
Czechia,en,legal,canonical_candidate,7
Czechia,en,legal,orphan_candidate,3
Czechia,en,market_home,canonical_candidate,1
Czechia,en,press,canonical_candidate,2
Czechia,en,pricing,canonical_candidate,1
Czechia,en,service,canonical_candidate,15
Czechia,en,static_other,noindexed_expected,1
Czechia,en,tests_index,orphan_candidate,1
Czechia,en,tool,canonical_candidate,8
Czechia,en,unknown,unknown,1
Czechia,es,about,canonical_candidate,1
Czechia,es,blog_index,canonical_candidate,1
Czechia,es,blog_post,canonical_candidate,6
Czechia,es,booking,canonical_candidate,1
Czechia,es,booking,orphan_candidate,1
Czechia,es,careers,canonical_candidate,2
Czechia,es,checkout,noindexed_expected,4
Czechia,es,consult,orphan_candidate,2
Czechia,es,contact,canonical_candidate,1
Czechia,es,doctor,canonical_candidate,5
Czechia,es,doctor,orphan_candidate,3
Czechia,es,doctors_index,canonical_candidate,1
Czechia,es,faq,orphan_candidate,1
Czechia,es,legal,canonical_candidate,5
Czechia,es,legal,orphan_candidate,5
