market_locale_key,target_country,language,configured_path,runtime_enabled,data_filter_check,cache_isolation,fallback_language,price_currency,booking_context,clinical_availability,hreflang_check,metadata_check,evidence,checked_at
IE-en,Ireland,en,/ireland/en,yes,"pass: doctors_on_page=22 vs api_roster=22; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (100.0% en stopwords),EUR/€,tz=Europe/Dublin;regulator=FOUND:Medical Council/IMC;legal_entity_snippet='Medicine anytime anywhere. Online medical consultations with locally-registered doctors in the markets where we operate.info@myglobalhealth.online+353 894715849',page=22;api=22;consult_langs=Arabic;Bangla;Czech;English;French;Hindi;Pashto;Portuguese;Punjabi;Sindhi;Siraiki;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=en(match);og:locale=en_IE",html/home_IE-en.html;html/service_IE-en.html;html/doctors_IE-en.html;html/pricing_IE-en.html;html/legal_IE-en.html,2026-09-15T05:46:38Z
IE-pt,Ireland,pt,/ireland/pt,yes,"pass: doctors_on_page=22 vs api_roster=22; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (3.6% en stopwords),EUR/€,"tz=Europe/Dublin;regulator=FOUND:Medical Council/IMC;legal_entity_snippet='Consultas médicas e terapia online com médicos e clínicos registados no IMC na Irlanda. Prescrições válidas, atestados de doença, referências a especialistas e'",page=22;api=22;consult_langs=Arabic;Bangla;Czech;English;French;Hindi;Pashto;Portuguese;Punjabi;Sindhi;Siraiki;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=pt(match);og:locale=pt_IE",html/home_IE-pt.html;html/service_IE-pt.html;html/doctors_IE-pt.html;html/pricing_IE-pt.html;html/legal_IE-pt.html,2026-09-15T05:46:38Z
IE-es,Ireland,es,/ireland/es,yes,"pass: doctors_on_page=22 vs api_roster=22; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (3.6% en stopwords),EUR/€,"tz=Europe/Dublin;regulator=FOUND:Medical Council/IMC;legal_entity_snippet='Consultas médicas y terapia en línea con médicos y clínicos registrados en IMC en Irlanda. Prescripciones válidas, certificados de enfermedad, derivaciones a es'",page=22;api=22;consult_langs=Arabic;Bangla;Czech;English;French;Hindi;Pashto;Portuguese;Punjabi;Sindhi;Siraiki;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=es(match);og:locale=es_IE",html/home_IE-es.html;html/service_IE-es.html;html/doctors_IE-es.html;html/pricing_IE-es.html;html/legal_IE-es.html,2026-09-15T05:46:38Z
IE-cs,Ireland,cs,/ireland/cs,yes,"pass: doctors_on_page=22 vs api_roster=22; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (7.3% en stopwords),EUR/€,"tz=Europe/Dublin;regulator=FOUND:Medical Council/IMC;legal_entity_snippet='Online lékařské konzultace a terapie s lékaři a klinickými pracovníky registrovanými u IMC v Irsku. Platné recepty, potvrzení o nemoci, doporučení specialistům'",page=22;api=22;consult_langs=Arabic;Bangla;Czech;English;French;Hindi;Pashto;Portuguese;Punjabi;Sindhi;Siraiki;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=cs(match);og:locale=cs_IE",html/home_IE-cs.html;html/service_IE-cs.html;html/doctors_IE-cs.html;html/pricing_IE-cs.html;html/legal_IE-cs.html,2026-09-15T05:46:38Z
IE-ro,Ireland,ro,/ireland/ro,yes,"pass: doctors_on_page=22 vs api_roster=22; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (3.5% en stopwords),EUR/€,"tz=Europe/Dublin;regulator=FOUND:Medical Council/IMC;legal_entity_snippet='Consultații medicale online și terapie cu medici și clinicieni înregistrați IMC în Irlanda. Rețete valide, certificate de boală, trimiteri la specialiști și pro'",page=22;api=22;consult_langs=Arabic;Bangla;Czech;English;French;Hindi;Pashto;Portuguese;Punjabi;Sindhi;Siraiki;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=ro(match);og:locale=ro_IE",html/home_IE-ro.html;html/service_IE-ro.html;html/doctors_IE-ro.html;html/pricing_IE-ro.html;html/legal_IE-ro.html,2026-09-15T05:46:38Z
IE-de,Ireland,de,/ireland/de,yes,"pass: doctors_on_page=22 vs api_roster=22; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (16.7% en stopwords),EUR/€,"tz=Europe/Dublin;regulator=FOUND:Medical Council/IMC;legal_entity_snippet='Online medizinische Konsultationen und Therapien mit IMC-registrierten Ärzten und Fachleuten in Irland. Gültige Rezepte, Krankenscheine, Überweisungen zu Spezia'",page=22;api=22;consult_langs=Arabic;Bangla;Czech;English;French;Hindi;Pashto;Portuguese;Punjabi;Sindhi;Siraiki;Spanish;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=de(match);og:locale=de_IE",html/home_IE-de.html;html/service_IE-de.html;html/doctors_IE-de.html;html/pricing_IE-de.html;html/legal_IE-de.html,2026-09-15T05:46:38Z
CZ-cs,Czechia,cs,/czechia/cs,yes,"pass: doctors_on_page=8 vs api_roster=8; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (8.6% en stopwords),CZK/Kč,"tz=Europe/Prague;regulator=FOUND:ČLK;legal_entity_snippet='Medicína kdykoliv a kdekoliv. Online lékařské konzultace s lékaři registrovanými ve vaší zemi na trzích, kde působíme.info@myglobalhealth.online+420 608353716Sl'",page=8;api=8;consult_langs=Arabic;Bangla;Czech;English;Hebrew;Hindi;Italian;Ukrainian;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=cs(match);og:locale=cs_CZ",html/home_CZ-cs.html;html/service_CZ-cs.html;html/doctors_CZ-cs.html;html/pricing_CZ-cs.html;html/legal_CZ-cs.html,2026-09-15T05:46:38Z
CZ-en,Czechia,en,/czechia/en,yes,"pass: doctors_on_page=8 vs api_roster=8; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (100.0% en stopwords),CZK/Kč,tz=Europe/Prague;regulator=FOUND:ČLK;legal_entity_snippet='Medicine anytime anywhere. Online medical consultations with locally-registered doctors in the markets where we operate.info@myglobalhealth.online+420 608353716',page=8;api=8;consult_langs=Arabic;Bangla;Czech;English;Hebrew;Hindi;Italian;Ukrainian;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=en(match);og:locale=en_CZ",html/home_CZ-en.html;html/service_CZ-en.html;html/doctors_CZ-en.html;html/pricing_CZ-en.html;html/legal_CZ-en.html,2026-09-15T05:46:38Z
CZ-pt,Czechia,pt,/czechia/pt,yes,"pass: doctors_on_page=8 vs api_roster=8; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (4.9% en stopwords),CZK/Kč,tz=Europe/Prague;regulator=FOUND:ČLK;legal_entity_snippet='Medicina a qualquer hora e em qualquer lugar. Consultas médicas online com médicos registados localmente nos mercados onde operamos.info@myglobalhealth.online+4',page=8;api=8;consult_langs=Arabic;Bangla;Czech;English;Hebrew;Hindi;Italian;Ukrainian;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=pt(match);og:locale=pt_CZ",html/home_CZ-pt.html;html/service_CZ-pt.html;html/doctors_CZ-pt.html;html/pricing_CZ-pt.html;html/legal_CZ-pt.html,2026-09-15T05:46:38Z
CZ-es,Czechia,es,/czechia/es,yes,"pass: doctors_on_page=8 vs api_roster=8; status=200;jsonld_types=['Answer', 'BreadcrumbList', 'ContactPoint', 'Country', 'EducationalOccupationalCredential', 'FAQPage', 'ImageObject', 'ListItem', 'MedicalOrganization', 'MedicalProcedure', 'MedicalWebPage', 'Offer', 'Organization', 'Person', 'PostalAddress', 'PropertyValue', 'QuantitativeValue', 'Question', 'ReserveAction', 'Service', 'WebSite'];jsonld_inLanguage=[]","see findings (sampled, not per-combo)",none (5.5% en stopwords),CZK/Kč,tz=Europe/Prague;regulator=FOUND:ČLK;legal_entity_snippet='Medicina cuando y donde quieras. Consultas médicas online con médicos colegiados localmente en los mercados donde operamos.info@myglobalhealth.online+420 608353',page=8;api=8;consult_langs=Arabic;Bangla;Czech;English;Hebrew;Hindi;Italian;Ukrainian;Urdu,pass,"title=ok;h1=ok;canonical=ok;robots=index, follow;html_lang=es(match);og:locale=es_CZ",html/home_CZ-es.html;html/service_CZ-es.html;html/doctors_CZ-es.html;html/pricing_CZ-es.html;html/legal_CZ-es.html,2026-09-15T05:46:38Z
