legacy_url,normalized_legacy_path,proposed_or_documented_target,target_country,language,mapping_source,historical_clicks,historical_impressions,referring_domains,observed_status,redirect_hops,hop_chain,final_url,final_status,content_equivalence,approved_retirement,test_status,priority,recommended_action,evidence
https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho,/pt/portugal-doctors/dr-telmo-coelho,/portugal/pt/doctors/dr-telmo-coelho,portugal,pt,next.config rule index 405,82,1174,0,308,1,https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho|https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho,https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho,200,same_entity,no,pass,P3,No action.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern,/ireland-doctors/dr-grainne-ahern,(410 Gone - intentional),ireland,en,proxy (410 GONE_CONTENT),77,540,0,410,0,https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern,https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern,410,retired_intentionally,yes,retired_ok,P3,No action - intentional retirement (410). Do not revive.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/home-pt,/home-pt,/portugal/pt,portugal,pt,next.config rule index 359,69,1083,0,308,1,https://www.myglobalhealth.online/home-pt|https://www.myglobalhealth.online/portugal/pt,https://www.myglobalhealth.online/portugal/pt,200,homepage_fallback,no,pass,P3,No action.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/team/dra-andra-cristea,/team/dra-andra-cristea,,,,none,58,550,0,404,0,https://www.myglobalhealth.online/team/dra-andra-cristea,https://www.myglobalhealth.online/team/dra-andra-cristea,404,none,no,missing_redirect,P0,No live entity equivalent found; add 308 -> /ireland/en or retire as 410,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/pt/portugal-doctors/dr-tiago-miguel-figueira,/pt/portugal-doctors/dr-tiago-miguel-figueira,/portugal/pt/doctors/dr-tiago-miguel-figueira,portugal,pt,next.config rule index 405,53,323,0,308,1,https://www.myglobalhealth.online/pt/portugal-doctors/dr-tiago-miguel-figueira|https://www.myglobalhealth.online/portugal/pt/doctors/dr-tiago-miguel-figueira,https://www.myglobalhealth.online/portugal/pt/doctors/dr-tiago-miguel-figueira,200,same_entity,no,pass,P3,No action.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/ireland-team,/ireland-team,/ireland/en/doctors,ireland,en,next.config rule index 352,49,588,0,308,1,https://www.myglobalhealth.online/ireland-team|https://www.myglobalhealth.online/ireland/en/doctors,https://www.myglobalhealth.online/ireland/en/doctors,200,related_hub,no,pass,P3,No action.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/es/czechia-doctors/mudr-jana-cyplinska,/es/czechia-doctors/mudr-jana-cyplinska,/czechia/cs/doctors,czechia,cs,next.config rule index 395,51,163,0,308,1,https://www.myglobalhealth.online/es/czechia-doctors/mudr-jana-cyplinska|https://www.myglobalhealth.online/czechia/cs/doctors,https://www.myglobalhealth.online/czechia/cs/doctors,200,related_hub,no,wrong_target,P1,"Preserve request locale: send to /czechia/es/doctors, not /czechia/cs/doctors",seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/ireland-doctors/dr-tiago-miguel-figueira,/ireland-doctors/dr-tiago-miguel-figueira,/ireland/en/doctors/dr-tiago-miguel-figueira,ireland,en,next.config rule index 403,45,792,0,308,1,https://www.myglobalhealth.online/ireland-doctors/dr-tiago-miguel-figueira|https://www.myglobalhealth.online/ireland/en/doctors/dr-tiago-miguel-figueira,https://www.myglobalhealth.online/ireland/en/doctors/dr-tiago-miguel-figueira,200,same_entity,no,pass,P3,No action.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/pt/portugal-doctors/dr-vitor-pais,/pt/portugal-doctors/dr-vitor-pais,/portugal/pt/doctors/dr-vitor-hugo-de-matos-pais,portugal,pt,next.config rule index 380,47,308,0,308,1,https://www.myglobalhealth.online/pt/portugal-doctors/dr-vitor-pais|https://www.myglobalhealth.online/portugal/pt/doctors/dr-vitor-hugo-de-matos-pais,https://www.myglobalhealth.online/portugal/pt/doctors/dr-vitor-hugo-de-matos-pais,200,same_intent,no,pass,P3,No action.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
https://www.myglobalhealth.online/home-cz,/home-cz,/czechia/cs,czechia,cs,next.config rule index 355,45,678,0,308,1,https://www.myglobalhealth.online/home-cz|https://www.myglobalhealth.online/czechia/cs,https://www.myglobalhealth.online/czechia/cs,200,homepage_fallback,no,pass,P3,No action.,seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl
