issue_type,severity,url,detail,how_to_fix_short,evidence_file
duplicate-meta-description,warning,https://www.myglobalhealth.online/brazil/pt/tools/osteoporosis-risk-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/pt/tools/osteoporosis-risk-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/pt/tools/osteoporosis-risk-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/brazil/pt/tools/osteoporosis-risk-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/czechia/cs/tools/sore-throat-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/cs/tools/sore-throat-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/cs/tools/sore-throat-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/czechia/cs/tools/sore-throat-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/pt/tools/bmi-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/pt/tools/bmi-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/pt/tools/sore-throat-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/portugal/pt/tools/sore-throat-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/portugal/pt/tools/sore-throat-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/pt/tools/sore-throat-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/ro/tools/blood-pressure-chart,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/romania/ro/tools/blood-pressure-chart""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/romania/ro/tools/blood-pressure-chart,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/ro/tools/blood-pressure-chart""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/ro/tools/bmi-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/ro/tools/bmi-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/ro/tools/calorie-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/ro/tools/calorie-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/ro/tools/due-date-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/romania/ro/tools/due-date-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/romania/ro/tools/due-date-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/ro/tools/due-date-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/ro/tools/ovulation-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/romania/ro/tools/ovulation-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/romania/ro/tools/ovulation-calculator,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/ro/tools/ovulation-calculator""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/ireland/ro/tools/sore-throat-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/romania/ro/tools/sore-throat-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
duplicate-meta-description,warning,https://www.myglobalhealth.online/romania/ro/tools/sore-throat-checker,"{""groupSize"": 2, ""otherUrls"": [""https://www.myglobalhealth.online/ireland/ro/tools/sore-throat-checker""]}","Write a unique meta description per page, or remove the duplicated one entirely — search engines will generate a snippet from page content, which beats a wrong duplicate.",issues_all.json
