url_id,content_entity_id,raw_url,normalized_url,target_country,language,locale_tag,page_type,template_file,source_file_or_model,discovery_sources,inventory_state,expected_indexability,in_sitemap,sitemap_lastmod,first_published,notes
HOME-BR,,https://www.myglobalhealth.online/brazil/pt,https://www.myglobalhealth.online/brazil/pt,Brazil,pt,pt-BR,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_target|route|sitemap,canonical_candidate,index,yes,2026-09-15T04:54:05.577Z,,
HOME-CZ,,https://www.myglobalhealth.online/czechia/cs,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,cs-CZ,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_target|route|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
HOME-ES,,https://www.myglobalhealth.online/spain/es,https://www.myglobalhealth.online/spain/es,Spain,es,es-ES,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_target|route|sitemap,canonical_candidate,index,yes,2026-09-14T19:36:27.076Z,,
HOME-IE,,https://www.myglobalhealth.online/ireland/en,https://www.myglobalhealth.online/ireland/en,Ireland,en,en-IE,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_target|route|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
HOME-PT,,https://www.myglobalhealth.online/portugal/pt,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,pt-PT,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_target|route|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
HOME-RO,,https://www.myglobalhealth.online/romania/ro,https://www.myglobalhealth.online/romania/ro,Romania,ro,ro-RO,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_target|route|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U000001,,/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2542957205546960617,https://www.myglobalhealth.online/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2542957205546960617,,,,root_home,frontend/app/(global)/page.tsx,,legacy_export|redirect_target|route|sitemap,canonical_candidate,noindex,yes,,,
U000002,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/erectyle-dysfunction-consultation,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/erectyle-dysfunction-consultation,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #126 -> /:country/:lang/mens-health-consultation (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000003,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/family-medicine-consultation,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/family-medicine-consultation,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #124 -> /:country/:lang/chronic-disease-consultation (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000004,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/medical-consultation,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/medical-consultation,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #123 -> /:country/:lang/acute-medical-consultation (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000005,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/pain-management-consultation,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/pain-management-consultation,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #125 -> /:country/:lang/musculoskeletal-pain-assessment (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000006,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/referral-consultation,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/referral-consultation,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #128 -> /:country/:lang/referral-and-investigations (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000007,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/self-referral,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/self-referral,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #129 -> /:country/:lang/referral-and-investigations (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000008,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/sick-leave,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/sick-leave,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #131 -> /:country/:lang/services/sick-certificate-ireland (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000009,,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/treatment-refill,https://www.myglobalhealth.online/:country(ireland)/:lang(en|pt|es|cs|ro|de)/treatment-refill,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #127 -> /:country/:lang/treatment-review (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000010,,https://www.myglobalhealth.online/:country(ireland|portugal|spain|romania)/:lang(en|pt|es|cs|ro|de)/specialist-appointment,https://www.myglobalhealth.online/:country(ireland|portugal|spain|romania)/:lang(en|pt|es|cs|ro|de)/specialist-appointment,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #121 -> /:country/:lang/see-a-specialist (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000011,,https://www.myglobalhealth.online/:country(ireland|portugal|spain|romania)/:lang(en|pt|es|cs|ro|de)/specialist-consultation,https://www.myglobalhealth.online/:country(ireland|portugal|spain|romania)/:lang(en|pt|es|cs|ro|de)/specialist-consultation,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #117 -> /:country/:lang/see-a-specialist (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000012,,https://www.myglobalhealth.online/:country(ireland|romania)/:lang(en|pt|es|cs|ro|de)/tests,https://www.myglobalhealth.online/:country(ireland|romania)/:lang(en|pt|es|cs|ro|de)/tests,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #119 -> /:country/:lang/lab-tests (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U000013,,https://www.myglobalhealth.online/:country/:lang,https://www.myglobalhealth.online/:country/:lang,,,,unknown,,,redirect_target,route_pattern_not_url,unknown,no,,,"next.config source pattern, not a URL; excluded from URL counts"
