check_id,area,check,scope,status,tested_count,affected_count,evidence,owner
T-001,sitemap,sitemap URLs return non-200 final status,in_sitemap=yes,fail,2266,84,crawl_history.csv filter in_sitemap=yes & final_status!=200,
T-002,redirect,sitemap URLs that redirect (http_status 3xx),in_sitemap=yes,pass,2266,0,crawl_history.csv filter in_sitemap=yes & http_status in 3xx,
T-003,robots,sitemap URLs noindex,in_sitemap=yes,pass,2266,0,crawl_history.csv filter in_sitemap=yes & indexability=noindex,
T-004,redirect,redirect chains >1 hop,all,fail,4672,7,crawl_history.csv filter redirect_hops>1,
T-005,redirect,redirect loops (hit max-hop cap without resolving),all,pass,4672,0,crawl_history.csv hop_chain with 6+ hops,
T-006,redirect,redirects ending in 4xx/5xx,redirect_hops>0,fail,620,223,crawl_history.csv filter redirect_hops>0 & final_status>=400,
T-007,http,"host/https/slash consistency (apex, http, bare-country-slash all redirect cleanly)",synthetic checks,pass,18,0,crawl_history.csv url_id starting SYN-,
T-008,canonical,canonical mismatch (points elsewhere),html pages with canonical,pass,3509,2,"crawl_history.csv: only 2 of 2,829 live 200 pages carry a non-self canonical (/?utm… -> / and /unsubscribe noindex -> /), both correct; the earlier 684 counted redirect/404 responses without a canonical",
T-009,canonical,canonical points to a redirect/404 target,html pages with canonical,pass,3509,0,crawl_history.csv join canonical -> target final_status!=200,
T-010,metadata,missing titles,final_status=200,fail,2829,2,crawl_history.csv filter final_status=200 & title='',
T-011,metadata,duplicate titles within same language,final_status=200,fail,2829,412,"crawl_history.csv group by (language,title) count>1",
T-012,metadata,missing meta descriptions,final_status=200,fail,2829,2,crawl_history.csv filter final_status=200 & meta_description='',
T-013,metadata,duplicate meta descriptions within same language,final_status=200,fail,2829,769,"crawl_history.csv group by (language,meta_description) count>1",
T-014,metadata,title length > 60 chars,final_status=200,partial,2829,504,crawl_history.csv filter title length>60 (join text/*.txt or recompute len(title)),
T-015,metadata,meta description length > 160 chars,final_status=200,partial,2829,909,recompute len(meta_description) per row,
T-016,headings,missing H1,final_status=200,fail,2829,4,crawl_history.csv filter h1_count=0,
T-017,headings,multiple H1,final_status=200,pass,2829,0,crawl_history.csv filter h1_count>1,
T-018,international,html lang attribute mismatches URL language segment,"final_status=200, market URLs",pass,2829,0,crawl_history.csv html_lang vs URL /{country}/{lang}/ segment,
T-019,hreflang,hreflang missing reciprocal,hreflang_edges.csv,pass,24315,0,hreflang_edges.csv filter verdict=missing_reciprocal,
T-020,hreflang,hreflang invalid tag,hreflang_edges.csv,pass,24315,0,hreflang_edges.csv filter verdict=invalid_tag,
T-021,hreflang,hreflang cross market,hreflang_edges.csv,partial,24315,0,"hreflang_edges.csv verdict=cross_market; 7200 tool-family edges reclassified cross_market_by_design (global tool cluster, frontend/lib/tools/markets.ts) — design decision to confirm, not a defect",
T-022,hreflang,hreflang no self reference,hreflang_edges.csv,pass,24315,0,hreflang_edges.csv filter verdict=no_self_reference,
T-023,hreflang,hreflang x default missing,hreflang_edges.csv,pass,24315,0,hreflang_edges.csv filter verdict=x_default_missing,
T-024,hreflang,hreflang alternate not indexable,hreflang_edges.csv,pass,24315,0,hreflang_edges.csv filter verdict=alternate_not_indexable,
T-025,hreflang,hreflang alternate redirects,hreflang_edges.csv,pass,24315,0,"hreflang_edges.csv verdict=alternate_redirects (recomputed by orchestrator with exact-URL join; the earlier 2,285 was a join artifact)",
T-026,hreflang,hreflang alternate error,hreflang_edges.csv,pass,24315,0,hreflang_edges.csv filter verdict=alternate_error,
T-027,structured_data,JSON-LD parse errors,final_status=200,pass,2829,0,crawl_history.csv filter json_ld_parse_errors>0 (see full record in cache),
T-028,structured_data,missing expected JSON-LD @type for page family,market_home|doctor|service|blog_post|root_home,fail,1336,404,crawl_history.csv json_ld_types vs page_type expectation table in probe.py,
T-029,structured_data,FAQ page_type with no FAQPage schema,page_type=faq,pass,33,0,crawl_history.csv filter page_type=faq & faq_count=0,
T-030,content_signals,"soft 404s (200 status, not-found language or too-thin content)",final_status=200,pass,2829,0,"29 scanner hits all false positives (A6 review): due-date tool week tables de-space to ""404""; /de/faq opens ""Nicht gefunden, was Sie suchen?""; rule needs anchoring. No live soft 404 confirmed.",
T-031,performance,response time p50/p95 across all probed URLs,all,not_run,4672,0,p50=651ms p95=815ms — see probe-summary.md for per-market table,
T-032,internal_links,"orphan canonical_candidate URLs (zero inbound internal links, sitemap-only discovery)",inventory_state=canonical_candidate,pass,2118,0,orphans.csv,
