inspected_at,url,verdict,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,crawled_as,google_canonical,user_canonical,canonical_match,mobile_usability_verdict,rich_results_verdict,rich_results_types,sitemap_listed,referring_urls_count,error,refresh_id
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/acute-medical-consultation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-19T17:12:34Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/acute-medical-consultation,,unknown,VERDICT_UNSPECIFIED,,,https://www.myglobalhealth.online/sitemap.xml,1,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-17T23:13:21Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,yes,VERDICT_UNSPECIFIED,,,https://www.myglobalhealth.online/sitemap.xml,2,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/treatment-review,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-17T14:06:03Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/treatment-review,,unknown,VERDICT_UNSPECIFIED,,,https://www.myglobalhealth.online/sitemap.xml,2,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/chronic-disease-consultation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-17T22:35:58Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/chronic-disease-consultation,https://www.myglobalhealth.online/ireland/en/services/chronic-disease-consultation,yes,VERDICT_UNSPECIFIED,,,https://www.myglobalhealth.online/sitemap.xml,2,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/paediatric-consultation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-17T21:47:44Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/paediatric-consultation,https://www.myglobalhealth.online/ireland/en/services/paediatric-consultation,yes,VERDICT_UNSPECIFIED,,,https://www.myglobalhealth.online/sitemap.xml,1,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/weight-management-consultation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-09T09:15:58Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/weight-management-consultation,,unknown,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,https://www.myglobalhealth.online/sitemap.xml,2,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/mens-health-consultation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-16T21:51:50Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/mens-health-consultation,https://www.myglobalhealth.online/ireland/en/services/mens-health-consultation,yes,VERDICT_UNSPECIFIED,,,https://www.myglobalhealth.online/sitemap.xml,1,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/skin-dermatology-consultation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-27T01:06:58Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/skin-dermatology-consultation,https://www.myglobalhealth.online/ireland/en/services/skin-dermatology-consultation,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,https://www.myglobalhealth.online/sitemap.xml,4,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/hair-loss-consultation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-08T03:30:54Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/hair-loss-consultation,https://www.myglobalhealth.online/ireland/en/services/hair-loss-consultation,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,https://www.myglobalhealth.online/sitemap.xml,4,,R2026-09-15-GSC-I
2026-09-15T05:12:08Z,https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-16T19:55:41Z,MOBILE,https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment,https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment,yes,VERDICT_UNSPECIFIED,,,https://www.myglobalhealth.online/sitemap.xml,1,,R2026-09-15-GSC-I
