content_entity_id,entity_type,country,locale,slug,publication_state,first_published,source_endpoint,extra
service:ie:acute-medical-consultation,service,ie,en,acute-medical-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:sick-certificate-ireland,service,ie,en,sick-certificate-ireland,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:treatment-review,service,ie,en,treatment-review,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:chronic-disease-consultation,service,ie,en,chronic-disease-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:paediatric-consultation,service,ie,en,paediatric-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:weight-management-consultation,service,ie,en,weight-management-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:mens-health-consultation,service,ie,en,mens-health-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:skin-dermatology-consultation,service,ie,en,skin-dermatology-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:hair-loss-consultation,service,ie,en,hair-loss-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:musculoskeletal-pain-assessment,service,ie,en,musculoskeletal-pain-assessment,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:womens-health-consultation,service,ie,en,womens-health-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:mental-health-consultation,service,ie,en,mental-health-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:second-opinion-consultation,service,ie,en,second-opinion-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:travel-health-consultation,service,ie,en,travel-health-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:referral-and-investigations,service,ie,en,referral-and-investigations,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:aesthetic-medicine-consultation,service,ie,en,aesthetic-medicine-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=GENERAL
service:ie:cardiology-specialist-consultation,service,ie,en,cardiology-specialist-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=SPECIALIST
service:ie:neurology-specialist-consultation,service,ie,en,neurology-specialist-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=SPECIALIST
service:ie:nutrition-specialist-consultation,service,ie,en,nutrition-specialist-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=SPECIALIST
service:ie:paediatric-specialist-consultation,service,ie,en,paediatric-specialist-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=SPECIALIST
service:ie:physiotherapy-specialist-consultation,service,ie,en,physiotherapy-specialist-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=SPECIALIST
service:ie:psychiatry-specialist-consultation,service,ie,en,psychiatry-specialist-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=SPECIALIST
service:ie:psychology-specialist-consultation,service,ie,en,psychology-specialist-consultation,isActive=True,,/api/countries/ie/services?locale=EN,kind=SPECIALIST
doctor:ie:dr-abdelrahman-mustafa,doctor,ie,en,dr-abdelrahman-mustafa,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-ahmed-maklad,doctor,ie,en,dr-ahmed-maklad,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-arooj-iqbal-lodhi,doctor,ie,en,dr-arooj-iqbal-lodhi,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-emmanuel-dabup,doctor,ie,en,dr-emmanuel-dabup,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-fahad-farooq,doctor,ie,en,dr-fahad-farooq,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-fatima-ali,doctor,ie,en,dr-fatima-ali,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-mariam-faiz,doctor,ie,en,dr-mariam-faiz,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-mohamed-fadzly-bin-mohamed,doctor,ie,en,dr-mohamed-fadzly-bin-mohamed,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-mohammed-omar,doctor,ie,en,dr-mohammed-omar,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-muhammad-mataro,doctor,ie,en,dr-muhammad-mataro,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-muhammad-tahir-arain,doctor,ie,en,dr-muhammad-tahir-arain,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-muhammad-usman-yoosuf,doctor,ie,en,dr-muhammad-usman-yoosuf,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-raafat-ibrahim,doctor,ie,en,dr-raafat-ibrahim,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-raza-khan,doctor,ie,en,dr-raza-khan,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-saadia-irfan,doctor,ie,en,dr-saadia-irfan,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-tiago-miguel-figueira,doctor,ie,en,dr-tiago-miguel-figueira,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:dr-yousif-mohamed,doctor,ie,en,dr-yousif-mohamed,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:maristela-ferro-nepomuceno,doctor,ie,en,maristela-ferro-nepomuceno,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:khoiamul-islam,doctor,ie,en,khoiamul-islam,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:priscila-figueiredo,doctor,ie,en,priscila-figueiredo,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:roney-carli,doctor,ie,en,roney-carli,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
doctor:ie:silvia-alexandre-fernandes,doctor,ie,en,silvia-alexandre-fernandes,readyToIndex=True,,/api/countries/ie/doctors?locale=EN,
other:ie:general-health-test,other,ie,en,general-health-test,isActive=True,,/api/countries/ie/health-tests?locale=EN,subtype=health_test
other:ie:heart-health-cholesterol-test,other,ie,en,heart-health-cholesterol-test,isActive=True,,/api/countries/ie/health-tests?locale=EN,subtype=health_test
other:ie:female-hormone-test,other,ie,en,female-hormone-test,isActive=True,,/api/countries/ie/health-tests?locale=EN,subtype=health_test
other:ie:male-hormone-test,other,ie,en,male-hormone-test,isActive=True,,/api/countries/ie/health-tests?locale=EN,subtype=health_test
