dropped_url_id,merged_into,raw_url_before
U000501,U000500,"/cs/czechia-doctors/mudr-ahmed-maklad,1,9,0.1111111111111111,3.888888888888889,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000502,U000500,"/cs/czechia-doctors/mudr-ahmed-maklad,2,12,0.16666666666666666,3.6666666666666665,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000503,U000500,"/cs/czechia-doctors/mudr-ahmed-maklad,3,9,0.3333333333333333,3.7777777777777777,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000504,U000500,"/cs/czechia-doctors/mudr-ahmed-maklad,7,25,0.28,4.279999999999999,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000505,U000500,"/cs/czechia-doctors/mudr-ahmed-maklad,cze,2,8,0.25,3.625,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000507,U000506,"/cs/czechia-doctors/mudr-jana-cyplinska,1,3,0.3333333333333333,1.6666666666666665,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000508,U000506,"/cs/czechia-doctors/mudr-jana-cyplinska,1,4,0.25,62.5,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000509,U000506,"/cs/czechia-doctors/mudr-jana-cyplinska,2,8,0.25,4.375,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000512,U000511,"/cs/czechia-doctors/mudr-nataliya-kharlamova,0,7,0,3.4285714285714284,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000514,U000513,"/cs/czechia-doctors/mudr-vojt%C4%9Bch-%C4%8Dern%C3%BD,12,68,0.17647058823529413,7.176470588235294,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
