market_locale_key,target_country,country_code,country_slug,language,hreflang_tag,default_language,is_default,configured_home_path,booking_timezone,currency,source_file_line
IE-en,Ireland,ie,ireland,en,en-IE,en,yes,/ireland/en,Europe/Dublin,,frontend/data/countries.ts
IE-pt,Ireland,ie,ireland,pt,pt-IE,en,no,/ireland/pt,Europe/Dublin,,frontend/data/countries.ts
IE-es,Ireland,ie,ireland,es,es-IE,en,no,/ireland/es,Europe/Dublin,,frontend/data/countries.ts
IE-cs,Ireland,ie,ireland,cs,cs-IE,en,no,/ireland/cs,Europe/Dublin,,frontend/data/countries.ts
IE-ro,Ireland,ie,ireland,ro,ro-IE,en,no,/ireland/ro,Europe/Dublin,,frontend/data/countries.ts
IE-de,Ireland,ie,ireland,de,de-IE,en,no,/ireland/de,Europe/Dublin,,frontend/data/countries.ts
CZ-cs,Czechia,cz,czechia,cs,cs-CZ,cs,yes,/czechia/cs,Europe/Prague,,frontend/data/countries.ts
CZ-en,Czechia,cz,czechia,en,en-CZ,cs,no,/czechia/en,Europe/Prague,,frontend/data/countries.ts
CZ-pt,Czechia,cz,czechia,pt,pt-CZ,cs,no,/czechia/pt,Europe/Prague,,frontend/data/countries.ts
CZ-es,Czechia,cz,czechia,es,es-CZ,cs,no,/czechia/es,Europe/Prague,,frontend/data/countries.ts
CZ-ro,Czechia,cz,czechia,ro,ro-CZ,cs,no,/czechia/ro,Europe/Prague,,frontend/data/countries.ts
CZ-de,Czechia,cz,czechia,de,de-CZ,cs,no,/czechia/de,Europe/Prague,,frontend/data/countries.ts
PT-pt,Portugal,pt,portugal,pt,pt-PT,pt,yes,/portugal/pt,Europe/Lisbon,,frontend/data/countries.ts
PT-en,Portugal,pt,portugal,en,en-PT,pt,no,/portugal/en,Europe/Lisbon,,frontend/data/countries.ts
PT-es,Portugal,pt,portugal,es,es-PT,pt,no,/portugal/es,Europe/Lisbon,,frontend/data/countries.ts
PT-cs,Portugal,pt,portugal,cs,cs-PT,pt,no,/portugal/cs,Europe/Lisbon,,frontend/data/countries.ts
PT-ro,Portugal,pt,portugal,ro,ro-PT,pt,no,/portugal/ro,Europe/Lisbon,,frontend/data/countries.ts
PT-de,Portugal,pt,portugal,de,de-PT,pt,no,/portugal/de,Europe/Lisbon,,frontend/data/countries.ts
ES-es,Spain,es,spain,es,es-ES,es,yes,/spain/es,Europe/Madrid,,frontend/data/countries.ts
ES-en,Spain,es,spain,en,en-ES,es,no,/spain/en,Europe/Madrid,,frontend/data/countries.ts
ES-pt,Spain,es,spain,pt,pt-ES,es,no,/spain/pt,Europe/Madrid,,frontend/data/countries.ts
ES-cs,Spain,es,spain,cs,cs-ES,es,no,/spain/cs,Europe/Madrid,,frontend/data/countries.ts
ES-ro,Spain,es,spain,ro,ro-ES,es,no,/spain/ro,Europe/Madrid,,frontend/data/countries.ts
ES-de,Spain,es,spain,de,de-ES,es,no,/spain/de,Europe/Madrid,,frontend/data/countries.ts
RO-ro,Romania,ro,romania,ro,ro-RO,ro,yes,/romania/ro,Europe/Bucharest,,frontend/data/countries.ts
RO-en,Romania,ro,romania,en,en-RO,ro,no,/romania/en,Europe/Bucharest,,frontend/data/countries.ts
RO-pt,Romania,ro,romania,pt,pt-RO,ro,no,/romania/pt,Europe/Bucharest,,frontend/data/countries.ts
RO-es,Romania,ro,romania,es,es-RO,ro,no,/romania/es,Europe/Bucharest,,frontend/data/countries.ts
RO-cs,Romania,ro,romania,cs,cs-RO,ro,no,/romania/cs,Europe/Bucharest,,frontend/data/countries.ts
RO-de,Romania,ro,romania,de,de-RO,ro,no,/romania/de,Europe/Bucharest,,frontend/data/countries.ts
BR-pt,Brazil,br,brazil,pt,pt-BR,pt,yes,/brazil/pt,America/Sao_Paulo,,frontend/data/countries.ts
BR-en,Brazil,br,brazil,en,en-BR,pt,no,/brazil/en,America/Sao_Paulo,,frontend/data/countries.ts
BR-es,Brazil,br,brazil,es,es-BR,pt,no,/brazil/es,America/Sao_Paulo,,frontend/data/countries.ts
