rule_order_index,source,destination,permanent,statusCode,has,missing,locale
0,/portugal/:lang/services/cardiology-consultation,/portugal/:lang/services/consulta-cardiologia,True,,,,
1,/portugal/:lang/consult/cardiology-consultation,/portugal/:lang/services/consulta-cardiologia,True,,,,
2,/portugal/:lang/services/driving-license-medical-certificate,/portugal/:lang/services/certificado-medico-carta-de-conducao,True,,,,
3,/portugal/:lang/consult/driving-license-medical-certificate,/portugal/:lang/services/certificado-medico-carta-de-conducao,True,,,,
4,/portugal/:lang/services/family-and-general-medicine,/portugal/:lang/services/medicina-geral-e-familiar,True,,,,
5,/portugal/:lang/consult/family-and-general-medicine,/portugal/:lang/services/medicina-geral-e-familiar,True,,,,
6,/portugal/:lang/services/hair-loss-consultation,/portugal/:lang/services/consulta-queda-de-cabelo,True,,,,
7,/portugal/:lang/consult/hair-loss-consultation,/portugal/:lang/services/consulta-queda-de-cabelo,True,,,,
8,/portugal/:lang/services/medical-certificates-consultation,/portugal/:lang/services/certificados-medicos,True,,,,
9,/portugal/:lang/consult/medical-certificates-consultation,/portugal/:lang/services/certificados-medicos,True,,,,
10,/portugal/:lang/services/medical-consultation,/portugal/:lang/services/consulta-medica,True,,,,
11,/portugal/:lang/consult/medical-consultation,/portugal/:lang/services/consulta-medica,True,,,,
12,/portugal/:lang/services/mens-health-consultation,/portugal/:lang/services/saude-do-homem,True,,,,
13,/portugal/:lang/consult/mens-health-consultation,/portugal/:lang/services/saude-do-homem,True,,,,
14,/portugal/:lang/services/mental-health-consultation,/portugal/:lang/services/saude-mental,True,,,,
15,/portugal/:lang/consult/mental-health-consultation,/portugal/:lang/services/saude-mental,True,,,,
16,/portugal/:lang/services/oncology-consultation,/portugal/:lang/services/consulta-de-oncologia,True,,,,
17,/portugal/:lang/consult/oncology-consultation,/portugal/:lang/services/consulta-de-oncologia,True,,,,
18,/portugal/:lang/services/paediatric-primary-care-consultation,/portugal/:lang/services/pediatria-geral,True,,,,
19,/portugal/:lang/consult/paediatric-primary-care-consultation,/portugal/:lang/services/pediatria-geral,True,,,,
20,/portugal/:lang/services/pain-management-consultation,/portugal/:lang/services/gestao-da-dor,True,,,,
21,/portugal/:lang/consult/pain-management-consultation,/portugal/:lang/services/gestao-da-dor,True,,,,
22,/portugal/:lang/services/pediatric-consultation,/portugal/:lang/services/consulta-de-pediatria,True,,,,
23,/portugal/:lang/consult/pediatric-consultation,/portugal/:lang/services/consulta-de-pediatria,True,,,,
24,/portugal/:lang/services/psychiatry-consultation,/portugal/:lang/services/consulta-de-psiquiatria,True,,,,
25,/portugal/:lang/consult/psychiatry-consultation,/portugal/:lang/services/consulta-de-psiquiatria,True,,,,
26,/portugal/:lang/services/psychology-consultation,/portugal/:lang/services/consulta-de-psicologia,True,,,,
27,/portugal/:lang/consult/psychology-consultation,/portugal/:lang/services/consulta-de-psicologia,True,,,,
28,/portugal/:lang/services/referral-consultation,/portugal/:lang/services/consulta-de-referenciacao,True,,,,
29,/portugal/:lang/consult/referral-consultation,/portugal/:lang/services/consulta-de-referenciacao,True,,,,
30,/portugal/:lang/services/second-opinion-consultation,/portugal/:lang/services/segunda-opiniao-medica,True,,,,
31,/portugal/:lang/consult/second-opinion-consultation,/portugal/:lang/services/segunda-opiniao-medica,True,,,,
32,/portugal/:lang/services/sick-leave,/portugal/:lang/services/baixa-medica,True,,,,
33,/portugal/:lang/consult/sick-leave,/portugal/:lang/services/baixa-medica,True,,,,
34,/portugal/:lang/services/skin-dermatology-consultation,/portugal/:lang/services/consulta-dermatologia,True,,,,
35,/portugal/:lang/consult/skin-dermatology-consultation,/portugal/:lang/services/consulta-dermatologia,True,,,,
36,/portugal/:lang/services/smoking-cessation-consultation,/portugal/:lang/services/deixar-de-fumar,True,,,,
37,/portugal/:lang/consult/smoking-cessation-consultation,/portugal/:lang/services/deixar-de-fumar,True,,,,
38,/portugal/:lang/services/travelers-consultation,/portugal/:lang/services/consulta-do-viajante,True,,,,
39,/portugal/:lang/consult/travelers-consultation,/portugal/:lang/services/consulta-do-viajante,True,,,,
40,/portugal/:lang/services/treatment-renewal,/portugal/:lang/services/renovacao-de-tratamento,True,,,,
41,/portugal/:lang/consult/treatment-renewal,/portugal/:lang/services/renovacao-de-tratamento,True,,,,
42,/portugal/:lang/services/weight-loss-consultation,/portugal/:lang/services/perda-de-peso,True,,,,
43,/portugal/:lang/consult/weight-loss-consultation,/portugal/:lang/services/perda-de-peso,True,,,,
44,/portugal/:lang/services/womens-health-consultation,/portugal/:lang/services/saude-da-mulher,True,,,,
45,/portugal/:lang/consult/womens-health-consultation,/portugal/:lang/services/saude-da-mulher,True,,,,
