route_pattern,file,is_route_handler,dynamic_segments,has_generateStaticParams,dynamic_export,rendering,page_type,data_sources
/access-request,frontend/app/(global)/access-request/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/blog/[slug],frontend/app/(global)/blog/[slug]/page.tsx,no,[slug],yes,force-dynamic,dynamic,blog_post,lib/content/blog-post-page
/brazil/consent,frontend/app/(global)/brazil/consent/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/brazil/consent/success,frontend/app/(global)/brazil/consent/success/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/brazil/dr-renato,frontend/app/(global)/brazil/dr-renato/page.tsx,no,,no,,static,doctor,
/card-verify/[code],frontend/app/(global)/card-verify/[code]/page.tsx,no,[code],no,force-dynamic,dynamic,static_other,lib/seo/page-seo
/cart,frontend/app/(global)/cart/page.tsx,no,,no,,static,checkout,lib/seo/page-seo
/checkout/cancelled,frontend/app/(global)/checkout/cancelled/page.tsx,no,,no,,static,checkout,lib/seo/page-seo
/checkout,frontend/app/(global)/checkout/page.tsx,no,,no,,static,checkout,lib/seo/page-seo
/checkout/success,frontend/app/(global)/checkout/success/page.tsx,no,,no,force-dynamic,dynamic,checkout,lib/api/cart-server|lib/seo/page-seo
/contact,frontend/app/(global)/contact/page.tsx,no,,no,,static,contact,lib/seo/page-seo|lib/seo/site-url
/cross-border-consent,frontend/app/(global)/cross-border-consent/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/,frontend/app/(global)/page.tsx,no,,no,,static,root_home,lib/content/get-country-collections|lib/content/get-public-countries|lib/seo/page-seo|lib/seo/structured-data
/patient-upload,frontend/app/(global)/patient-upload/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/pay-status,frontend/app/(global)/pay-status/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/privacy,frontend/app/(global)/privacy/page.tsx,no,,no,,static,legal,lib/seo/page-seo
/terms,frontend/app/(global)/terms/page.tsx,no,,no,,static,legal,lib/seo/page-seo
/verify/certificate/[id],frontend/app/(global)/verify/certificate/[id]/page.tsx,no,[id],no,,dynamic_params,static_other,lib/seo/page-seo
/corporate-invite/[token],frontend/app/(portal)/(auth)/(public)/corporate-invite/[token]/page.tsx,no,[token],no,force-dynamic,dynamic,static_other,lib/seo/page-seo
/forgot-password,frontend/app/(portal)/(auth)/(public)/forgot-password/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/login,frontend/app/(portal)/(auth)/(public)/login/page.tsx,no,,no,force-dynamic,dynamic,static_other,lib/api/server-auth|lib/seo/page-seo
/register,frontend/app/(portal)/(auth)/(public)/register/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/reset-password,frontend/app/(portal)/(auth)/(public)/reset-password/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/verify-email,frontend/app/(portal)/(auth)/(public)/verify-email/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/pay/[orderId],frontend/app/(portal)/pay/[orderId]/route.ts,yes,[orderId],no,force-dynamic,dynamic,api_or_asset,
/print/appointments/[id],frontend/app/(portal)/print/appointments/[id]/page.tsx,no,[id],no,force-dynamic,dynamic,api_or_asset,lib/api/doctor-api|lib/api/server-auth|lib/seo/page-seo
/print/consults/[id],frontend/app/(portal)/print/consults/[id]/page.tsx,no,[id],no,force-dynamic,dynamic,api_or_asset,lib/api/doctor-api|lib/api/server-auth|lib/seo/page-seo
/print/forms/[submissionId],frontend/app/(portal)/print/forms/[submissionId]/page.tsx,no,[submissionId],no,force-dynamic,dynamic,api_or_asset,lib/api/server-auth|lib/seo/page-seo
/print/invoices/[id],frontend/app/(portal)/print/invoices/[id]/page.tsx,no,[id],no,force-dynamic,dynamic,api_or_asset,lib/api/doctor-api|lib/api/server-auth|lib/seo/page-seo
/print/order-invoices/[invoiceId],frontend/app/(portal)/print/order-invoices/[invoiceId]/page.tsx,no,[invoiceId],no,force-dynamic,dynamic,api_or_asset,lib/seo/page-seo
/print/subscription-invoices/[id],frontend/app/(portal)/print/subscription-invoices/[id]/page.tsx,no,[id],no,force-dynamic,dynamic,api_or_asset,lib/seo/page-seo
/reviews/rate,frontend/app/(portal)/reviews/rate/page.tsx,no,,no,force-dynamic,dynamic,static_other,lib/seo/page-seo
/share/consults/[token],frontend/app/(portal)/share/consults/[token]/page.tsx,no,[token],no,force-dynamic,dynamic,static_other,lib/seo/page-seo
/unauthorized,frontend/app/(portal)/unauthorized/page.tsx,no,,no,,static,static_other,lib/seo/page-seo
/unsubscribe,frontend/app/(portal)/unsubscribe/page.tsx,no,,no,,static,static_other,
/[country],frontend/app/(redirect)/[country]/page.tsx,no,[country],yes,,static_params,legacy_redirect,lib/content/get-public-countries
/[country]/[lang]/about,frontend/app/[country]/[lang]/about/page.tsx,no,[country]|[lang],no,,dynamic_params,about,lib/content/country-about|lib/content/country-contact|lib/content/czechia-static-page-seo|lib/content/get-public-countries|lib/content/get-public-page|lib/content/ireland-static-page-seo|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/blog/[slug],frontend/app/[country]/[lang]/blog/[slug]/page.tsx,no,[country]|[lang]|[slug],no,,dynamic_params,blog_post,lib/content/blog-post-page|lib/content/get-public-page
/[country]/[lang]/blog/medical-review-policy,frontend/app/[country]/[lang]/blog/medical-review-policy/page.tsx,no,[country]|[lang],no,,dynamic_params,static_other,lib/content/blog-byline|lib/content/country-contact|lib/content/doctor-profile-path|lib/content/get-country-collections|lib/content/get-country-trust|lib/content/get-public-countries|lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/blog/page/[n],frontend/app/[country]/[lang]/blog/page/[n]/page.tsx,no,[country]|[lang]|[n],no,,dynamic_params,blog_index,lib/content/blog-index-page|lib/content/get-public-countries|lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo
/[country]/[lang]/blog,frontend/app/[country]/[lang]/blog/page.tsx,no,[country]|[lang],no,,dynamic_params,blog_index,lib/content/blog-index-page|lib/content/czechia-static-page-seo|lib/content/get-public-countries|lib/content/get-public-page|lib/seo/hreflang|lib/seo/page-seo
/[country]/[lang]/book,frontend/app/[country]/[lang]/book/page.tsx,no,[country]|[lang],yes,,static_params,booking,lib/content/asset-media-url|lib/content/country-features|lib/content/czechia-static-page-seo|lib/content/get-country-collections|lib/content/get-doctor-availability|lib/content/get-gp-availability|lib/content/get-public-countries|lib/content/get-public-page|lib/content/get-service-availability|lib/content/languages|lib/seo/booking-workflow-metadata|lib/seo/hreflang|lib/seo/page-seo|lib/seo/structured-data
/[country]/[lang]/book-a-test/[testSlug]/[centreSlug]/[locationSlug],frontend/app/[country]/[lang]/book-a-test/[testSlug]/[centreSlug]/[locationSlug]/page.tsx,no,[country]|[lang]|[testSlug]|[centreSlug]|[locationSlug],no,,dynamic_params,booking,lib/content/country-features|lib/content/get-country-tests|lib/content/get-page-content|lib/content/get-public-countries|lib/seo/page-seo
