file,size_bytes,kind,referenced_from_runtime,gating_expression,markets_named
backend/src/content/czechia-page-content-seo-drafts.ts,12291,ts,no,,cz
backend/src/content/czechia-profile-blog-tool-seo-drafts.ts,23395,ts,no,,cz
backend/src/content/czechia-seo-service-drafts.ts,61037,ts,no,,cz
backend/src/content/ireland-consultation-hub-patch.ts,1893,ts,no,,ie
backend/src/content/ireland-consultation-hubs.ts,13672,ts,no,,ie
backend/src/content/ireland-doctor-profile-faqs.ts,10831,ts,no,,ie
backend/src/content/ireland-doctor-profile-keywords.ts,9487,ts,no,,ie
backend/src/content/ireland-general-service-keyword-patch.ts,1667,ts,no,,ie
backend/src/content/ireland-general-service-keywords-localized-completion.ts,21350,ts,yes:backend/src/content/ireland-general-service-keywords.ts,* One commercial intent owner for each active Ireland GENERAL service.,ie
backend/src/content/ireland-general-service-keywords.ts,30398,ts,yes:backend/src/content/ireland-general-service-keyword-patch.ts|backend/src/content/ireland-general-service-keywords-localized-completion.ts,/** Localized completion payload for the ten owner-approved Ireland GENERAL pages. */,ie
backend/src/content/ireland-profile-specialist-faq-patch.ts,3647,ts,no,,ie
backend/src/content/ireland-profile-specialist-keyword-patch.ts,2545,ts,no,,ie
backend/src/content/ireland-public-copy-humanizer.ts,6875,ts,no,,ie
backend/src/content/ireland-specialist-service-faqs.ts,24507,ts,no,,ie
backend/src/content/ireland-specialist-service-keywords.ts,23260,ts,no,,ie
backend/src/content/portugal-clinical-approval.ts,15318,ts,yes:backend/src/content/portugal-seo-metadata-patch.ts,"throw new Error(""Portugal SEO confirmation token does not match the selected draft"");",pt
backend/src/content/portugal-faq-safety-patch.ts,1249,ts,no,,pt
backend/src/content/portugal-faq-safety-patches.ts,8779,ts,yes:backend/src/content/portugal-faq-safety-patch.ts,"throw new Error(""Portugal FAQ source SHA-256 does not match the current record"");",pt
backend/src/content/portugal-home-cta-patch.ts,4050,ts,no,,pt
backend/src/content/portugal-seo-metadata-drafts.ts,5100,ts,yes:backend/src/content/portugal-clinical-approval.ts|backend/src/content/portugal-seo-metadata-patch.ts|backend/src/content/portugal-seo-remaining-drafts.ts,throw new Error(`${label} contains a non-official Portugal source`);,pt
backend/src/content/portugal-seo-metadata-patch.ts,5436,ts,yes:backend/src/content/portugal-faq-safety-patch.ts,"throw new Error(""Portugal FAQ source SHA-256 does not match the current record"");",pt
backend/src/content/portugal-seo-remaining-drafts.ts,5006,ts,yes:backend/src/content/portugal-seo-metadata-patch.ts,"throw new Error(""Portugal SEO confirmation token does not match the selected draft"");",pt
