url_id,norm,final_url,target_country,language,page_type,content_entity_id,source_file_or_model,title,meta_description,h1,word_count,faq_count,superlative_hits,em_per_1k,em_dash_count,exclamation_count,impressions_W1,clicks_W1,primary_query,scanner_flags,sel,evidence,json_ld_types,indexability
U001917,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing,Ireland,en,blog_post,,,Illness Benefit Ireland: 2026 rates and timing,"See 2026 Illness Benefit rates in Ireland, when payment starts, weekly timing, tax and how employer sick pay affects the first paid day.",How Much Is Illness Benefit in Ireland in 2026?,1272.0,4.0,0.0,3.930817610062893,5.0,0.0,851.0,4.0,illness benefit rates,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U001917.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U001916,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog_post,,,Illness Benefit Ireland: How to Claim (2026 Guide),"How to claim Illness Benefit in Ireland: the IB1 form, the Certificate of Incapacity for Work, who can issue it, and how it differs from sick leave.",Illness Benefit in Ireland: How to Claim and How to Get the Medical Certificate,2690.0,6.0,0.0,8.921933085501859,24.0,0.0,749.0,3.0,illness benefit ireland,em_dash_8.9/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U001916.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002040,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,Ireland,en,tool,,,ADHD Test Ireland | Free Adult ADHD Screening,Take the six-question adult ADHD screener (ASRS v1.1 Part A) and see what your answers mean. A screening result is not a diagnosis — only a psychiatrist or clinical psychologist can make one.,ADHD test Ireland,2089.0,8.0,0.0,9.573958831977022,20.0,0.0,348.0,0.0,adhd assessment,em_dash_9.6/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002040.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
U002043,https://www.myglobalhealth.online/ireland/en/tools/calorie-calculator,https://www.myglobalhealth.online/ireland/en/tools/calorie-calculator,Ireland,en,tool,,,Calorie Calculator Ireland | Daily Calorie Needs,"Work out how many calories you need a day to maintain, lose or gain weight. Mifflin-St Jeor equation, five activity levels, and what the numbers actually mean — with registered doctors if you want to go further.",Calorie calculator Ireland,1946.0,8.0,2.0,8.735868448098664,17.0,0.0,340.0,1.0,calorie calculator,em_dash_8.7/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002043.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
U001913,https://www.myglobalhealth.online/ireland/en/blog/blood-tests-dublin-what-to-know,https://www.myglobalhealth.online/ireland/en/blog/blood-tests-dublin-what-to-know,Ireland,en,blog_post,,,Blood Tests in Dublin: A GP's Guide (2026) · Global Health,"Where to get a blood test in Dublin, whether you need a GP referral, what common panels measure, fasting rules, and what an out-of-range result means.","Blood Tests in Dublin: Where to Go, What to Ask For, and How to Read the Result",2582.0,6.0,0.0,7.745933384972889,20.0,0.0,258.0,0.0,blood test dublin,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U001913.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002042,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,Ireland,en,tool,,,BMI Calculator Ireland | Free Body Mass Index Check,"Work out your body mass index in seconds. Metric or imperial, WHO adult categories, and what your result actually means — with registered doctors if you want to go further.",BMI calculator Ireland,1637.0,8.0,0.0,5.497861942577886,9.0,0.0,210.0,0.0,bmi calculator ireland,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002042.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
U002041,https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart,https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart,Ireland,en,tool,,,Blood Pressure Chart Ireland | What Your Reading Means,"Check your systolic and diastolic numbers against the European adult blood pressure chart. See the category, what it means, and which readings need medical care the same day.",Blood pressure chart Ireland,1839.0,8.0,0.0,4.893964110929852,9.0,0.0,196.0,0.0,blood pressure chart,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002041.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
HOME-IE,https://www.myglobalhealth.online/ireland/en,https://www.myglobalhealth.online/ireland/en,Ireland,en,market_home,,,Online Doctor Ireland | IMC-Registered GPs & Specialists | Same Day,"See an IMC-registered doctor by video call today for GP consultations, sick certs and specialist referrals. Same-day appointments anywhere in Ireland from €39.","Online Doctor Ireland | IMC-registered physicians, same day.",3763.0,6.0,0.0,10.895562051554611,41.0,0.0,165.0,7.0,global health,em_dash_10.9/1k,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/HOME-IE.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalOrganization|MedicalOrganization|Country|Organization|BreadcrumbList|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
U002044,https://www.myglobalhealth.online/ireland/en/tools/due-date-calculator,https://www.myglobalhealth.online/ireland/en/tools/due-date-calculator,Ireland,en,tool,,,Due Date Calculator Ireland | Pregnancy Week by Week,"Work out your estimated due date and how many weeks pregnant you are from the first day of your last period. Adjusts for your cycle length, with the full 40-week breakdown.",Due date calculator Ireland,1812.0,8.0,0.0,4.966887417218543,9.0,0.0,129.0,0.0,due date calculator,soft_404_signal,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U002044.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|MedicalWebPage|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|Question|Answer|BreadcrumbList|ListItem|ListItem,index
U001912,https://www.myglobalhealth.online/ireland/en/blog/adult-adhd-assessment-ireland-public-private-routes,https://www.myglobalhealth.online/ireland/en/blog/adult-adhd-assessment-ireland-public-private-routes,Ireland,en,blog_post,,,Adult ADHD assessment in Ireland: routes and cost,"HSE waiting times, private assessment costs, who can diagnose ADHD in Ireland and what a NICE-standard adult ADHD assessment involves.","Adult ADHD assessment in Ireland: the public route, the private route and what actually happens in the room",1905.0,4.0,0.0,3.149606299212598,6.0,0.0,93.0,0.0,adhd assessment,none,top10_market,seo/tracking/raw/2026-09-15/A2-probe/text/U001912.txt,MedicalOrganization|ImageObject|Country|Country|Country|Country|Country|Country|ContactPoint|PostalAddress|PropertyValue|PropertyValue|PropertyValue|WebSite|Article|MedicalWebPage|Person|MedicalOrganization|PropertyValue|EducationalOccupationalCredential|Organization|Organization|ImageObject|Thing|Organization|MedicalOrganization|BreadcrumbList|ListItem|ListItem|ListItem|FAQPage|Question|Answer|Question|Answer|Question|Answer|Question|Answer,index
