page,clicks,impressions,market,lang,family
https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,47,4029,romania,ro,tools
https://www.myglobalhealth.online/spain/es,7,2525,spain,es,home
https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,10,2361,ireland,en,blog
https://www.myglobalhealth.online/brazil/pt/tools/calorie-calculator,7,2251,brazil,pt,tools
https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing,11,2050,ireland,en,blog
https://www.myglobalhealth.online/romania/en/blog/low-blood-pressure-why-it-happens-what-to-do-right-away-and-when-not-to-wait,0,1860,romania,en,blog
https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart,5,1828,spain,es,tools
https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,5,1441,czechia,cs,tools
https://www.myglobalhealth.online/,88,1369,legacy/root,,home
https://www.myglobalhealth.online/spain/es/blog/baja-laboral-por-ansiedad-como-funciona,14,1095,spain,es,blog
https://www.myglobalhealth.online/portugal/pt,23,1071,portugal,pt,home
https://www.myglobalhealth.online/brazil/en,3,967,brazil,en,home
https://www.myglobalhealth.online/ireland/en/tools/calorie-calculator,4,953,ireland,en,tools
https://www.myglobalhealth.online/romania/en,5,917,romania,en,home
https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,0,903,czechia,cs,tools
https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,5,902,czechia,cs,blog
https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,21,894,czechia,cs,tools
https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained,15,857,czechia,en,blog
https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,4,853,portugal,pt,services
https://www.myglobalhealth.online/brazil/pt/tools/due-date-calculator,0,824,brazil,pt,tools
https://www.myglobalhealth.online/brazil/en/blog/does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c,2,753,brazil,en,blog
https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart,10,738,portugal,pt,tools
https://www.myglobalhealth.online/ireland/en/lab-tests/gut-microbiome-test,4,678,ireland,en,lab-tests
https://www.myglobalhealth.online/ireland/en,27,666,ireland,en,home
https://www.myglobalhealth.online/brazil/pt/blog/solicitacao-de-exames-laboratoriais-online,2,629,brazil,pt,blog
https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,5,573,portugal,pt,blog
https://www.myglobalhealth.online/ireland/en/blog/blood-tests-dublin-what-to-know,1,568,ireland,en,blog
https://www.myglobalhealth.online/romania/ro,3,550,romania,ro,home
https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator,3,547,portugal,pt,tools
https://www.myglobalhealth.online/romania/ro/blog/scrisoare-medicala-cine-o-elibereaza,17,535,romania,ro,blog
https://www.myglobalhealth.online/ireland/en/lab-tests,4,529,ireland,en,lab-tests
https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular,1,528,portugal,pt,blog
https://www.myglobalhealth.online/ireland/en/doctors,5,476,ireland,en,doctors
https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart,3,468,ireland,en,tools
https://www.myglobalhealth.online/czechia/en/blog/czech-sick-pay-calculation-2026-employer-cssz,1,458,czechia,en,blog
https://www.myglobalhealth.online/czechia/cs,18,458,czechia,cs,home
https://www.myglobalhealth.online/czechia/en,29,457,czechia,en,home
https://www.myglobalhealth.online/ireland/en/blog/sick-certificate-ireland-employee-rights,0,455,ireland,en,blog
https://www.myglobalhealth.online/portugal/en/blog/autodeclaracao-de-doenca-ou-baixa-medica,4,454,portugal,en,blog
https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,2,451,czechia,cs,tools
https://www.myglobalhealth.online/romania/ro/tools/due-date-calculator,2,406,romania,ro,tools
https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-d-test,0,402,ireland,en,lab-tests
https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,0,386,romania,ro,tools
https://www.myglobalhealth.online/spain/en,0,380,spain,en,home
https://www.myglobalhealth.online/ireland/en/tools/adhd-test,0,377,ireland,en,tools
https://www.myglobalhealth.online/spain/es/tools/ovulation-calculator,0,377,spain,es,tools
https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,14,367,czechia,cs,tools
https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,2,337,spain,es,blog
https://www.myglobalhealth.online/spain/es/blog/tension-alta-sintomas-cuando-urgencias,1,331,spain,es,blog
https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart,2,312,brazil,pt,tools
https://www.myglobalhealth.online/spain/en/services/psiquiatra-online,5,309,spain,en,services
https://www.myglobalhealth.online/online-prescriptions/bacterial-vaginosis-prescription,0,298,legacy/root,,home
https://www.myglobalhealth.online/portugal/es/services/consulta-medica,0,293,portugal,es,services
https://www.myglobalhealth.online/portugal/en/services/certificado-medico-carta-de-conducao,4,267,portugal,en,services
https://www.myglobalhealth.online/portugal/pt/blog/autodeclaracao-de-doenca-ou-baixa-medica,0,265,portugal,pt,blog
https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,2,253,czechia,cs,gp-consultation-online
https://www.myglobalhealth.online/brazil/pt,5,228,brazil,pt,home
https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,2,225,czechia,cs,tools
https://www.myglobalhealth.online/spain/es/tools/calorie-calculator,0,225,spain,es,tools
https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online,0,224,spain,en,services
https://www.myglobalhealth.online/spain/en/services/psicologo-online,1,222,spain,en,services
https://www.myglobalhealth.online/spain/es/doctors/dr-alfredo-del-valle,31,216,spain,es,doctors
https://www.myglobalhealth.online/portugal/cs/blog/hand-foot-and-mouth-disease-signs-and-treatment,0,203,portugal,cs,blog
https://www.myglobalhealth.online/portugal/de,2,201,portugal,de,home
https://www.myglobalhealth.online/romania/pt/blog/tensao-baixa-porque-acontece-o-que-fazer-na-hora-e-quando-nao-esperar-mais,0,162,romania,pt,blog
https://www.myglobalhealth.online/romania/ro/tools/adhd-test,3,140,romania,ro,tools
https://www.myglobalhealth.online/about,1,134,legacy/root,,home
https://www.myglobalhealth.online/brazil/en/blog/laboratory-test-request-brazil,1,120,brazil,en,blog
https://www.myglobalhealth.online/romania/de,4,114,romania,de,home
https://www.myglobalhealth.online/brazil/pt/blog/atestado-medico-online-validade,1,112,brazil,pt,blog
https://www.myglobalhealth.online/romania/es/tools/bmi-calculator,0,111,romania,es,tools
https://www.myglobalhealth.online/brazil/es,6,100,brazil,es,home
https://www.myglobalhealth.online/romania/ro/tools/blood-pressure-chart,0,93,romania,ro,tools
https://www.myglobalhealth.online/brazil/en/contact,0,84,brazil,en,contact
https://www.myglobalhealth.online/brazil/pt/faq,3,82,brazil,pt,faq
https://www.myglobalhealth.online/service-page/ie-medical-consultation,3,72,legacy/root,,home
https://www.myglobalhealth.online/blog/diabetes-a-silent-disease,0,66,legacy/root,,home
https://www.myglobalhealth.online/pricing-plans/list,1,53,legacy/root,,home
https://www.myglobalhealth.online/pt,0,44,legacy/root,,home
https://www.myglobalhealth.online/privacy,1,40,legacy/root,,home
https://www.myglobalhealth.online/czechia-doctors/mudr-ahmed-maklad,0,35,legacy/root,,home
https://www.myglobalhealth.online/ireland-specialist-consultations/gastroenterology-consultation,1,32,legacy/root,,home
https://myglobalhealth.online/ie/en/book?utm_source=google&utm_medium=organic&utm_campaign=gbp-ie,0,31,legacy/root,,home
https://www.myglobalhealth.online/es/spain-doctors/javier-villarte-betancor,0,28,legacy/root,,home
